date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0129;0.00371067;0.0222187;0.00018577;0.0115
0.013;0.00370845;0.0222422;0.00018799;0.0116
0.0131;0.00370622;0.0222649;0.00019022;0.0117
0.0132;0.003704;0.022287;0.00019244;0.0118
0.0133;0.00370177;0.0223084;0.00019467;0.0119
0.0134;0.00369954;0.0223292;0.0001969;0.012
0.0135;0.0036973;0.0223493;0.00019914;0.0121
0.0136;0.00369507;0.0223688;0.00020137;0.0122
0.0137;0.00369283;0.0223878;0.00020361;0.0123
0.0138;0.00369059;0.0224062;0.00020585;0.0124
0.0139;0.00368835;0.022424;0.00020809;0.0125
0.014;0.0036861;0.0224412;0.00021034;0.0126
0.0141;0.00368386;0.022458;0.00021258;0.0127
0.0142;0.00368161;0.0224742;0.00021483;0.0128
0.0143;0.00367936;0.0224899;0.00021708;0.0129
0.0144;0.00367711;0.0225052;0.00021933;0.013
0.0145;0.00367486;0.02252;0.00022158;0.0131
0.0146;0.00367261;0.0225344;0.00022383;0.0132
0.0147;0.00367036;0.0225483;0.00022608;0.0133
0.0148;0.0036681;0.0225618;0.00022834;0.0134
0.0149;0.00366584;0.0225749;0.0002306;0.0135
0.015;0.00366358;0.0225876;0.00023286;0.0136
0.0151;0.00366132;0.0225999;0.00023512;0.0137
0.0152;0.00365907;0.0226118;0.00023737;0.0138
0.0153;0.0036568;0.0226234;0.00023964;0.0139
0.0154;0.00365454;0.0226346;0.0002419;0.014
0.0155;0.00365228;0.0226455;0.00024416;0.0141
0.0156;0.00365001;0.0226561;0.00024643;0.0142
0.0157;0.00364774;0.0226663;0.0002487;0.0143
0.0158;0.00364548;0.0226762;0.00025096;0.0144
0.0159;0.00364321;0.0226859;0.00025323;0.0145
0.016;0.00364094;0.0226952;0.0002555;0.0146
0.0161;0.00363867;0.0227042;0.00025777;0.0147
0.0162;0.0036364;0.022713;0.00026004;0.0148
0.0163;0.00363413;0.0227215;0.00026231;0.0149
0.0164;0.00363186;0.0227298;0.00026458;0.015
0.0165;0.00362958;0.0227378;0.00026686;0.0151
0.0166;0.00362731;0.0227455;0.00026913;0.0152
0.0167;0.00362503;0.022753;0.00027141;0.0153
0.0168;0.00362276;0.0227603;0.00027368;0.0154
0.0169;0.00362048;0.0227674;0.00027596;0.0155
0.017;0.0036182;0.0227743;0.00027824;0.0156
0.0171;0.00361593;0.0227809;0.00028051;0.0157
0.0172;0.00361365;0.0227874;0.00028279;0.0158
0.0173;0.00361137;0.0227936;0.00028507;0.0159
0.0174;0.00360909;0.0227997;0.00028735;0.016
0.0175;0.00360681;0.0228055;0.00028963;0.0161
0.0176;0.00360453;0.0228112;0.00029191;0.0162
0.0177;0.00360225;0.0228168;0.00029419;0.0163
0.0178;0.00359997;0.0228221;0.00029647;0.0164
0.0179;0.00359768;0.0228273;0.00029876;0.0165
0.018;0.0035954;0.0228324;0.00030104;0.0166
0.0181;0.00359312;0.0228372;0.00030332;0.0167
0.0182;0.00359083;0.022842;0.00030561;0.0168
0.0183;0.00358855;0.0228466;0.00030789;0.0169
0.0184;0.00358626;0.022851;0.00031018;0.017
0.0185;0.00358398;0.0228553;0.00031246;0.0171
0.0186;0.00358169;0.0228595;0.00031475;0.0172
0.0187;0.0035794;0.0228636;0.00031704;0.0173
0.0188;0.00357712;0.0228675;0.00031932;0.0174
0.0189;0.00357483;0.0228713;0.00032161;0.0175
0.019;0.00357254;0.022875;0.0003239;0.0176
0.0191;0.00357026;0.0228786;0.00032618;0.0177
0.0192;0.00356797;0.0228821;0.00032847;0.0178
0.0193;0.00356568;0.0228854;0.00033076;0.0179
0.0194;0.00356339;0.0228887;0.00033305;0.018
0.0195;0.0035611;0.0228919;0.00033534;0.0181
0.0196;0.00355881;0.022895;0.00033763;0.0182
0.0197;0.00355652;0.0228979;0.00033992;0.0183
0.0198;0.00355423;0.0229008;0.00034221;0.0184
0.0199;0.00355194;0.0229036;0.0003445;0.0185
0.02;0.00354965;0.0229063;0.00034679;0.0186
0.0201;0.00354736;0.022909;0.00034908;0.0187
0.0202;0.00354507;0.0229115;0.00035137;0.0188
0.0203;0.00354278;0.022914;0.00035366;0.0189
0.0204;0.00354049;0.0229164;0.00035595;0.019
0.0205;0.0035382;0.0229187;0.00035824;0.0191
0.0206;0.0035359;0.022921;0.00036054;0.0192
0.0207;0.00353361;0.0229232;0.00036283;0.0193
0.0208;0.00353132;0.0229253;0.00036512;0.0194
0.0209;0.00352903;0.0229273;0.00036741;0.0195
0.021;0.00352674;0.0229293;0.0003697;0.0196
0.0211;0.00352444;0.0229313;0.000372;0.0197
0.0212;0.00352215;0.0229331;0.00037429;0.0198
0.0213;0.00351985;0.0229349;0.00037659;0.0199
0.0214;0.00351756;0.0229367;0.00037888;0.02
0.0215;0.00351527;0.0229384;0.00038117;0.0201
0.0216;0.00351297;0.0229401;0.00038347;0.0202
0.0217;0.00351068;0.0229417;0.00038576;0.0203
0.0218;0.00350839;0.0229432;0.00038805;0.0204
0.0219;0.00350609;0.0229447;0.00039035;0.0205
0.022;0.0035038;0.0229462;0.00039264;0.0206
0.0221;0.0035015;0.0229476;0.00039494;0.0207
0.0222;0.00349921;0.022949;0.00039723;0.0208
0.0223;0.00349691;0.0229503;0.00039953;0.0209
0.0224;0.00349462;0.0229054;0.00040182;0.021
0.0225;0.00349233;0.0229396;0.00040411;0.0211
0.0226;0.00349003;0.0229522;0.00040641;0.0212
0.0227;0.00348774;0.0229528;0.0004087;0.0213
0.0228;0.00348544;0.022954;0.000411;0.0214
0.0229;0.00348315;0.0229552;0.00041329;0.0215
0.023;0.00348085;0.0229564;0.00041559;0.0216
