date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.0695;0.00295553;0.0229581;0.00391066;0.0496
0.0696;0.00295324;0.0229569;0.00391295;0.0497
0.0697;0.00295094;0.0229557;0.00391525;0.0498
0.0698;0.00294865;0.0229545;0.00391754;0.0499
0.0699;0.00294635;0.0229533;0.00391984;0.05
0.07;0.00294406;0.0229522;0.00392213;0.0501
0.0701;0.00294176;0.0229511;0.00392443;0.0502
0.0702;0.00293947;0.0229501;0.00392672;0.0503
0.0703;0.00293717;0.0229491;0.00392902;0.0504
0.0704;0.00293487;0.0229481;0.00393132;0.0505
0.0705;0.00293258;0.0229471;0.00393361;0.0506
0.0706;0.00293029;0.0229462;0.0039359;0.0507
0.0707;0.00292799;0.0229453;0.0039382;0.0508
0.0708;0.0029257;0.0229445;0.00394049;0.0509
0.0709;0.0029234;0.0229436;0.00394279;0.051
0.071;0.00292111;0.0229428;0.00394508;0.0511
0.0711;0.00291881;0.022942;0.00394738;0.0512
0.0712;0.00291652;0.0229412;0.00394967;0.0513
0.0713;0.00291423;0.0229405;0.00395196;0.0514
0.0714;0.00291193;0.0229398;0.00395426;0.0515
0.0715;0.00290964;0.0229391;0.00395655;0.0516
0.0716;0.00290734;0.0229384;0.00395885;0.0517
0.0717;0.00290505;0.0229377;0.00396114;0.0518
0.0718;0.00290276;0.0229371;0.00396343;0.0519
0.0719;0.00290046;0.0229365;0.00396573;0.052
0.072;0.00289817;0.0229359;0.00396802;0.0521
0.0721;0.00289588;0.0229353;0.00397031;0.0522
0.0722;0.00289358;0.0229347;0.00397261;0.0523
0.0723;0.00289129;0.0229342;0.0039749;0.0524
0.0724;0.002889;0.0229337;0.00397719;0.0525
0.0725;0.0028867;0.0229331;0.00397949;0.0526
0.0726;0.00288441;0.0229327;0.00398178;0.0527
0.0727;0.00288212;0.0229322;0.00398407;0.0528
0.0728;0.00287982;0.0229317;0.00398637;0.0529
0.0729;0.00287753;0.0229312;0.00398866;0.053
0.073;0.00287524;0.0229308;0.00399095;0.0531
0.0731;0.00287294;0.0229304;0.00399325;0.0532
0.0732;0.00287065;0.02293;0.00399554;0.0533
0.0733;0.00286836;0.0229296;0.00399783;0.0534
0.0734;0.00286606;0.0229292;0.00400013;0.0535
0.0735;0.00286377;0.0229288;0.00400242;0.0536
0.0736;0.00286148;0.0229284;0.00400471;0.0537
0.0737;0.00285919;0.0229281;0.004007;0.0538
0.0738;0.00285689;0.0229277;0.0040093;0.0539
0.0739;0.0028546;0.0229274;0.00401159;0.054
0.074;0.00285231;0.0229271;0.00401388;0.0541
0.0741;0.00285001;0.0229268;0.00401618;0.0542
0.0742;0.00284772;0.0229265;0.00401847;0.0543
0.0743;0.00284543;0.0229262;0.00402076;0.0544
0.0744;0.00284314;0.0229259;0.00402305;0.0545
0.0745;0.00284084;0.0229256;0.00402535;0.0546
0.0746;0.00283855;0.0229253;0.00402764;0.0547
0.0747;0.00283626;0.0229251;0.00402993;0.0548
0.0748;0.00283397;0.0229248;0.00403222;0.0549
0.0749;0.00283167;0.0229246;0.00403452;0.055
0.075;0.00282938;0.0229244;0.00403681;0.0551
0.0751;0.00282709;0.0229241;0.0040391;0.0552
0.0752;0.0028248;0.0229239;0.00404139;0.0553
0.0753;0.00282251;0.0229237;0.00404368;0.0554
0.0754;0.00282021;0.0229235;0.00404598;0.0555
0.0755;0.00281792;0.0229233;0.00404827;0.0556
0.0756;0.00281563;0.0229231;0.00405056;0.0557
0.0757;0.00281334;0.0229229;0.00405285;0.0558
0.0758;0.00281104;0.0229227;0.00405515;0.0559
0.0759;0.00280875;0.0229225;0.00405744;0.056
0.076;0.00280646;0.0229224;0.00405973;0.0561
0.0761;0.00280417;0.0229222;0.00406202;0.0562
0.0762;0.00280187;0.022922;0.00406432;0.0563
0.0763;0.00279958;0.0229219;0.00406661;0.0564
0.0764;0.00279729;0.0229217;0.0040689;0.0565
0.0765;0.002795;0.0229216;0.00407119;0.0566
0.0766;0.00279271;0.0229214;0.00407348;0.0567
0.0767;0.00279041;0.0229213;0.00407578;0.0568
0.0768;0.00278812;0.0229211;0.00407807;0.0569
0.0769;0.00278583;0.022921;0.00408036;0.057
0.077;0.00278354;0.0229209;0.00408265;0.0571
0.0771;0.00278124;0.0229208;0.00408495;0.0572
0.0772;0.00277895;0.0229206;0.00408724;0.0573
0.0773;0.00277666;0.0229205;0.00408953;0.0574
0.0774;0.00277437;0.0229204;0.00409182;0.0575
0.0775;0.00277208;0.0229203;0.00409411;0.0576
0.0776;0.00276978;0.0229202;0.00409641;0.0577
0.0777;0.00276749;0.0229201;0.0040987;0.0578
0.0778;0.0027652;0.02292;0.00410099;0.0579
0.0779;0.00276291;0.0229199;0.00410328;0.058
0.078;0.00276062;0.0229198;0.00410557;0.0581
0.0781;0.00275832;0.0229197;0.00410787;0.0582
0.0782;0.00275603;0.0229196;0.00411016;0.0583
0.0783;0.00275374;0.0229195;0.00411245;0.0584
0.0784;0.00275145;0.0229195;0.00411474;0.0585
0.0785;0.00274916;0.0229194;0.00411703;0.0586
0.0786;0.00274687;0.0229193;0.00411932;0.0587
0.0787;0.00274457;0.0229192;0.00412162;0.0588
0.0788;0.00274228;0.0229191;0.00412391;0.0589
0.0789;0.00273999;0.0229191;0.0041262;0.059
0.079;0.0027377;0.022919;0.00412849;0.0591
0.0791;0.0027354;0.0229189;0.00413079;0.0592
0.0792;0.00273311;0.0229189;0.00413308;0.0593
0.0793;0.00273082;0.0229188;0.00413537;0.0594
0.0794;0.00272853;0.0229188;0.00413766;0.0595
0.0795;0.00272624;0.0229187;0.00413995;0.0596
0.0796;0.00272395;0.0229186;0.00414224;0.0597
0.0797;0.00272165;0.0229186;0.00414454;0.0598
0.0798;0.00271936;0.0229185;0.00414683;0.0599
0.0799;0.00271707;0.0229185;0.00414912;0.06
0.08;0.00271478;0.0229184;0.00415141;0.0601
0.0801;0.00271249;0.0229184;0.0041537;0.0602
0.0802;0.0027102;0.0229183;0.00415599;0.0603
0.0803;0.0027079;0.0229183;0.00415829;0.0604
0.0804;0.00270561;0.0229182;0.00416058;0.0605
0.0805;0.00270332;0.0229182;0.00416287;0.0606
0.0806;0.00270103;0.0229182;0.00416516;0.0607
0.0807;0.00269873;0.0229181;0.00416746;0.0608
0.0808;0.00269644;0.0229181;0.00416975;0.0609
0.0809;0.00269415;0.022918;0.00417204;0.061
0.081;0.00269186;0.022918;0.00417433;0.0611
0.0811;0.00268957;0.022918;0.00417662;0.0612
0.0812;0.00268728;0.0229179;0.00417891;0.0613
0.0813;0.00268498;0.0229179;0.00418121;0.0614
0.0814;0.00268269;0.0229179;0.0041835;0.0615
0.0815;0.0026804;0.0229178;0.00418579;0.0616
0.0816;0.00267811;0.0229178;0.00418808;0.0617
0.0817;0.00267582;0.0229178;0.00419037;0.0618
0.0818;0.00267353;0.0229177;0.00419266;0.0619
0.0819;0.00267123;0.0229177;0.00419496;0.062
0.082;0.00266894;0.0229177;0.00419725;0.0621
0.0821;0.00266665;0.0229177;0.00419954;0.0622
0.0822;0.00266436;0.0229176;0.00420183;0.0623
0.0823;0.00266207;0.0229176;0.00420412;0.0624
0.0824;0.00265978;0.0229176;0.00420641;0.0625
0.0825;0.00265748;0.0229176;0.00420871;0.0626
0.0826;0.00265519;0.0229175;0.004211;0.0627
0.0827;0.0026529;0.0229175;0.00421329;0.0628
0.0828;0.00265061;0.0229175;0.00421558;0.0629
0.0829;0.00264832;0.0229175;0.00421787;0.063
0.083;0.00264602;0.0229175;0.00422017;0.0631
0.0831;0.00264373;0.0229174;0.00422246;0.0632
0.0832;0.00264144;0.0229174;0.00422475;0.0633
0.0833;0.00263915;0.0229174;0.00422704;0.0634
0.0834;0.00263686;0.0229174;0.00422933;0.0635
0.0835;0.00263457;0.0229174;0.00423162;0.0636
0.0836;0.00263227;0.0229174;0.00423392;0.0637
0.0837;0.00262998;0.0229173;0.00423621;0.0638
0.0838;0.00262769;0.0229173;0.0042385;0.0639
0.0839;0.0026254;0.0229173;0.00424079;0.064
0.084;0.00262311;0.0229173;0.00424308;0.0641
0.0841;0.00262082;0.0229173;0.00424537;0.0642
0.0842;0.00261852;0.0229173;0.00424767;0.0643
0.0843;0.00261623;0.0229173;0.00424996;0.0644
0.0844;0.00261394;0.0229172;0.00425225;0.0645
0.0845;0.00261165;0.0229172;0.00425454;0.0646
0.0846;0.00260936;0.0229172;0.00425683;0.0647
0.0847;0.00260707;0.0229172;0.00425912;0.0648
0.0848;0.00260477;0.0229172;0.00426142;0.0649
0.0849;0.00260248;0.0229172;0.00426371;0.065
0.085;0.00260019;0.0229172;0.004266;0.0651
0.0851;0.0025979;0.0229172;0.00426829;0.0652
0.0852;0.00259561;0.0229171;0.00427058;0.0653
0.0853;0.00259332;0.0229171;0.00427287;0.0654
0.0854;0.00259102;0.0229171;0.00427517;0.0655
0.0855;0.00258873;0.0229171;0.00427746;0.0656
0.0856;0.00258644;0.0229171;0.00427975;0.0657
0.0857;0.00258415;0.0229171;0.00428204;0.0658
0.0858;0.00258186;0.0229171;0.00428433;0.0659
0.0859;0.00257956;0.0229171;0.00428663;0.066
0.086;0.00257727;0.0229171;0.00428892;0.0661
0.0861;0.00257498;0.0229171;0.00429121;0.0662
0.0862;0.00257269;0.0229171;0.0042935;0.0663
0.0863;0.0025704;0.0229171;0.00429579;0.0664
0.0864;0.00256811;0.0229171;0.00429808;0.0665
0.0865;0.00256581;0.022917;0.00430038;0.0666
0.0866;0.00256352;0.022917;0.00430267;0.0667
0.0867;0.00256123;0.022917;0.00430496;0.0668
0.0868;0.00255894;0.022917;0.00430725;0.0669
0.0869;0.00255665;0.022917;0.00430954;0.067
0.087;0.00255436;0.022917;0.00431183;0.0671
0.0871;0.00255206;0.022917;0.00431413;0.0672
0.0872;0.00254977;0.022917;0.00431642;0.0673
0.0873;0.00254748;0.022917;0.00431871;0.0674
0.0874;0.00254519;0.022917;0.004321;0.0675
0.0875;0.0025429;0.022917;0.00432329;0.0676
0.0876;0.00254061;0.022917;0.00432558;0.0677
0.0877;0.00253831;0.022917;0.00432788;0.0678
0.0878;0.00253602;0.022917;0.00433017;0.0679
0.0879;0.00253373;0.022917;0.00433246;0.068
0.088;0.00253144;0.022917;0.00433475;0.0681
0.0881;0.00252915;0.022917;0.00433704;0.0682
0.0882;0.00252686;0.022917;0.00433933;0.0683
0.0883;0.00252456;0.022917;0.00434163;0.0684
0.0884;0.00252227;0.0229169;0.00434392;0.0685
0.0885;0.00251998;0.0229169;0.00434621;0.0686
0.0886;0.00251769;0.0229169;0.0043485;0.0687
0.0887;0.0025154;0.0229169;0.00435079;0.0688
0.0888;0.0025131;0.0229169;0.00435309;0.0689
0.0889;0.00251081;0.0229169;0.00435538;0.069
0.089;0.00250852;0.0229169;0.00435767;0.0691
0.0891;0.00250623;0.0229169;0.00435996;0.0692
0.0892;0.00250394;0.0229169;0.00436225;0.0693
0.0893;0.00250165;0.0229169;0.00436454;0.0694
0.0894;0.00249935;0.0229169;0.00436684;0.0695
0.0895;0.00249706;0.0229169;0.00436913;0.0696
0.0896;0.00249477;0.0229169;0.00437142;0.0697
0.0897;0.00249248;0.0229169;0.00437371;0.0698
0.0898;0.00249019;0.0229169;0.004376;0.0699
0.0899;0.0024879;0.0229169;0.00437829;0.07
0.09;0.0024856;0.0229169;0.00438059;0.0701
0.0901;0.00248331;0.0229169;0.00438288;0.0702
0.0902;0.00248102;0.0229169;0.00438517;0.0703
0.0903;0.00247873;0.0229169;0.00438746;0.0704
0.0904;0.00247644;0.0229169;0.00438975;0.0705
0.0905;0.00247415;0.0229169;0.00439204;0.0706
0.0906;0.00247186;0.0229169;0.00439433;0.0707
0.0907;0.00246956;0.0229169;0.00439663;0.0708
0.0908;0.00246727;0.0229169;0.00439892;0.0709
0.0909;0.00246498;0.0229169;0.00440121;0.071
0.091;0.00246269;0.0229169;0.0044035;0.0711
0.0911;0.0024604;0.0229169;0.00440579;0.0712
0.0912;0.00245811;0.0229169;0.00440808;0.0713
0.0913;0.00245581;0.0229169;0.00441038;0.0714
0.0914;0.00245352;0.0229169;0.00441267;0.0715
0.0915;0.00245123;0.0229169;0.00441496;0.0716
0.0916;0.00244894;0.0229169;0.00441725;0.0717
0.0917;0.00244665;0.0229169;0.00441954;0.0718
0.0918;0.00244436;0.0229169;0.00442183;0.0719
0.0919;0.00244206;0.0229169;0.00442413;0.072
0.092;0.00243977;0.0229169;0.00442642;0.0721
0.0921;0.00243748;0.0229169;0.00442871;0.0722
0.0922;0.00243519;0.0229169;0.004431;0.0723
0.0923;0.0024329;0.0229169;0.00443329;0.0724
0.0924;0.00243061;0.0229169;0.00443558;0.0725
0.0925;0.00242831;0.0229169;0.00443788;0.0726
0.0926;0.00242602;0.0229169;0.00444017;0.0727
0.0927;0.00242373;0.0229169;0.00444246;0.0728
0.0928;0.00242144;0.0229169;0.00444475;0.0729
0.0929;0.00241915;0.0229169;0.00444704;0.073
0.093;0.00241685;0.0229169;0.00444934;0.0731
0.0931;0.00241456;0.0229169;0.00445163;0.0732
0.0932;0.00241227;0.0229169;0.00445392;0.0733
0.0933;0.00240998;0.0229169;0.00445621;0.0734
0.0934;0.00240769;0.0229169;0.0044585;0.0735
0.0935;0.0024054;0.0229169;0.00446079;0.0736
0.0936;0.0024031;0.0229169;0.00446309;0.0737
0.0937;0.00240081;0.0229169;0.00446538;0.0738
0.0938;0.00239852;0.0229169;0.00446767;0.0739
0.0939;0.00239623;0.0229169;0.00446996;0.074
0.094;0.00239394;0.0229169;0.00447225;0.0741
0.0941;0.00239165;0.0229168;0.00447454;0.0742
0.0942;0.00238935;0.0229168;0.00447684;0.0743
0.0943;0.00238706;0.0229168;0.00447913;0.0744
0.0944;0.00238477;0.0229168;0.00448142;0.0745
0.0945;0.00238248;0.0229168;0.00448371;0.0746
0.0946;0.00238019;0.0229168;0.004486;0.0747
0.0947;0.0023779;0.0229168;0.00448829;0.0748
0.0948;0.0023756;0.0229168;0.00449059;0.0749
0.0949;0.00237331;0.0229168;0.00449288;0.075
0.095;0.00237102;0.0229168;0.00449517;0.0751
0.0951;0.00236873;0.0229168;0.00449746;0.0752
0.0952;0.00236644;0.0229168;0.00449975;0.0753
0.0953;0.00236415;0.0229168;0.00450204;0.0754
0.0954;0.00236185;0.0229168;0.00450434;0.0755
0.0955;0.00235956;0.0229168;0.00450663;0.0756
0.0956;0.00235727;0.0229168;0.00450892;0.0757
0.0957;0.00235498;0.0229168;0.00451121;0.0758
0.0958;0.00235269;0.0229168;0.0045135;0.0759
0.0959;0.00235039;0.0229168;0.0045158;0.076
0.096;0.0023481;0.0229168;0.00451809;0.0761
0.0961;0.00234581;0.0229168;0.00452038;0.0762
0.0962;0.00234352;0.0229168;0.00452267;0.0763
0.0963;0.00234123;0.0229168;0.00452496;0.0764
0.0964;0.00233894;0.0229168;0.00452725;0.0765
0.0965;0.00233665;0.0229168;0.00452954;0.0766
0.0966;0.00233435;0.0229168;0.00453184;0.0767
0.0967;0.00233206;0.0229168;0.00453413;0.0768
0.0968;0.00232977;0.0229168;0.00453642;0.0769
0.0969;0.00232748;0.0229168;0.00453871;0.077
0.097;0.00232519;0.0229168;0.004541;0.0771
0.0971;0.0023229;0.0229168;0.00454329;0.0772
0.0972;0.0023206;0.0229168;0.00454559;0.0773
0.0973;0.00231831;0.0229168;0.00454788;0.0774
0.0974;0.00231602;0.0229168;0.00455017;0.0775
0.0975;0.00231373;0.0229168;0.00455246;0.0776
0.0976;0.00231144;0.0229168;0.00455475;0.0777
0.0977;0.00230915;0.0229168;0.00455704;0.0778
0.0978;0.00230685;0.0229168;0.00455934;0.0779
0.0979;0.00230456;0.0229168;0.00456163;0.078
0.098;0.00230227;0.0229168;0.00456392;0.0781
0.0981;0.00229998;0.0229168;0.00456621;0.0782
0.0982;0.00229769;0.0229168;0.0045685;0.0783
0.0983;0.0022954;0.0229168;0.00457079;0.0784
0.0984;0.0022931;0.0229168;0.00457309;0.0785
0.0985;0.00229081;0.0229168;0.00457538;0.0786
0.0986;0.00228852;0.0229168;0.00457767;0.0787
0.0987;0.00228623;0.0229168;0.00457996;0.0788
0.0988;0.00228394;0.0229168;0.00458225;0.0789
0.0989;0.00228165;0.0229168;0.00458454;0.079
0.099;0.00227935;0.0229168;0.00458684;0.0791
0.0991;0.00227706;0.0229168;0.00458913;0.0792
0.0992;0.00227477;0.0229168;0.00459142;0.0793
0.0993;0.00227248;0.0229168;0.00459371;0.0794
0.0994;0.00227019;0.0229168;0.004596;0.0795
0.0995;0.0022679;0.0229168;0.00459829;0.0796
0.0996;0.0022656;0.0229168;0.00460059;0.0797
0.0997;0.00226331;0.0229168;0.00460288;0.0798
0.0998;0.00226102;0.0229168;0.00460517;0.0799
0.0999;0.00225873;0.0229168;0.00460746;0.08
0.1;0.00225644;0.0229168;0.00460975;0.0801

