date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.0315;0.00621489;0.112074;0.0006513;0.0116
0.0316;0.00620363;0.113029;0.00066256;0.0117
0.0317;0.00619229;0.113983;0.0006739;0.0118
0.0318;0.00618084;0.114938;0.00068535;0.0119
0.0319;0.0061693;0.115892;0.00069689;0.012
0.032;0.00615767;0.116846;0.00070852;0.0121
0.0321;0.00614593;0.1178;0.00072026;0.0122
0.0322;0.0061341;0.118754;0.00073209;0.0123
0.0323;0.00612217;0.119707;0.00074402;0.0124
0.0324;0.00611016;0.12066;0.00075603;0.0125
0.0325;0.00609805;0.121613;0.00076814;0.0126
0.0326;0.00608583;0.122566;0.00078036;0.0127
0.0327;0.00607354;0.123517;0.00079265;0.0128
0.0328;0.00606113;0.12447;0.00080506;0.0129
0.0329;0.00604864;0.125422;0.00081755;0.013
0.033;0.00603605;0.126373;0.00083014;0.0131
0.0331;0.00602337;0.127324;0.00084282;0.0132
0.0332;0.00601058;0.128276;0.00085561;0.0133
0.0333;0.00599771;0.129226;0.00086848;0.0134
0.0334;0.00598474;0.130177;0.00088145;0.0135
0.0335;0.00597167;0.131127;0.00089452;0.0136
0.0336;0.00595852;0.132077;0.00090767;0.0137
0.0337;0.00594526;0.133027;0.00092093;0.0138
0.0338;0.00593191;0.133976;0.00093428;0.0139
0.0339;0.00591846;0.134926;0.00094773;0.014
0.034;0.00590493;0.135874;0.00096126;0.0141
0.0341;0.00589129;0.136823;0.0009749;0.0142
0.0342;0.00587756;0.137772;0.00098863;0.0143
0.0343;0.00586374;0.13872;0.00100245;0.0144
0.0344;0.00584981;0.139668;0.00101638;0.0145
0.0345;0.0058358;0.140616;0.00103039;0.0146
0.0346;0.0058217;0.141563;0.00104449;0.0147
0.0347;0.00580749;0.14251;0.0010587;0.0148
0.0348;0.00579319;0.143457;0.001073;0.0149
0.0349;0.0057788;0.144403;0.00108739;0.015
0.035;0.00576431;0.14535;0.00110188;0.0151
0.0351;0.00574972;0.146296;0.00111647;0.0152
0.0352;0.00573504;0.147242;0.00113115;0.0153
0.0353;0.00572028;0.148188;0.00114591;0.0154
0.0354;0.00570541;0.149133;0.00116078;0.0155
0.0355;0.00569045;0.150079;0.00117574;0.0156
0.0356;0.0056754;0.151023;0.00119079;0.0157
0.0357;0.00566025;0.151968;0.00120594;0.0158
0.0358;0.005645;0.152912;0.00122119;0.0159
0.0359;0.00562967;0.153856;0.00123652;0.016
0.036;0.00561423;0.1548;0.00125196;0.0161
0.0361;0.0055987;0.155744;0.00126749;0.0162
0.0362;0.00558309;0.156686;0.0012831;0.0163
0.0363;0.00556737;0.15763;0.00129882;0.0164
0.0364;0.00555155;0.158572;0.00131464;0.0165
0.0365;0.00553565;0.159515;0.00133054;0.0166
0.0366;0.00551966;0.160457;0.00134653;0.0167
0.0367;0.00550356;0.161399;0.00136263;0.0168
0.0368;0.00548737;0.162341;0.00137882;0.0169
0.0369;0.0054711;0.163282;0.00139509;0.017
0.037;0.00545472;0.164223;0.00141147;0.0171
0.0371;0.00543824;0.165164;0.00142795;0.0172
0.0372;0.00542169;0.166104;0.0014445;0.0173
0.0373;0.00540503;0.167045;0.00146116;0.0174
0.0374;0.00538827;0.167985;0.00147792;0.0175
0.0375;0.00537144;0.168925;0.00149475;0.0176
0.0376;0.00535449;0.169864;0.0015117;0.0177
0.0377;0.00533745;0.170804;0.00152874;0.0178
0.0378;0.00532034;0.171742;0.00154585;0.0179
0.0379;0.00530311;0.172681;0.00156308;0.018
0.038;0.00528579;0.17362;0.0015804;0.0181
0.0381;0.00526838;0.174558;0.00159781;0.0182
0.0382;0.00525088;0.175496;0.00161531;0.0183
0.0383;0.00523328;0.176434;0.00163291;0.0184
0.0384;0.00521559;0.177371;0.0016506;0.0185
0.0385;0.00519781;0.178308;0.00166838;0.0186
0.0386;0.00517993;0.179245;0.00168626;0.0187
0.0387;0.00516196;0.180182;0.00170423;0.0188
0.0388;0.0051439;0.181118;0.00172229;0.0189
0.0389;0.00512574;0.182054;0.00174045;0.019
0.039;0.00510748;0.18299;0.00175871;0.0191
0.0391;0.00508915;0.183925;0.00177704;0.0192
0.0392;0.0050707;0.18486;0.00179549;0.0193
0.0393;0.00505217;0.185795;0.00181402;0.0194
0.0394;0.00503353;0.18673;0.00183266;0.0195
0.0395;0.00501482;0.187664;0.00185137;0.0196
0.0396;0.00499601;0.188599;0.00187018;0.0197
0.0397;0.0049771;0.189533;0.00188909;0.0198
0.0398;0.00495811;0.190466;0.00190808;0.0199
0.0399;0.00493901;0.191399;0.00192718;0.02
0.04;0.00491982;0.192333;0.00194637;0.0201
0.0401;0.00490055;0.193265;0.00196564;0.0202
0.0402;0.00488117;0.194197;0.00198502;0.0203
0.0403;0.0048617;0.19513;0.00200449;0.0204
0.0404;0.00484215;0.196061;0.00202404;0.0205
0.0405;0.00482249;0.196993;0.0020437;0.0206
0.0406;0.00480274;0.197925;0.00206345;0.0207
0.0407;0.0047829;0.198856;0.00208329;0.0208
0.0408;0.00476298;0.199786;0.00210321;0.0209
0.0409;0.00474295;0.200717;0.00212324;0.021
0.041;0.00472282;0.201648;0.00214337;0.0211
0.0411;0.00470262;0.202577;0.00216357;0.0212
0.0412;0.00468231;0.203507;0.00218388;0.0213
0.0413;0.00466191;0.204437;0.00220428;0.0214
0.0414;0.00464143;0.205365;0.00222476;0.0215
0.0415;0.00462084;0.206294;0.00224535;0.0216
0.0416;0.00460016;0.207223;0.00226603;0.0217
0.0417;0.00457941;0.208151;0.00228678;0.0218
0.0418;0.00455854;0.209079;0.00230765;0.0219
0.0419;0.00453758;0.210007;0.00232861;0.022
0.042;0.00451654;0.210934;0.00234965;0.0221
0.0421;0.0044954;0.211862;0.00237079;0.0222
0.0422;0.00447416;0.212789;0.00239203;0.0223
0.0423;0.00445283;0.213716;0.00241336;0.0224
0.0424;0.00443142;0.214641;0.00243477;0.0225
0.0425;0.00440991;0.215568;0.00245628;0.0226
0.0426;0.0043883;0.216494;0.00247789;0.0227
0.0427;0.00436662;0.217419;0.00249957;0.0228
0.0428;0.00434482;0.218344;0.00252137;0.0229
0.0429;0.00432294;0.219269;0.00254325;0.023
0.043;0.00430098;0.220194;0.00256521;0.0231
0.0431;0.0042789;0.221118;0.00258729;0.0232
0.0432;0.00425674;0.222042;0.00260945;0.0233
0.0433;0.0042345;0.222966;0.00263169;0.0234
0.0434;0.00421215;0.223889;0.00265404;0.0235
0.0435;0.00418971;0.224813;0.00267648;0.0236
0.0436;0.00416718;0.225736;0.00269901;0.0237
0.0437;0.00414457;0.226658;0.00272162;0.0238
0.0438;0.00412186;0.227581;0.00274433;0.0239
0.0439;0.00409905;0.228503;0.00276714;0.024
0.044;0.00407616;0.229425;0.00279003;0.0241
0.0441;0.00405317;0.230346;0.00281302;0.0242
0.0442;0.00403008;0.231268;0.00283611;0.0243
0.0443;0.00400692;0.232188;0.00285927;0.0244
0.0444;0.00398397;0.224026;0.00288222;0.0245
0.0445;0.00396213;0.212787;0.00290406;0.0246
0.0446;0.00394139;0.202399;0.0029248;0.0247
0.0447;0.00392164;0.192762;0.00294455;0.0248
0.0448;0.00390281;0.183814;0.00296338;0.0249
0.0449;0.00388485;0.175489;0.00298134;0.025
0.045;0.0038677;0.167737;0.00299849;0.0251
0.0451;0.00385129;0.160495;0.0030149;0.0252
0.0452;0.00383558;0.153725;0.00303061;0.0253
0.0453;0.00382053;0.147392;0.00304566;0.0254
0.0454;0.00380609;0.141451;0.0030601;0.0255
0.0455;0.00379222;0.135873;0.00307397;0.0256
0.0456;0.00377891;0.130636;0.00308728;0.0257
0.0457;0.00376609;0.125704;0.0031001;0.0258
0.0458;0.00375375;0.121058;0.00311244;0.0259
0.0459;0.00374187;0.11668;0.00312432;0.026
0.046;0.00373041;0.112544;0.00313578;0.0261
0.0461;0.00371935;0.108636;0.00314684;0.0262
0.0462;0.00370868;0.104943;0.00315751;0.0263
0.0463;0.00369836;0.101444;0.00316783;0.0264
0.0464;0.00368838;0.09813;0.00317781;0.0265
0.0465;0.00367872;0.0949873;0.00318747;0.0266
0.0466;0.00366938;0.0920075;0.00319681;0.0267
0.0467;0.00366032;0.0891755;0.00320587;0.0268
0.0468;0.00365154;0.0864844;0.00321465;0.0269
0.0469;0.00364302;0.0839272;0.00322317;0.027
0.047;0.00363475;0.0814919;0.00323144;0.0271
0.0471;0.00362672;0.0791731;0.00323947;0.0272
0.0472;0.00361892;0.0769654;0.00324727;0.0273
0.0473;0.00361132;0.0748592;0.00325487;0.0274
0.0474;0.00360394;0.0728503;0.00326225;0.0275
0.0475;0.00359675;0.0709344;0.00326944;0.0276
0.0476;0.00358975;0.0691035;0.00327644;0.0277
0.0477;0.00358293;0.0673545;0.00328326;0.0278
0.0478;0.00357627;0.0656827;0.00328992;0.0279
0.0479;0.00356979;0.0640853;0.0032964;0.028
0.048;0.00356346;0.0625558;0.00330273;0.0281
0.0481;0.00355727;0.061092;0.00330892;0.0282
0.0482;0.00355124;0.0596915;0.00331495;0.0283
0.0483;0.00354533;0.0583489;0.00332086;0.0284
0.0484;0.00353956;0.0570624;0.00332663;0.0285
0.0485;0.00353392;0.0558301;0.00333227;0.0286
0.0486;0.0035284;0.0546474;0.00333779;0.0287
0.0487;0.00352299;0.0535128;0.0033432;0.0288
0.0488;0.00351769;0.0524249;0.0033485;0.0289
0.0489;0.0035125;0.0513798;0.00335369;0.029
0.049;0.00350741;0.0503763;0.00335878;0.0291
0.0491;0.00350242;0.0494123;0.00336377;0.0292
0.0492;0.00349753;0.0484869;0.00336866;0.0293
0.0493;0.00349273;0.0475967;0.00337346;0.0294
0.0494;0.00348801;0.046741;0.00337818;0.0295
0.0495;0.00348338;0.0459188;0.00338281;0.0296
0.0496;0.00347883;0.0451273;0.00338736;0.0297
0.0497;0.00347435;0.0443659;0.00339184;0.0298
0.0498;0.00346995;0.0436337;0.00339624;0.0299
0.0499;0.00346562;0.0429284;0.00340057;0.03
