Date [s],Tmean2d( B/C ) [<unknown>]
3.97,354.658
3.98,354.636
3.99,354.631
4,354.623
4.01,354.61
4.02,354.614
4.03,354.594
4.04,354.572
4.05,354.561
4.06,354.553
4.07,354.543
4.08,354.536
4.09,354.523
4.1,354.494
4.11,354.466
4.12,354.43
4.13,354.4
4.14,354.378
4.15,354.378
4.16,354.363
4.17,354.347
4.18,354.347
4.19,354.335
4.2,354.314
4.21,354.277
4.22,354.242
4.23,354.217
4.24,354.17
4.25,354.148
4.26,354.112
4.27,354.093
4.28,354.071
4.29,354.046
4.3,354.028
4.31,354.013
4.32,353.996
4.33,353.983
4.34,353.966
4.35,353.949
4.36,353.927
4.37,353.906
4.38,353.899
4.39,353.887
4.4,353.872
4.41,353.862
4.42,353.83
4.43,353.814
4.44,353.824
4.45,353.8
4.46,353.785
4.47,353.77
4.48,353.769
4.49,353.763
4.5,353.738
4.51,353.721
4.52,353.691
4.53,353.657
4.54,353.625
4.55,353.613
4.56,353.585
4.57,353.544
4.58,353.524
4.59,353.516
4.6,353.517
4.61,353.501
4.62,353.488
4.63,353.49
4.64,353.498
4.65,353.482
4.66,353.451
4.67,353.417
4.68,353.399
4.69,353.359
4.7,353.318
4.71,353.278
4.72,353.253
4.73,353.238
4.74,353.226
4.75,353.226
4.76,353.22
4.77,353.207
4.78,353.204
4.79,353.206
4.8,353.19
4.81,353.169
4.82,353.143
4.83,353.121
4.84,353.098
4.85,353.083
4.86,353.068
4.87,353.05
4.88,353.023
4.89,353.012
4.9,353.008
4.91,352.983
4.92,352.963
4.93,352.944
4.94,352.903
4.95,352.877
4.96,352.84
4.97,352.808
4.98,352.77
4.99,352.766
5,352.756
5.01,352.729
5.02,352.72
5.03,352.722
5.04,352.724
5.05,352.732
5.06,352.739
5.07,352.718
5.08,352.7
5.09,352.68
5.1,352.677
5.11,352.676
5.12,352.68
5.13,352.686
5.14,352.668
5.15,352.649
5.16,352.631
5.17,352.607
5.18,352.621
5.19,352.593
5.2,352.573
5.21,352.547
5.22,352.519
5.23,352.511
5.24,352.497
5.25,352.468
5.26,352.447
5.27,352.437
5.28,352.421
5.29,352.406
5.3,352.377
5.31,352.358
5.32,352.347
5.33,352.322
5.34,352.306
5.35,352.296
5.36,352.281
5.37,352.266
5.38,352.257
5.39,352.233
5.4,352.216
5.41,352.21
5.42,352.172
5.43,352.152
5.44,352.157
5.45,352.157
5.46,352.171
5.47,352.166
5.48,352.167
5.49,352.163
5.5,352.147
5.51,352.152
5.52,352.147
5.53,352.129
5.54,352.109
5.55,352.082
5.56,352.052
5.57,352.047
5.58,352.026
5.59,352.02
5.6,352.01
5.61,351.994
5.62,351.991
5.63,351.975
5.64,351.951
5.65,351.946
5.66,351.931
5.67,351.914
5.68,351.887
5.69,351.865
5.7,351.841
5.71,351.83
5.72,351.801
5.73,351.758
5.74,351.734
5.75,351.698
5.76,351.659
5.77,351.631
5.78,351.618
5.79,351.6
5.8,351.586
5.81,351.561
5.82,351.545
5.83,351.52
5.84,351.515
5.85,351.512
5.86,351.508
5.87,351.506
5.88,351.497
5.89,351.489
5.9,351.497
5.91,351.518
5.92,351.521
5.93,351.523
5.94,351.526
5.95,351.531
5.96,351.533
5.97,351.525
5.98,351.511
5.99,351.487
6,351.474
6.01,351.481
