Date [s],Average:Temperature [K]
3.99,356.002
4,355.985
4.01,355.968
4.02,355.95
4.03,355.932
4.04,355.914
4.05,355.897
4.06,355.881
4.07,355.865
4.08,355.849
4.09,355.833
4.1,355.817
4.11,355.8
4.12,355.783
4.13,355.766
4.14,355.749
4.15,355.731
4.16,355.714
4.17,355.696
4.18,355.679
4.19,355.662
4.2,355.646
4.21,355.629
4.22,355.613
