Date [s],Tmedia( B/C ) [<unknown>]
3.98,351.707
3.99,351.682
4,351.655
4.01,351.624
4.02,351.598
4.03,351.55
4.04,351.51
4.05,351.482
4.06,351.442
4.07,351.401
4.08,351.353
4.09,351.315
4.1,351.298
4.11,351.26
4.12,351.236
4.13,351.206
4.14,351.161
4.15,351.092
4.16,351.069
4.17,351.011
4.18,350.972
4.19,350.943
4.2,350.944
4.21,350.925
4.22,350.9
4.23,350.88
4.24,350.861
4.25,350.854
4.26,350.86
4.27,350.833
4.28,350.826
4.29,350.814
4.3,350.804
4.31,350.808
4.32,350.785
4.33,350.773
4.34,350.742
4.35,350.735
4.36,350.703
4.37,350.689
4.38,350.645
4.39,350.64
4.4,350.644
4.41,350.638
4.42,350.633
4.43,350.623
4.44,350.628
4.45,350.617
4.46,350.607
4.47,350.556
4.48,350.528
4.49,350.497
4.5,350.475
4.51,350.441
4.52,350.415
4.53,350.325
4.54,350.259
4.55,350.22
4.56,350.182
4.57,350.151
4.58,350.127
4.59,350.088
4.6,350.082
4.61,350.047
4.62,350.027
4.63,350.006
4.64,349.979
4.65,349.95
4.66,349.906
4.67,349.91
4.68,349.899
4.69,349.891
4.7,349.899
4.71,349.895
4.72,349.921
4.73,349.929
4.74,349.939
4.75,349.949
4.76,349.94
4.77,349.944
4.78,349.931
4.79,349.923
4.8,349.896
4.81,349.882
4.82,349.862
4.83,349.825
4.84,349.81
4.85,349.815
4.86,349.792
4.87,349.791
4.88,349.799
4.89,349.771
4.9,349.765
4.91,349.775
4.92,349.777
4.93,349.741
4.94,349.705
4.95,349.645
4.96,349.553
4.97,349.489
4.98,349.438
4.99,349.403
5,349.367
5.01,349.334
5.02,349.305
5.03,349.293
5.04,349.297
5.05,349.279
5.06,349.252
5.07,349.218
5.08,349.186
5.09,349.162
5.1,349.133
5.11,349.118
5.12,349.094
5.13,349.078
5.14,349.051
5.15,349.024
5.16,348.963
