Date [s];Tmean1d( D/E ) [<unknown>]
3,97;350,237
3,98;350,226
3,99;350,283
4;350,315
4,01;350,327
4,02;350,359
4,03;350,368
4,04;350,373
4,05;350,35
4,06;350,361
4,07;350,364
4,08;350,312
4,09;350,285
4,1;350,243
4,11;350,14
4,12;350,124
4,13;350,052
4,14;350,03
4,15;350,031
4,16;349,947
4,17;349,919
4,18;349,873
4,19;349,845
4,2;349,804
4,21;349,79
4,22;349,778
4,23;349,747
4,24;349,721
4,25;349,7
4,26;349,724
4,27;349,734
4,28;349,708
4,29;349,689
4,3;349,651
4,31;349,578
4,32;349,549
4,33;349,552
4,34;349,472
4,35;349,417
4,36;349,37
4,37;349,299
4,38;349,251
4,39;349,157
4,4;349,143
4,41;349,111
4,42;349,119
4,43;349,012
4,44;348,952
4,45;348,916
4,46;348,9
4,47;348,935
4,48;348,923
4,49;348,949
4,5;348,945
4,51;348,951
4,52;348,985
4,53;348,961
4,54;348,989
4,55;348,94
4,56;348,919
4,57;348,93
4,58;348,878
4,59;348,831
