Date [s],Average:Average of Temperature (Study 01 - Property <01>) [K]
3.97,354.638
3.98,354.612
3.99,354.463
4,354.338
4.01,354.307
4.02,354.26
4.03,354.329
4.04,354.249
4.05,354.307
4.06,354.214
4.07,354.199
4.08,354.21
4.09,354.286
4.1,354.251
4.11,354.246
4.12,354.25
4.13,354.264
4.14,354.2
4.15,354.248
4.16,354.198
4.17,354.169
4.18,354.177
4.19,354.174
4.2,354.217
4.21,354.213
4.22,354.17
4.23,354.087
4.24,354.085
4.25,354.008
4.26,354.044
4.27,353.996
4.28,354.006
4.29,353.914
4.3,353.931
4.31,353.808
4.32,353.83
4.33,353.83
4.34,353.84
4.35,353.767
4.36,353.686
4.37,353.734
4.38,353.719
4.39,353.736
4.4,353.671
4.41,353.704
4.42,353.746
4.43,353.791
4.44,353.761
4.45,353.737
4.46,353.702
4.47,353.689
4.48,353.662
4.49,353.613
4.5,353.579
4.51,353.622
4.52,353.598
4.53,353.607
4.54,353.551
4.55,353.482
4.56,353.508
4.57,353.474
4.58,353.466
4.59,353.35
4.6,353.34
4.61,353.3
4.62,353.259
4.63,353.165
4.64,353.226
4.65,353.078
4.66,353.094
4.67,353.018
4.68,352.974
4.69,353.083
4.7,353.055
4.71,353.067
4.72,353.114
4.73,353.168
4.74,353.263
4.75,353.334
4.76,353.319
4.77,353.359
4.78,353.27
4.79,353.187
4.8,353.26
4.81,353.222
4.82,353.14
4.83,353.071
4.84,353.002
4.85,353.011
4.86,352.997
4.87,352.966
4.88,352.953
4.89,352.988
4.9,353.04
4.91,353.111
4.92,353.142
4.93,353.233
4.94,353.163
4.95,353.221
4.96,353.276
4.97,353.305
4.98,353.278
4.99,353.287
5,353.268
5.01,353.376
5.02,353.278
5.03,353.195
5.04,353.262
5.05,353.175
5.06,353.194
5.07,353.16
5.08,353.132
5.09,353.082
5.1,352.977
