Date [s],Min:Temperature (Study 01 - Particles) [K]
7.96,306.393
7.98,306.418
8,306.441
8.02,306.465
8.04,306.509
8.06,306.556
8.08,306.601
8.1,306.645
8.12,306.69
8.14,306.741
8.16,306.797
8.18,306.859
8.2,306.921
8.22,306.979
8.24,307.033
8.26,307.082
8.28,307.121
8.3,307.156
8.32,307.19
8.34,307.228
8.36,307.27
8.38,307.317
8.4,307.367
8.42,307.421
8.44,307.493
8.46,307.57
8.48,307.648
8.5,307.72
8.52,307.788
8.54,307.85
8.56,307.912
8.58,307.973
8.6,308.033
8.62,308.087
8.64,308.138
8.66,308.191
8.68,308.244
8.7,308.293
8.72,308.339
8.74,308.386
8.76,308.442
8.78,308.517
8.8,308.588
8.82,308.657
8.84,308.651
8.86,308.589
8.88,308.527
8.9,308.467
8.92,308.411
8.94,308.358
8.96,308.307
8.98,308.253
9,308.197
9.02,308.138
9.04,308.074
9.06,308.007
9.08,307.946
9.1,307.89
9.12,307.836
9.14,307.806
9.16,307.779
9.18,307.773
9.2,307.788
9.22,307.801
9.24,307.816
9.26,307.833
9.28,307.85
9.3,307.865
9.32,307.882
9.34,307.891
9.36,307.89
9.38,307.882
9.4,307.863
9.42,307.831
9.44,307.791
9.46,307.746
9.48,307.704
9.5,307.679
9.52,307.677
9.54,307.696
9.56,307.743
9.58,307.794
9.6,307.853
9.62,307.916
9.64,307.981
9.66,308.044
9.68,308.106
9.7,308.165
9.72,308.223
9.74,308.276
9.76,308.329
9.78,308.382
9.8,308.437
9.82,308.497
9.84,308.554
9.86,308.615
9.88,308.672
9.9,308.727
9.92,308.78
9.94,308.826
9.96,308.867
9.98,308.91
10,308.952
