Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0171;371.415;0.00461595;0.022777
0.0172;370.963;0.00461367;0.0227835
0.0173;370.513;0.0046114;0.0227898
0.0174;370.067;0.00460912;0.0227959
0.0175;369.623;0.00460684;0.0228018
0.0176;369.182;0.00460456;0.0228075
0.0177;368.744;0.00460227;0.0228131
0.0178;368.309;0.00459999;0.0228185
0.0179;367.876;0.00459771;0.0228237
0.018;367.446;0.00459543;0.0228288
0.0181;367.019;0.00459315;0.0228337
0.0182;366.594;0.00459086;0.0228385
0.0183;366.172;0.00458858;0.0228431
0.0184;365.753;0.00458629;0.0228476
0.0185;365.336;0.00458401;0.0228519
0.0186;364.922;0.00458172;0.0228562
0.0187;364.511;0.00457944;0.0228602
0.0188;364.103;0.00457715;0.0228642
0.0189;363.696;0.00457486;0.022868
0.019;363.293;0.00457258;0.0228718
0.0191;362.892;0.00457029;0.0228754
0.0192;362.493;0.004568;0.0228789
0.0193;362.097;0.00456571;0.0228823
0.0194;361.704;0.00456343;0.0228856
0.0195;361.313;0.00456114;0.0228888
0.0196;360.924;0.00455885;0.0228919
0.0197;360.538;0.00455656;0.0228949
0.0198;360.155;0.00455427;0.0228978
0.0199;359.773;0.00455198;0.0229006
0.02;359.395;0.00454969;0.0229033
0.0201;359.018;0.0045474;0.022906
0.0202;358.644;0.00454511;0.0229086
0.0203;358.273;0.00454282;0.0229111
0.0204;357.904;0.00454053;0.0229135
0.0205;357.536;0.00453823;0.0229158
0.0206;357.172;0.00453594;0.0229181
0.0207;356.81;0.00453365;0.0229203
0.0208;356.45;0.00453136;0.0229224
0.0209;356.092;0.00452907;0.0229245
0.021;355.736;0.00452677;0.0229265
0.0211;355.383;0.00452448;0.0229285
0.0212;355.032;0.00452219;0.0229304
0.0213;354.683;0.00451989;0.0229322
0.0214;354.337;0.0045176;0.022934
0.0215;353.992;0.00451531;0.0229357
0.0216;353.65;0.00451301;0.0229374
0.0217;353.31;0.00451072;0.022939
0.0218;352.972;0.00450843;0.0229406
0.0219;352.636;0.00450613;0.0229421
0.022;352.303;0.00450384;0.0229436
0.0221;351.971;0.00450154;0.022945
0.0222;351.642;0.00449925;0.0229463
0.0223;351.315;0.00449696;0.0229476
0.0224;350.989;0.00449466;0.0228408
0.0225;350.666;0.00449238;0.0229144
0.0226;350.345;0.00449008;0.0229444
0.0227;350.026;0.00448779;0.022946
0.0228;349.708;0.00448549;0.0229475
0.0229;349.393;0.0044832;0.0229489
0.023;349.08;0.00448091;0.0229502
0.0231;348.769;0.00447861;0.0229514
0.0232;348.46;0.00447631;0.0229526
0.0233;348.153;0.00447402;0.0229537
0.0234;347.848;0.00447172;0.0229548
0.0235;347.545;0.00446943;0.0229559
0.0236;347.243;0.00446713;0.0229569
0.0237;346.944;0.00446484;0.0229579
0.0238;346.646;0.00446254;0.0229589
0.0239;346.35;0.00446024;0.0229598
0.024;346.057;0.00445795;0.0229607
0.0241;345.765;0.00445565;0.0229616
0.0242;345.475;0.00445336;0.0229625
0.0243;345.187;0.00445106;0.0229633
0.0244;344.9;0.00444876;0.0229641
0.0245;344.615;0.00444647;0.0229649
0.0246;344.333;0.00444417;0.0229657
0.0247;344.052;0.00444187;0.0229664
0.0248;343.772;0.00443958;0.0229671
0.0249;343.495;0.00443728;0.0229678
0.025;343.219;0.00443498;0.0229685
0.0251;342.945;0.00443269;0.0229691
0.0252;342.673;0.00443039;0.0229698
0.0253;342.403;0.00442809;0.0229704
0.0254;342.134;0.0044258;0.022971
0.0255;341.867;0.0044235;0.0229716
0.0256;341.602;0.0044212;0.0229721
0.0257;341.338;0.00441891;0.0229727
0.0258;341.076;0.00441661;0.0229732
0.0259;340.815;0.00441431;0.0229737
0.026;340.557;0.00441201;0.0229742
0.0261;340.3;0.00440972;0.0229747
0.0262;340.044;0.00440742;0.0229752
0.0263;339.79;0.00440512;0.0229756
0.0264;339.538;0.00440282;0.0229761
0.0265;339.288;0.00440053;0.0229765
0.0266;339.039;0.00439823;0.0229769
0.0267;338.791;0.00439593;0.0229773
0.0268;338.545;0.00439363;0.0229777
0.0269;338.301;0.00439133;0.0229781
0.027;338.058;0.00438904;0.0229785
0.0271;337.817;0.00438674;0.0229788
0.0272;337.577;0.00438444;0.0229792
0.0273;337.339;0.00438214;0.0229795
0.0274;337.102;0.00437984;0.0229799
0.0275;336.867;0.00437755;0.0229802
0.0276;336.633;0.00437525;0.0229805
0.0277;336.401;0.00437295;0.0229808
0.0278;336.17;0.00437065;0.0229811
0.0279;335.941;0.00436835;0.0229814
0.028;335.713;0.00436606;0.0229816
0.0281;335.487;0.00436376;0.0229819
0.0282;335.262;0.00436146;0.0229821
0.0283;335.038;0.00435916;0.0229824
0.0284;334.816;0.00435686;0.0229826
0.0285;334.596;0.00435457;0.0229829
0.0286;334.376;0.00435227;0.0229831
0.0287;334.158;0.00434997;0.0229833
0.0288;333.942;0.00434767;0.0229835
0.0289;333.727;0.00434537;0.0229837
0.029;333.513;0.00434307;0.0229839
0.0291;333.301;0.00434078;0.0229841
0.0292;333.09;0.00433848;0.0229843
0.0293;332.88;0.00433618;0.0229845
0.0294;332.671;0.00433388;0.0229847
0.0295;332.464;0.00433158;0.0229849
0.0296;332.259;0.00432928;0.022985
