X, Y, Z, Temperature
time (s) = 0.0
 0.00000e+00, 2.35000e-01, 2.16840e-19, 3.00000e+02
 0.00000e+00, 2.45000e-01, 2.16840e-19, 3.00000e+02
time (s) = 0.02
 0.00000e+00,-2.45000e-01, 2.16840e-19, 3.46474e+02
 0.00000e+00,-2.35000e-01, 2.16840e-19, 3.33182e+02
 0.00000e+00,-2.25000e-01, 2.16840e-19, 3.20929e+02
 0.00000e+00,-2.15000e-01, 2.16840e-19, 3.11099e+02
 0.00000e+00,-2.05000e-01, 2.16840e-19, 3.04669e+02
 0.00000e+00,-1.95000e-01, 2.16840e-19, 3.01480e+02
 0.00000e+00,-1.85000e-01, 2.16840e-19, 3.00320e+02
 0.00000e+00,-1.75000e-01, 2.16840e-19, 3.00029e+02
