Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0171;322.168;0.00461596;0.0227769
0.0172;321.854;0.00461368;0.0227834
0.0173;321.545;0.0046114;0.0227897
0.0174;321.239;0.00460912;0.0227959
0.0175;320.938;0.00460684;0.0228018
0.0176;320.641;0.00460456;0.0228075
0.0177;320.349;0.00460228;0.0228131
0.0178;320.06;0.0046;0.0228185
0.0179;319.776;0.00459772;0.0228238
0.018;319.495;0.00459543;0.0228288
0.0181;319.219;0.00459315;0.0228338
0.0182;318.947;0.00459087;0.0228386
0.0183;318.678;0.00458858;0.0228432
0.0184;318.413;0.0045863;0.0228477
0.0185;318.152;0.00458401;0.022852
0.0186;317.894;0.00458173;0.0228563
0.0187;317.641;0.00457944;0.0228604
0.0188;317.39;0.00457716;0.0228643
0.0189;317.144;0.00457487;0.0228682
0.019;316.9;0.00457258;0.0228719
0.0191;316.661;0.00457029;0.0228756
0.0192;316.424;0.00456801;0.0228791
0.0193;316.191;0.00456572;0.0228825
0.0194;315.962;0.00456343;0.0228858
0.0195;315.735;0.00456114;0.022889
0.0196;315.512;0.00455885;0.0228921
0.0197;315.292;0.00455656;0.0228951
0.0198;315.075;0.00455427;0.022898
0.0199;314.861;0.00455198;0.0229009
0.02;314.65;0.00454969;0.0229036
0.0201;314.442;0.0045474;0.0229063
0.0202;314.237;0.00454511;0.0229088
0.0203;314.035;0.00454282;0.0229113
0.0204;313.836;0.00454053;0.0229138
0.0205;313.64;0.00453824;0.0229161
0.0206;313.446;0.00453595;0.0229184
0.0207;313.255;0.00453365;0.0229206
0.0208;313.067;0.00453136;0.0229228
0.0209;312.882;0.00452907;0.0229249
0.021;312.699;0.00452678;0.0229269
0.0211;312.519;0.00452448;0.0229288
0.0212;312.341;0.00452219;0.0229307
0.0213;312.166;0.0045199;0.0229326
0.0214;311.993;0.0045176;0.0229344
0.0215;311.823;0.00451531;0.0229361
0.0216;311.655;0.00451302;0.0229378
0.0217;311.49;0.00451072;0.0229394
0.0218;311.327;0.00450843;0.022941
0.0219;311.166;0.00450613;0.0229425
0.022;311.007;0.00450384;0.022944
0.0221;310.851;0.00450155;0.0229454
0.0222;310.697;0.00449925;0.0229468
0.0223;310.545;0.00449696;0.0229481
0.0224;310.395;0.00449467;0.0228463
0.0225;310.248;0.00449238;0.0229167
0.0226;310.102;0.00449009;0.0229451
0.0227;309.959;0.00448779;0.0229466
0.0228;309.818;0.0044855;0.0229482
0.0229;309.678;0.0044832;0.0229497
0.023;309.541;0.00448091;0.022951
