   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_y_velocity
0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 2.38614e+000
0.00000e+000 , 1.00000e-002 , 0.00000e+000 , 1.00000e-002 , 2.36897e+000
0.00000e+000 , 2.00000e-002 , 0.00000e+000 , 2.00000e-002 , 2.35246e+000
0.00000e+000 , 3.00000e-002 , 0.00000e+000 , 3.00000e-002 , 2.36488e+000
0.00000e+000 , 4.00000e-002 , 0.00000e+000 , 4.00000e-002 , 2.37115e+000
0.00000e+000 , 5.00000e-002 , 0.00000e+000 , 5.00000e-002 , 2.35651e+000
0.00000e+000 , 6.00000e-002 , 0.00000e+000 , 6.00000e-002 , 2.37357e+000
0.00000e+000 , 7.00000e-002 , 0.00000e+000 , 7.00000e-002 , 2.38348e+000
0.00000e+000 , 8.00000e-002 , 0.00000e+000 , 8.00000e-002 , 2.35231e+000
0.00000e+000 , 9.00000e-002 , 0.00000e+000 , 9.00000e-002 , 2.36770e+000
0.00000e+000 , 1.00000e-001 , 0.00000e+000 , 1.00000e-001 , 2.37613e+000
0.00000e+000 , 1.10000e-001 , 0.00000e+000 , 1.10000e-001 , 2.34867e+000
0.00000e+000 , 1.20000e-001 , 0.00000e+000 , 1.20000e-001 , 2.34932e+000
0.00000e+000 , 1.30000e-001 , 0.00000e+000 , 1.30000e-001 , 2.34927e+000
0.00000e+000 , 1.40000e-001 , 0.00000e+000 , 1.40000e-001 , 2.35306e+000
0.00000e+000 , 1.50000e-001 , 0.00000e+000 , 1.50000e-001 , 2.38238e+000
0.00000e+000 , 1.60000e-001 , 0.00000e+000 , 1.60000e-001 , 2.36438e+000
0.00000e+000 , 1.70000e-001 , 0.00000e+000 , 1.70000e-001 , 2.35136e+000
0.00000e+000 , 1.80000e-001 , 0.00000e+000 , 1.80000e-001 , 2.37012e+000
0.00000e+000 , 1.90000e-001 , 0.00000e+000 , 1.90000e-001 , 2.35515e+000
0.00000e+000 , 2.00000e-001 , 0.00000e+000 , 2.00000e-001 , 2.35075e+000
0.00000e+000 , 2.10000e-001 , 0.00000e+000 , 2.10000e-001 , 2.36832e+000
0.00000e+000 , 2.20000e-001 , 0.00000e+000 , 2.20000e-001 , 2.38742e+000
0.00000e+000 , 2.30000e-001 , 0.00000e+000 , 2.30000e-001 , 2.37223e+000
0.00000e+000 , 2.40000e-001 , 0.00000e+000 , 2.40000e-001 , 2.33771e+000
0.00000e+000 , 2.50000e-001 , 0.00000e+000 , 2.50000e-001 , 2.34826e+000
0.00000e+000 , 2.60000e-001 , 0.00000e+000 , 2.60000e-001 , 2.35302e+000
0.00000e+000 , 2.70000e-001 , 0.00000e+000 , 2.70000e-001 , 2.33907e+000
0.00000e+000 , 2.80000e-001 , 0.00000e+000 , 2.80000e-001 , 2.34347e+000
0.00000e+000 , 2.90000e-001 , 0.00000e+000 , 2.90000e-001 , 2.34371e+000
0.00000e+000 , 3.00000e-001 , 0.00000e+000 , 3.00000e-001 , 2.34798e+000
0.00000e+000 , 3.10000e-001 , 0.00000e+000 , 3.10000e-001 , 2.36404e+000
0.00000e+000 , 3.20000e-001 , 0.00000e+000 , 3.20000e-001 , 2.35532e+000
0.00000e+000 , 3.30000e-001 , 0.00000e+000 , 3.30000e-001 , 2.34624e+000
0.00000e+000 , 3.40000e-001 , 0.00000e+000 , 3.40000e-001 , 2.34900e+000
0.00000e+000 , 3.50000e-001 , 0.00000e+000 , 3.50000e-001 , 2.33967e+000
0.00000e+000 , 3.60000e-001 , 0.00000e+000 , 3.60000e-001 , 2.33379e+000
0.00000e+000 , 3.70000e-001 , 0.00000e+000 , 3.70000e-001 , 2.33942e+000
0.00000e+000 , 3.80000e-001 , 0.00000e+000 , 3.80000e-001 , 2.32307e+000
0.00000e+000 , 3.90000e-001 , 0.00000e+000 , 3.90000e-001 , 2.32160e+000
0.00000e+000 , 4.00000e-001 , 0.00000e+000 , 4.00000e-001 , 2.33774e+000
0.00000e+000 , 4.10000e-001 , 0.00000e+000 , 4.10000e-001 , 2.34581e+000
0.00000e+000 , 4.20000e-001 , 0.00000e+000 , 4.20000e-001 , 2.35050e+000
0.00000e+000 , 4.30000e-001 , 0.00000e+000 , 4.30000e-001 , 2.33048e+000
0.00000e+000 , 4.40000e-001 , 0.00000e+000 , 4.40000e-001 , 2.32061e+000
0.00000e+000 , 4.50000e-001 , 0.00000e+000 , 4.50000e-001 , 2.32149e+000
0.00000e+000 , 4.60000e-001 , 0.00000e+000 , 4.60000e-001 , 2.32877e+000
0.00000e+000 , 4.70000e-001 , 0.00000e+000 , 4.70000e-001 , 2.32733e+000
0.00000e+000 , 4.80000e-001 , 0.00000e+000 , 4.80000e-001 , 2.34846e+000
0.00000e+000 , 4.90000e-001 , 0.00000e+000 , 4.90000e-001 , 1.99059e+000
0.00000e+000 , 5.00000e-001 , 0.00000e+000 , 5.00000e-001 , 1.60688e+000
