Distance	TempMeanPressure	TempMeanVoidFraction	TempMeanVelocity
0	22907.16406	1.000003576	0.100000232
0.003212851	22907.16406	1.000003576	0.100000232
0.006425702	22907.16406	1.000003576	0.100000232
0.009638554	22907.16406	1.000003576	0.100000232
0.012851405	22907.16406	1.000003576	0.100001365
0.016064256	22907.16406	1.000003576	0.100001365
0.019277109	22907.16406	1.000003576	0.100001365
0.022489961	22907.16211	1.000003576	0.100004092
0.02570281	22907.16211	1.000003576	0.100004092
0.028915662	22907.16211	1.000003576	0.100004092
0.032128513	22907.16211	1.000003576	0.100008436
0.035341367	22907.16211	1.000003576	0.100008436
0.038554218	22907.16211	1.000003576	0.100008436
0.041767068	22907.16211	1.000003576	0.100013934
0.044979922	22907.16211	1.000003576	0.100013934
0.048192773	22907.16211	1.000003576	0.100013934
0.05140562	22907.16797	1.000003576	0.100019015
0.054618474	22907.16797	1.000003576	0.100019015
0.057831325	22907.16797	1.000003576	0.100019015
0.061044183	22907.17969	1.000003576	0.100021496
0.064257026	22907.17969	1.000003576	0.100021496
0.06746988	22907.17969	1.000003576	0.100021496
0.070682734	22907.17578	1.000003576	0.099914528
0.073895581	22907.17578	1.000003576	0.099914528
0.077108435	22907.17578	1.000003576	0.099914528
0.08032129	22907.17578	1.000003576	0.099914528
0.083534136	22907.20508	1.000003576	0.098741211
0.086746991	22907.20508	1.000003576	0.098741211
0.089959845	22907.20508	1.000003576	0.098741211
0.093172692	22907.30273	1.000003576	0.094308779
0.096385546	22907.30273	1.000003576	0.094308779
0.099598393	22907.30273	1.000003576	0.094308779
0.10281124	22907.29102	1.000003576	0.085001335
0.106024101	22907.29102	1.000003576	0.085001335
0.109236948	22907.29102	1.000003576	0.085001335
0.112449802	22906.79688	1.000003576	0.071526684
0.115662649	22906.79688	1.000003576	0.071526684
0.118875504	22906.79688	1.000003576	0.071526684
0.122088365	22905.25	1.000003576	0.057278119
0.125301212	22905.25	1.000003576	0.057278119
0.128514051	22905.25	1.000003576	0.057278119
0.131726906	22902.11133	1.000003576	0.048682004
0.13493976	22902.11133	1.000003576	0.048682004
0.138152614	22902.11133	1.000003576	0.048682004
0.141365469	22892.71875	0.90583837	0.053953644
0.144578323	22892.71875	0.90583837	0.053953644
0.147791162	22892.71875	0.90583837	0.053953644
0.151004016	22817.93359	0.522914052	0.140899494
0.154216871	22817.93359	0.522914052	0.140899494
0.157429725	22817.93359	0.522914052	0.140899494
0.160642579	22506.46875	0.379490256	0.247855604
0.163855419	22506.46875	0.379490256	0.247855604
0.167068273	22506.46875	0.379490256	0.247855604
0.170281127	22506.46875	0.379490256	0.247855604
0.173493981	22037.74023	0.37759167	0.240778923
0.176706836	22037.74023	0.37759167	0.240778923
0.17991969	22037.74023	0.37759167	0.240778923
0.183132529	21532.51367	0.354620337	0.260493875
0.186345384	21532.51367	0.354620337	0.260493875
