date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
4.35,-0.71516,-0.0126449,0.0924905,-0.0351621,-0.372781
4.4,-0.366894,0.0781188,0.227291,0.11476,0.0090143
4.45,-0.412047,0.00624026,0.0879548,0.134172,0.00905645
4.5,-0.777108,-0.1388,-0.0955303,0.0185999,-0.170441
4.55,-0.746775,-0.232078,-0.075536,0.0909426,-0.230487
4.6,-0.516488,-0.251435,-0.0346495,0.219917,-0.286735
4.65,-0.408884,-0.227862,-0.0662405,0.158139,-0.241226
4.7,-0.298324,-0.262731,-0.0164061,0.104633,-0.195839
4.75,-0.214701,-0.122299,0.108418,0.164457,-0.169161
4.8,-0.134706,-0.0343714,0.160503,0.169724,-0.13349
4.85,-0.14836,-0.0332518,0.0777365,0.0839219,-0.156323
4.9,-0.240202,-0.111268,-0.0843088,0.0260586,-0.202112
4.95,-0.399175,-0.189455,-0.102005,-0.0722443,-0.278792
5,-0.473662,-0.231118,0.0345028,-0.0343591,-0.291761
5.05,-0.167626,0.142491,0.648095,0.234998,-0.106773
5.1,0.0761978,0.282318,0.37908,0.276754,-0.0166194
5.15,-0.198486,-0.123458,-0.0324045,-0.0211105,-0.258632
5.2,-0.443671,-0.255852,-0.131493,-0.228566,-0.468996
5.25,-0.536188,-0.17686,-0.0771976,-0.320202,-0.499891
5.3,-0.264596,0.459947,0.478664,-0.036875,-0.217837
5.35,0.0885214,0.449999,0.330635,0.228521,0.0413712
5.4,-0.108684,-0.00504717,-0.114346,-0.100751,-0.217347
5.45,-0.326263,-0.211417,-0.374339,-0.357726,-0.60879
5.5,-0.481344,-0.240229,-0.447356,-0.49768,-0.717874
5.55,-0.448441,-0.0645611,-0.129998,-0.272093,-0.503596
5.6,-0.219095,0.37759,0.358751,0.150333,-0.307109
5.65,-0.492548,0.128789,0.216809,0.132899,-0.334331
5.7,-0.361826,0.0523703,0.435269,0.114337,-0.400689
5.75,-0.0166512,0.338257,0.612333,0.439714,-0.0417853
5.8,-0.0961613,0.0831923,0.227972,0.19765,-0.0748255
5.85,-0.403471,-0.22612,-0.0797039,-0.0969597,-0.302745
5.9,-0.703494,-0.373666,-0.158641,-0.182741,-0.478282
5.95,-0.463762,-0.343001,-0.0540786,-0.0261474,-0.313012
6,-0.116064,0.211074,0.390861,0.258515,0.0517276
6.05,-0.280639,0.0735162,0.119347,0.0890392,-0.162516
6.1,-0.511492,-0.126761,-0.0298601,-0.0389274,-0.524085
6.15,-0.583227,-0.176562,0.0963968,-0.0153857,-0.602737
6.2,-0.370125,0.248084,0.465172,0.271906,-0.222119
6.25,-0.285724,0.25021,0.143298,0.160642,-0.177688
6.3,-0.549763,-0.0275025,-0.0385129,-0.0435169,-0.415678
6.35,-0.391332,-0.0956264,-0.00685972,-0.0538427,-0.471008
6.4,-0.0275414,0.126568,0.158987,0.00800473,-0.461014
6.45,-0.135025,0.126707,0.0714421,-0.00948327,-0.608275
6.5,-0.454829,0.312952,0.135314,-0.046886,-0.403709
6.55,-0.362647,0.472631,0.327974,0.13569,-0.181561
6.6,-0.211216,0.325794,0.224498,0.131492,-0.0823622
6.65,-0.300989,0.106911,0.0249502,-0.0535217,-0.225713
6.7,-0.337936,0.0205343,-0.126881,-0.181905,-0.393101
6.75,-0.310679,-0.0126346,0.0528163,-0.262348,-0.403593
6.8,-0.180192,0.240612,0.529405,-0.061016,-0.224434
6.85,-0.0693617,0.39299,0.483593,0.168171,-0.0126137
6.9,-0.20175,0.117971,0.0395362,-0.0439122,-0.118177
6.95,-0.394111,-0.068538,-0.220061,-0.276405,-0.34994
7,-0.457272,-0.123504,-0.244884,-0.341924,-0.563013
7.05,-0.316115,0.00885649,0.111433,-0.233124,-0.347015
7.1,-0.0783205,0.415629,0.684687,0.384403,0.109058
7.15,-0.274447,0.184351,0.192389,0.0916452,-0.0151939
7.2,-0.375299,0.0167441,0.0766193,-0.0462587,-0.296072
7.25,-0.258291,0.128732,0.302151,0.135331,-0.425109
7.3,-0.05956,0.336517,0.402573,0.349813,-0.211527
7.35,-0.156592,0.129918,0.215808,0.221576,-0.192407
7.4,-0.325008,-0.00448171,0.114558,0.1213,-0.274944
7.45,-0.41355,-0.0881508,0.0462246,-0.0197426,-0.457106
7.5,-0.45993,-0.0438789,0.0594665,-0.0444119,-0.615323
7.55,-0.583997,0.159299,0.212516,0.0994786,-0.549861
7.6,-0.245185,0.403564,0.522983,0.330164,-0.198861
7.65,0.0186418,0.402113,0.424265,0.36825,0.0331318
7.7,-0.163469,0.020988,0.0719506,-0.0212623,-0.16173
7.75,-0.453712,-0.181471,-0.129515,-0.231049,-0.424562
7.8,-0.703267,-0.30859,-0.220567,-0.217226,-0.552235
7.85,-0.572245,-0.0331601,0.0133336,-0.0873794,-0.343542
7.9,-0.44748,0.298443,0.293329,0.181835,-0.143206
7.95,-0.411591,0.0708051,0.0527315,0.000246399,-0.214177
8,-0.397443,-0.0591342,-0.118534,-0.181089,-0.501669
