Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;4.21026e-07;6.87111e-08;2.73845e-07;2.20305e-07;-2.32461e-07
0.02;1.63908e-06;7.41089e-07;-4.33496e-07;8.51026e-07;1.34535e-06
0.04;1.15159e-06;4.12546e-06;1.10408e-06;-1.57685e-06;-1.33146e-06
0.06;9.66083e-07;3.76079e-07;-9.05509e-09;2.6125e-07;-4.59784e-07
0.08;-1.98082e-07;-1.70806e-08;3.72759e-07;-3.45203e-07;-2.7231e-07
0.1;1.83952e-07;3.30166e-07;-3.10601e-07;-4.09736e-07;-3.62402e-07
0.12;-5.69824e-07;-7.30617e-07;-6.75114e-07;-1.54926e-07;2.77743e-07
0.14;-1.64922e-07;-5.88527e-07;-2.81089e-07;1.73105e-07;5.36568e-08
0.16;2.56875e-07;-1.46793e-07;1.7091e-07;9.68443e-08;1.86541e-07
0.18;-1.32375e-07;-1.97823e-07;-8.17894e-08;4.08652e-08;-2.07864e-07
0.2;6.18336e-08;-3.21435e-07;1.99787e-07;4.6232e-07;1.89722e-07
0.22;-9.08037e-08;-3.66521e-07;2.4866e-07;5.22011e-07;2.90433e-07
0.24;-6.53814e-08;-2.2336e-07;-1.14643e-07;1.45644e-07;-7.86169e-09
0.26;-1.14622e-08;-2.78025e-07;1.23419e-07;1.96261e-07;4.69699e-08
0.28;-2.84344e-08;-2.55729e-07;-4.74178e-08;2.36151e-07;-5.73447e-08
0.3;-1.91984e-07;-2.23967e-07;-4.84697e-07;-7.78854e-07;9.0647e-08
0.32;3.61288e-08;-1.58942e-07;1.17166e-08;6.38646e-08;1.58481e-08
0.34;9.40344e-08;-7.26265e-08;-3.06212e-08;2.28301e-07;-8.76198e-08
0.36;-1.21505e-07;3.11556e-08;1.10215e-07;4.42702e-08;1.30907e-08
0.38;1.34035e-07;-1.07956e-07;-1.03733e-07;5.43811e-08;-2.14483e-07
0.4;7.91614e-08;4.02147e-08;-1.85799e-07;9.94338e-08;4.86864e-07
0.42;-8.7626e-08;6.88191e-07;3.62251e-07;-1.29194e-07;-4.07396e-07
0.44;9.33302e-08;-7.85074e-07;-1.98705e-07;9.82068e-07;-8.13918e-07
0.46;2.2405e-08;3.88399e-07;-1.23307e-09;-2.83731e-07;-5.23583e-07
0.48;8.65503e-07;6.43057e-07;5.44054e-08;-6.34918e-07;-4.56746e-08
0.5;-2.24839e-07;5.49204e-07;7.19709e-07;-5.64979e-08;2.87697e-07
0.52;8.29928e-07;-1.32714e-05;-9.16242e-07;-1.10937e-06;2.14112e-07
0.54;2.55093e-07;-2.76841e-07;1.24665e-06;1.42336e-07;3.10407e-07
0.56;-6.07675e-06;-2.65865e-07;-4.45437e-07;8.86204e-07;1.87666e-05
0.58;-3.10209e-05;4.11002e-07;-6.67105e-08;6.9338e-07;6.37341e-05
0.6;-2.45753e-05;-8.05456e-06;1.68474e-06;3.86757e-06;2.67492e-05
0.62;9.83665e-05;-1.85478e-05;-6.5325e-06;3.15239e-05;5.35873e-05
0.64;-4.13208e-05;-3.36668e-05;-4.50338e-05;5.72169e-05;5.08424e-05
0.66;-0.000205024;2.43539e-05;-3.2874e-05;8.30033e-05;2.18763e-05
0.68;-0.000529046;-0.000521048;0.000112491;0.000705601;0.000339427
0.7;-0.000912709;-0.00165304;0.000328504;0.00189224;0.000661516
0.72;-0.00197119;-0.00275292;0.000515354;0.00285625;0.00134461
0.74;-0.00198797;-0.0049849;0.000112767;0.00325386;0.00146353
0.76;-0.00284242;-0.00488432;6.67053e-05;0.00433834;0.00203692
0.78;-0.00267777;-0.00606916;-0.000417051;0.00479346;0.0023635
0.8;-0.00300104;-0.00725393;-0.000727916;0.00646928;0.0022696
0.82;-0.00341314;-0.00985911;-0.00107605;0.0087873;0.00348341
