Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.62;-0.118546;-0.106832;-0.160544;-0.094096;-0.106686
1.64;-0.268248;-0.247669;-0.282447;-0.240478;-0.251103
1.66;-0.398674;-0.331791;-0.412023;-0.341988;-0.375481
1.68;-0.513181;-0.448263;-0.52083;-0.43772;-0.495395
1.7;-0.627301;-0.530617;-0.62171;-0.553295;-0.607734
1.72;-0.740995;-0.615632;-0.701167;-0.638325;-0.719569
1.74;-0.856705;-0.688498;-0.774092;-0.725213;-0.835192
1.76;-0.962755;-0.753634;-0.845114;-0.817277;-0.946621
1.78;-1.03947;-0.822841;-0.908971;-0.880313;-1.05117
1.8;-1.08833;-0.898372;-0.968253;-0.925082;-1.04584
1.82;-0.978294;-0.813585;-1.00663;-0.956418;-1.00536
1.84;-0.894971;-0.577545;-0.973961;-0.853824;-0.921701
1.86;-0.691743;-0.221004;-0.0823382;-0.13307;-0.825434
1.88;-0.394965;0.252551;0.849905;0.364859;-0.595411
1.9;-0.093908;0.55294;1.14318;0.609195;-0.39079
1.92;0.136641;0.690628;1.21453;0.595108;-0.218311
1.94;0.169669;0.791053;1.14723;0.498379;-0.15968
1.96;0.140359;0.80028;1.03492;0.522684;-0.149316
1.98;0.0351629;0.639099;0.82322;0.462172;-0.188406
2;-0.125675;0.450221;0.644432;0.376094;-0.276667
2.02;-0.289197;0.277384;0.575496;0.270997;-0.418427
2.04;-0.453318;0.169067;0.43926;0.153523;-0.629871
2.06;-0.561808;0.130714;0.372409;0.018306;-0.850493
2.08;-0.587243;0.0909127;0.409006;-0.0752013;-1.0723
2.1;-0.670081;0.0622862;0.439413;-0.139503;-1.14831
2.12;-0.741675;0.164705;0.637651;-0.107679;-0.94731
2.14;-0.351436;0.511039;1.01095;0.244296;-0.725398
2.16;-0.0792705;0.8343;1.22074;0.758671;-0.670763
2.18;-0.117394;0.880949;1.22489;1.03014;-0.447355
2.2;-0.258382;0.743608;0.747335;0.774616;-0.561988
2.22;-0.534183;0.588162;0.629981;0.456217;-0.881003
2.24;-0.796274;0.38161;0.537092;0.329311;-0.967633
2.26;-0.860647;0.100106;0.498906;0.211858;-1.06976
2.28;-0.821911;-0.00469305;0.500813;0.302418;-0.936839
2.3;-0.860604;0.552531;0.75132;0.616674;-0.92926
2.32;-0.577714;0.772684;0.900714;0.817834;-0.880194
2.34;-0.404825;0.766168;0.760553;0.819387;-0.624504
2.36;-0.497864;0.648955;0.612698;0.69236;-0.543264
2.38;-0.582378;0.47826;0.661492;0.741156;-0.624864
2.4;-0.61467;0.191753;0.516315;0.695905;-0.657508
2.42;-0.644537;-0.0385142;0.263868;0.511899;-0.70641
2.44;-0.654329;-0.169192;0.138964;0.335993;-0.757855
2.46;-0.670909;-0.182826;0.549543;0.390998;-0.761684
2.48;-0.707155;0.335847;0.805167;0.487725;-0.769943
2.5;-0.704203;0.539536;0.858764;0.456808;-0.740887
2.52;-0.760455;0.185889;0.485216;0.347224;-0.754561
2.54;-0.825691;-0.0472038;0.524375;0.26852;-0.749748
2.56;-0.817995;-0.279569;0.603036;0.318251;-0.755595
2.58;-0.862011;-0.375371;0.655321;0.370628;-0.733404
2.6;-0.816428;-0.334405;0.74649;0.368433;-0.669829
2.62;-0.806941;-0.261188;0.837457;0.466924;-0.592862
2.64;-0.782422;-0.152773;0.865449;0.557008;-0.425625
2.66;-0.777722;-0.0680822;0.945559;0.609356;-0.0958973
2.68;-0.779438;0.139361;1.06784;0.61193;-0.107746
2.7;-0.796899;0.258918;1.02443;0.574916;-0.068633
2.72;-0.836417;0.287698;1.0147;0.492405;-0.0167039
2.74;-0.897991;0.228618;0.868332;0.375461;-0.04788
2.76;-0.997934;0.154134;0.729124;0.238245;-0.155713
2.78;-1.03479;0.109137;0.620247;0.164552;-0.265493
2.8;-0.989892;-0.00134615;0.524483;0.10629;-0.37344
2.82;-1.00872;-0.120006;0.435609;0.0510979;-0.475385
2.84;-1.01637;-0.101237;0.515436;0.0481395;-0.501815
2.86;-0.973026;0.417891;0.61547;0.0941185;-0.419837
2.88;-0.611346;0.629281;0.549114;0.11045;-0.190142
2.9;0.021602;0.679893;0.422037;0.0813329;-0.173778
2.92;0.227694;0.636205;0.294957;0.0457621;-0.231715
2.94;-0.00733736;0.392748;0.161048;-0.0186729;-0.364314
2.96;-0.152151;0.142402;-0.026815;-0.12086;-0.475207
2.98;-0.26937;0.000301138;-0.151795;-0.225873;-0.530372
3;-0.394436;-0.0907063;-0.274418;-0.286909;-0.508331
3.02;-0.528983;-0.1456;-0.361519;-0.262503;-0.460401
3.04;-0.636715;-0.187593;-0.398342;-0.211474;-0.524243
3.06;-0.696282;0.255426;-0.223871;-0.278862;-0.628609
3.08;-0.237394;0.795358;-0.0272386;-0.364792;-0.668466
3.1;0.319074;0.765385;0.159253;-0.309484;-0.587046
3.12;0.379275;0.631475;0.442519;-0.103333;-0.415825
3.14;0.186195;0.345096;0.461391;0.089726;-0.298571
3.16;-0.0211854;0.210523;0.198558;0.0760751;-0.267277
3.18;-0.125671;0.204503;0.268316;-0.000477202;-0.364386
3.2;-0.120442;0.730276;0.687326;-0.0641525;-0.528106
3.22;0.0812246;1.01412;0.85402;-0.148654;-0.69143
3.24;0.00500825;0.685196;0.46125;-0.280577;-0.850065
3.26;-0.00619819;0.754428;0.353163;-0.282197;-0.889296
3.28;0.0452428;0.976636;0.530925;-0.0122811;-0.824803
3.3;0.0748052;0.831922;0.868848;0.346865;-0.755822
3.32;0.0619929;0.649643;0.974618;0.561045;-0.551752
3.34;0.00707691;0.492794;0.861981;0.529198;-0.418496
3.36;-0.0624196;0.392783;0.92073;0.47257;-0.451261
3.38;-0.111872;0.33865;0.946446;0.495253;-0.50722
3.4;-0.150213;0.194965;0.686819;0.532333;-0.630843
3.42;-0.204882;0.0532248;0.552155;0.428182;-0.708596
3.44;-0.216363;-0.05273;0.443272;0.273725;-0.793387
3.46;-0.263089;-0.124844;0.382522;0.0770394;-0.814875
3.48;-0.321103;-0.184998;0.363583;-0.062884;-0.790794
3.5;-0.396559;-0.244444;0.32333;-0.170062;-0.751653
3.52;-0.430622;-0.272337;0.618689;-0.151017;-0.77845
3.54;-0.431004;-0.27335;0.749076;0.344481;-0.44673
3.56;-0.357218;-0.202912;0.961674;0.660681;0.499851
3.58;-0.278824;-0.143133;1.14718;0.937844;0.843219
3.6;-0.252823;-0.13968;0.633726;0.896365;0.690546
3.62;-0.273308;-0.195271;0.462012;0.631699;0.295855
3.64;-0.307386;-0.230494;0.428116;0.682235;0.190061
3.66;-0.2578;-0.170587;0.443582;0.917773;0.410334
3.68;-0.195121;-0.0968739;0.329751;0.4963;0.0283953
3.7;-0.167637;-0.107429;0.239996;0.535762;-0.0911371
3.72;-0.21725;-0.144977;0.225587;0.641048;-0.13229
3.74;-0.260091;-0.152635;0.260359;0.775704;-0.113776
3.76;-0.238807;-0.0854479;0.323263;0.645873;-0.0905621
3.78;-0.103626;0.11494;0.494189;0.658723;-0.0694897
3.8;0.144184;0.398047;0.765453;0.615104;-0.0287493
3.82;0.334528;0.615968;0.832236;0.526715;-0.00326625
3.84;0.366333;0.591773;0.612486;0.46595;-5.87141e-05
3.86;0.318996;0.370213;0.416956;0.334065;-0.0319124
3.88;0.144808;0.177716;0.255115;0.229818;-0.0888233
3.9;-0.0132559;0.0911403;0.161149;0.138804;-0.167406
3.92;-0.115987;-0.0211826;0.0842612;0.0545725;-0.253724
3.94;-0.212996;-0.062555;0.161338;-0.0518808;-0.349173
3.96;-0.249302;-0.0271026;0.264161;-0.152646;-0.451752
3.98;-0.18924;-0.0281827;0.328841;-0.253506;-0.557304
4;-0.134437;0.0126015;0.348694;-0.356578;-0.655785
4.02;-0.122204;0.0435409;0.270656;-0.499219;-0.690501
4.04;-0.162551;-0.0676405;0.127112;-0.551845;-0.69291
4.06;-0.198227;0.0469539;0.426283;-0.486482;-0.656315
4.08;-0.281277;0.706008;0.760459;-0.445565;-0.559452
4.1;-0.340233;0.494623;0.889353;-0.310011;-0.460546
4.12;-0.374886;0.15535;0.550577;-0.232326;-0.348277
4.14;-0.282174;0.506054;1.27895;0.101312;-0.206241
4.16;-0.169609;0.273552;1.46779;0.641201;0.0122107
4.18;-0.0776307;0.227558;1.192;0.829498;0.16652
4.2;0.00965277;0.189676;0.917881;0.806743;0.237725
4.22;0.0686029;0.157242;0.537003;0.615488;0.177129
4.24;0.0793852;0.114774;0.324179;0.434474;0.0660058
4.26;0.0441892;0.0852455;0.199423;0.252902;-0.0603668
4.28;-0.0217695;0.0434936;0.208729;0.163653;-0.16901
4.3;-0.101742;-0.033013;0.281448;0.161215;-0.221941
4.32;-0.18271;-0.13226;0.326148;0.349467;-0.157189
4.34;-0.276454;-0.227819;0.184238;0.209701;-0.0342013
4.36;-0.380159;-0.352372;0.0541041;0.0763517;-0.02094
4.38;-0.491547;-0.472557;-0.128179;-0.0143366;-0.103371
4.4;-0.60145;-0.584889;-0.270767;-0.122468;-0.16951
4.42;-0.707207;-0.677757;-0.383791;-0.0330359;-0.212059
4.44;-0.767418;-0.747811;-0.210699;0.466925;-0.216897
4.46;-0.703267;-0.712348;0.345798;0.515526;-0.192329
4.48;-0.58348;-0.408708;0.838287;0.679306;-0.0810873
4.5;-0.382608;-0.267962;0.763998;0.652882;-0.010251
4.52;-0.209115;-0.153328;0.73705;0.597369;-0.00440873
4.54;-0.106946;-0.0010669;0.728277;0.524812;-0.00323636
4.56;-0.0181452;0.140377;0.814709;0.528608;0.00518159
4.58;0.063526;0.324398;1.04987;0.648246;0.0376428
4.6;0.155734;0.469346;0.94446;0.643386;0.10535
4.62;0.214556;0.495094;0.879299;0.420649;0.119308
4.64;0.15601;0.414511;0.504915;0.208959;0.0709058
4.66;0.0600955;0.270992;0.27373;0.0549918;-0.0157094
4.68;-0.0898021;0.106124;0.123413;-0.0885174;-0.116905
