date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-7.19935e-09,1.60783e-07,-5.40391e-08,-1.1352e-08,9.48944e-08
0.01,-6.59373e-05,-0.000404234,-0.000572394,-0.000345766,-1.43775e-05
0.02,-7.27361e-06,-2.60859e-05,-3.19121e-05,-2.53716e-05,-8.37558e-06
0.03,4.09103e-06,5.20245e-06,3.16789e-06,8.86729e-06,3.72567e-06
0.04,7.05893e-08,-7.91648e-07,-7.88878e-06,-3.35211e-06,-8.89652e-07
0.05,3.46756e-06,3.81981e-06,5.51238e-06,5.70607e-06,3.59494e-06
0.06,1.92754e-06,2.69039e-06,2.03255e-06,2.3022e-06,2.76216e-06
0.07,-4.98227e-07,-3.51536e-06,-4.17596e-06,-3.01427e-07,1.07323e-06
0.08,1.56524e-06,2.41093e-06,2.66256e-06,3.82767e-06,1.87795e-06
0.09,3.90421e-07,7.68443e-07,9.78758e-07,5.46205e-07,1.21238e-06
0.1,-3.25955e-08,-1.35064e-08,3.07735e-07,5.43072e-07,-1.43778e-08
0.11,5.00783e-07,2.56194e-07,3.0451e-07,4.69771e-07,2.35489e-07
0.12,7.22631e-07,5.70044e-07,5.33327e-07,1.05754e-06,8.2627e-07
0.13,1.56712e-06,8.06422e-07,1.13894e-06,1.30649e-06,1.31152e-06
0.14,7.85202e-07,8.05808e-07,1.40919e-06,1.08116e-06,9.48758e-07
0.15,1.79909e-06,1.59358e-06,1.92568e-06,1.22475e-06,1.1988e-06
0.16,1.57565e-06,1.74051e-06,2.25143e-06,1.76734e-06,1.69664e-06
0.17,2.02813e-06,2.54484e-06,3.10685e-06,1.71761e-06,1.45756e-06
0.18,1.66584e-06,3.04772e-06,3.89029e-06,3.03021e-06,1.55541e-06
0.19,1.87523e-06,4.0818e-06,4.84223e-06,3.34363e-06,1.21002e-06
0.2,2.01952e-06,4.19866e-06,5.08684e-06,4.42066e-06,1.45641e-06
0.21,2.25066e-06,5.42134e-06,5.58698e-06,5.56198e-06,2.73546e-06
0.22,3.28688e-06,6.23978e-06,6.58203e-06,5.83172e-06,4.13221e-06
0.23,2.9853e-06,5.26447e-06,9.19891e-06,1.04302e-05,5.1108e-06
0.24,6.27672e-06,9.73772e-06,1.09602e-05,1.27236e-05,7.9771e-06
0.25,8.37703e-06,1.55046e-05,1.6579e-05,1.67021e-05,9.50903e-06
0.26,1.04216e-05,1.82829e-05,1.80702e-05,1.79499e-05,1.1455e-05
0.27,1.30222e-05,2.2921e-05,2.4595e-05,2.50659e-05,1.56204e-05
0.28,1.75482e-05,2.19922e-05,2.46323e-05,2.60224e-05,1.70278e-05
0.29,1.52649e-05,2.69461e-05,2.92404e-05,2.894e-05,1.90693e-05
0.3,1.5706e-05,2.93237e-05,3.40656e-05,3.29206e-05,2.04938e-05
0.31,1.97441e-05,3.3539e-05,3.74375e-05,3.686e-05,2.47087e-05
0.32,2.19868e-05,4.06867e-05,4.15728e-05,3.84912e-05,2.78588e-05
0.33,2.53966e-05,4.45864e-05,4.81215e-05,4.74574e-05,3.10016e-05
0.34,2.86819e-05,5.18653e-05,5.71546e-05,5.01756e-05,3.55447e-05
0.35,3.77846e-05,6.10063e-05,6.56824e-05,6.08972e-05,4.2698e-05
0.36,5.35852e-05,8.30835e-05,8.85275e-05,8.03363e-05,5.47899e-05
0.37,6.02556e-05,8.03767e-05,9.84086e-05,8.89423e-05,6.71246e-05
0.38,6.84152e-05,9.52419e-05,0.000117465,0.000103194,7.72821e-05
0.39,9.10864e-05,0.000122835,0.000152362,0.000133895,0.00010481
0.4,0.000152182,0.000196784,0.000251222,0.000239746,0.0001796
0.41,0.000403155,0.000417116,0.00043927,0.000530267,0.000344039
0.42,0.00061047,0.000651188,0.000778769,0.000846531,0.00055405
0.43,0.00110975,0.00156177,0.00184706,0.00195923,0.00143237
0.44,0.00367414,0.00500196,0.00543542,0.0051939,0.00407039
0.45,0.00810359,0.0103497,0.0118377,0.0111567,0.00865852
0.46,0.0136042,0.0177022,0.01929,0.0189195,0.0145435
0.47,0.0202301,0.0274979,0.0288155,0.0286707,0.0221749
0.48,0.0286824,0.0375466,0.0400675,0.0396603,0.0303398
0.49,0.0377929,0.0465469,0.0507881,0.0499305,0.0406816
0.5,0.0486071,0.0595627,0.0629258,0.0619051,0.0520933
0.51,0.0612193,0.0741279,0.0755558,0.0760103,0.0626894
0.52,0.0732616,0.0851233,0.0886207,0.0892727,0.073507
0.53,0.0849259,0.0956606,0.101293,0.101565,0.0868923
0.54,0.0982715,0.109703,0.113356,0.116454,0.101164
0.55,0.116107,0.128087,0.131705,0.134454,0.121636
0.56,0.132246,0.144272,0.151905,0.151186,0.137959
0.57,0.148567,0.16409,0.170057,0.168336,0.155134
0.58,0.164199,0.180032,0.185307,0.186272,0.171194
0.59,0.173783,0.19519,0.200769,0.202169,0.18817
0.6,0.186948,0.207824,0.209809,0.215623,0.200132
0.61,0.193238,0.212646,0.215094,0.221028,0.204083
0.62,0.188494,0.206972,0.208787,0.217084,0.201842
0.63,0.171396,0.19232,0.192672,0.204382,0.187554
0.64,0.152961,0.168738,0.169928,0.181379,0.16143
0.65,0.114857,0.127993,0.127993,0.144406,0.126752
0.66,0.0704065,0.0810239,0.0777116,0.0941375,0.0720037
0.67,0.0217907,0.0293118,0.0276018,0.0423871,0.0265231
0.68,-0.0526527,-0.0351643,-0.0342598,-0.0165051,-0.0411612
0.69,-0.112365,-0.0983445,-0.0925915,-0.0767146,-0.101816
0.7,-0.168954,-0.156314,-0.1544,-0.149843,-0.162472
0.71,-0.219973,-0.207787,-0.210253,-0.206651,-0.215516
0.72,-0.252824,-0.248345,-0.248001,-0.231567,-0.248319
0.73,-0.185175,-0.16189,-0.192,-0.199363,-0.218356
0.74,-0.0943047,-0.0890607,-0.113712,-0.0958913,-0.126556
0.75,-0.0719512,-0.0345221,-0.0273993,-0.0331317,-0.0791478
0.76,0.00188201,0.010832,0.0136479,0.0407584,-0.0128534
0.77,0.050291,0.0578073,0.0820237,0.0846758,0.0312222
0.78,0.109652,0.119057,0.150966,0.137987,0.0731585
0.79,0.155571,0.178241,0.183373,0.19645,0.127494
0.8,0.186588,0.226217,0.225897,0.233638,0.164639
0.81,0.229974,0.274934,0.264041,0.272251,0.204045
0.82,0.233127,0.295792,0.284554,0.29734,0.235007
0.83,0.2418,0.309698,0.299052,0.319398,0.236671
0.84,0.246018,0.31364,0.308375,0.316372,0.2338
0.85,0.245276,0.303311,0.304254,0.311891,0.226969
0.86,0.234319,0.29414,0.294842,0.306802,0.22511
0.87,0.21435,0.278565,0.274021,0.291126,0.206132
0.88,0.185044,0.221757,0.210064,0.250543,0.179775
0.89,0.147997,0.157153,0.0981731,0.167063,0.132954
0.9,0.0957085,0.057807,-0.0223866,0.0553314,0.0799972
0.91,0.0152918,-0.052291,-0.100364,-0.0275441,0.014699
0.92,-0.0610967,-0.119216,-0.166909,-0.11675,-0.0547082
0.93,-0.121614,-0.173991,-0.222588,-0.183622,-0.126351
0.94,-0.197783,-0.241111,-0.291522,-0.243692,-0.200047
0.95,-0.267366,-0.309441,-0.353368,-0.308335,-0.245737
0.96,-0.308483,-0.378975,-0.409387,-0.362296,-0.310216
0.97,-0.360544,-0.417325,-0.446871,-0.424895,-0.369776
0.98,-0.401337,-0.480956,-0.497783,-0.443905,-0.40509
0.99,-0.479477,-0.524052,-0.564406,-0.510405,-0.458166
1,-0.52107,-0.564153,-0.568904,-0.550812,-0.502135
1.01,-0.561265,-0.604261,-0.591844,-0.546122,-0.548759
1.02,-0.459265,-0.219198,-0.236311,-0.210295,-0.49826
1.03,-0.328827,0.0656457,0.109936,0.0281829,-0.363818
1.04,-0.202621,0.222315,0.23741,0.236887,-0.297435
1.05,-0.119369,0.318378,0.39287,0.358998,-0.219437
1.06,-0.0890997,0.408554,0.471105,0.454481,-0.15303
1.07,-0.0190503,0.473727,0.56205,0.527363,-0.106215
1.08,0.00848458,0.54836,0.620133,0.587047,-0.0943599
1.09,0.0239926,0.584872,0.644669,0.620099,-0.0867801
1.1,0.00947211,0.573727,0.608968,0.611322,-0.0974092
1.11,-0.0233804,0.542087,0.499977,0.561523,-0.113107
