time [s], average translational x-velocity cube 1 [m/s], average translational x-velocity cube 2 [m/s], average translational x-velocity cube 3 [m/s], average translational x-velocity  cube 4 [m/s], average translational x-velocity  cube 5 [m/s], average translational z-velocity  cube 1 [m/s], average translational z-velocity  cube 2 [m/s], average translational z-velocity  cube 3 [m/s], average translational z-velocity  cube 4 [m/s], average translational z-velocity  cube 5 [m/s]
0.29,3.31011e-08,-2.01029e-08,-8.97763e-08,-1.84737e-08,-5.43446e-09,3.27092e-07,7.01588e-07,5.14195e-07,3.77828e-07,2.5026e-07
0.3,3.794e-08,-3.2561e-08,-2.74733e-08,-3.76267e-08,-2.40091e-08,3.69126e-07,8.70987e-07,7.95129e-07,8.46721e-07,2.37685e-07
0.31,2.87996e-08,9.63222e-08,-2.82798e-08,-7.53455e-08,-1.84256e-08,1.66239e-07,1.32009e-06,1.13868e-06,1.19135e-06,1.22747e-07
0.32,5.97684e-08,1.31244e-07,-1.88388e-09,-8.16773e-08,-1.83671e-08,6.76919e-08,1.38417e-06,1.16213e-06,1.29185e-06,8.85302e-08
0.33,7.63131e-08,7.93298e-08,1.18352e-09,-8.31767e-08,-2.88536e-08,2.39772e-07,1.6091e-06,1.2717e-06,1.66013e-06,3.12539e-07
0.34,5.02011e-08,4.31358e-08,-7.19489e-09,-7.7044e-08,-1.13273e-07,5.65163e-07,1.60516e-06,1.13073e-06,1.65146e-06,4.83727e-07
0.35,1.46809e-08,-6.64237e-08,4.18301e-08,1.34293e-07,-2.70102e-08,7.83132e-07,1.48446e-06,1.40731e-06,2.01123e-06,1.0278e-06
0.36,4.12603e-08,6.85138e-08,5.59719e-08,-7.58858e-08,-1.2947e-07,1.29137e-06,2.0061e-06,2.04528e-06,2.1078e-06,1.35977e-06
0.37,4.45272e-08,4.30101e-08,5.27534e-08,6.70991e-08,-8.36056e-08,1.19634e-06,1.65479e-06,2.02201e-06,1.75499e-06,1.2154e-06
0.38,1.53815e-08,8.2357e-08,9.68384e-09,-3.66073e-08,-1.30537e-08,1.02816e-06,1.77215e-06,2.12865e-06,1.45978e-06,9.37965e-07
0.39,-1.61496e-08,1.08448e-07,4.10268e-08,-5.59741e-08,-2.86825e-08,9.50977e-07,2.04331e-06,2.32448e-06,1.71144e-06,6.62209e-07
0.4,4.10963e-08,1.42192e-07,-2.46653e-08,-8.40391e-08,1.91778e-08,5.26267e-07,1.4436e-06,1.82635e-06,1.50114e-06,3.78732e-07
0.41,5.08996e-08,1.75341e-07,-3.68746e-08,-2.1711e-08,-5.22338e-08,6.83571e-07,1.94998e-06,2.08736e-06,2.07466e-06,6.57448e-07
0.42,1.02361e-07,2.37186e-07,2.34191e-08,1.70758e-08,-5.26882e-08,1.16871e-06,3.0629e-06,3.00848e-06,3.16218e-06,1.64642e-06
0.43,1.10606e-07,2.29174e-07,6.37114e-09,-2.46364e-08,-1.19196e-07,1.59832e-06,3.16436e-06,3.46284e-06,3.27342e-06,1.8056e-06
0.44,1.34814e-07,3.13983e-07,1.2464e-07,7.2815e-08,-1.52493e-07,1.78517e-06,3.59939e-06,3.5441e-06,4.88427e-06,3.27498e-06
0.45,2.37948e-07,4.27189e-07,7.0554e-09,-1.17071e-07,-1.75686e-07,3.07216e-06,4.73365e-06,4.65879e-06,4.61767e-06,2.93245e-06
0.46,2.05747e-07,4.67221e-07,2.33979e-08,-2.29465e-07,-2.39183e-07,2.96524e-06,4.644e-06,4.3105e-06,4.27391e-06,2.909e-06
0.47,2.98629e-07,6.24639e-07,1.58573e-07,-2.08199e-07,-2.80362e-07,2.60692e-06,4.43985e-06,4.89248e-06,4.15263e-06,2.8087e-06
0.48,2.68437e-07,5.12752e-07,1.31797e-07,-1.25865e-07,-1.11777e-07,3.74982e-06,5.54964e-06,6.87211e-06,6.82841e-06,3.51547e-06
0.49,2.96729e-07,5.21007e-07,3.63247e-08,-3.69055e-08,-7.88385e-08,4.09843e-06,5.38467e-06,6.7326e-06,6.6336e-06,4.32176e-06
0.5,2.78906e-07,1.03383e-06,1.28136e-07,-1.63274e-07,-1.77429e-07,4.39804e-06,8.96203e-06,7.71346e-06,6.6625e-06,3.80817e-06
0.51,2.04682e-07,7.86564e-07,1.48886e-07,-1.32976e-07,-5.83445e-08,4.44852e-06,7.32388e-06,7.91313e-06,7.80982e-06,4.23795e-06
0.52,-6.35161e-06,9.69361e-07,2.32148e-07,-2.48409e-07,-1.61747e-07,1.4645e-06,8.99146e-06,9.9487e-06,1.03612e-05,6.95202e-06
0.53,2.67311e-07,1.29262e-06,3.68744e-07,-7.81728e-08,-1.82709e-07,4.80881e-06,9.32185e-06,1.1466e-05,1.24777e-05,7.63505e-06
0.54,2.38408e-07,1.08174e-06,2.73759e-07,-1.77354e-07,-4.62945e-08,4.74463e-06,8.10055e-06,8.38879e-06,8.85688e-06,5.88478e-06
0.55,3.58342e-07,1.52535e-06,4.78295e-07,-1.80922e-07,-2.72604e-07,6.6607e-06,1.16783e-05,1.34386e-05,1.32187e-05,8.16671e-06
0.56,3.90873e-07,1.50914e-06,4.76365e-07,6.87985e-09,-2.60587e-07,6.50306e-06,1.09633e-05,1.40319e-05,1.45117e-05,1.02145e-05
0.57,9.84391e-08,1.21507e-06,4.50601e-07,-3.60502e-07,-3.89782e-07,6.38186e-06,9.49536e-06,1.21323e-05,1.15063e-05,8.16501e-06
0.58,2.3272e-07,1.57864e-06,5.60445e-07,-1.19028e-07,-2.94615e-07,6.25407e-06,1.15328e-05,1.33589e-05,1.27117e-05,9.09022e-06
0.59,2.39991e-07,2.06096e-06,5.1052e-07,-1.71151e-07,-5.01042e-07,8.40733e-06,1.49008e-05,1.67174e-05,1.55176e-05,9.94878e-06
0.6,3.09388e-07,1.90727e-06,4.77925e-07,-2.55247e-07,-5.27786e-07,8.77081e-06,1.56137e-05,1.6845e-05,1.45086e-05,1.14732e-05
0.61,9.62953e-08,2.28072e-06,6.1156e-07,-7.72976e-07,-6.3335e-07,1.01007e-05,1.79793e-05,1.98945e-05,1.99703e-05,1.31871e-05
0.62,3.23804e-07,2.10844e-06,3.50696e-07,-5.37146e-07,-6.91425e-07,1.03791e-05,1.8367e-05,1.93933e-05,1.70965e-05,1.23669e-05
0.63,4.43999e-07,1.79106e-06,3.64003e-07,-7.8329e-07,-5.99e-07,1.02373e-05,1.69517e-05,1.94507e-05,1.89043e-05,1.23197e-05
0.64,2.99876e-07,1.90033e-06,4.17258e-07,-9.93029e-07,-4.26726e-07,9.633e-06,1.78027e-05,2.10418e-05,2.17698e-05,1.34489e-05
0.65,5.71451e-07,1.86341e-06,3.95012e-07,-8.58059e-07,-5.29971e-07,8.51279e-06,1.63133e-05,2.09367e-05,1.92034e-05,1.33095e-05
0.66,7.6048e-07,2.28899e-06,4.69387e-07,-7.73452e-07,-3.64164e-07,1.06049e-05,1.90744e-05,1.89452e-05,1.97903e-05,1.34575e-05
0.67,7.08796e-07,2.27536e-06,4.22263e-07,-7.95459e-07,-5.78894e-07,1.2353e-05,2.12156e-05,2.29039e-05,1.98264e-05,1.36067e-05
0.68,1.27949e-06,2.91055e-06,8.23676e-07,-1.46814e-06,-7.25234e-07,1.63477e-05,2.68539e-05,2.95628e-05,2.51302e-05,1.7071e-05
0.69,1.64557e-06,3.86268e-06,1.26412e-06,-1.82843e-06,-1.14495e-06,1.92539e-05,3.39643e-05,3.71293e-05,3.35448e-05,2.32567e-05
0.7,1.55834e-06,4.0691e-06,1.6938e-06,-1.51007e-06,-9.47985e-07,2.03865e-05,3.53931e-05,4.03638e-05,3.67708e-05,2.61093e-05
0.71,1.71498e-06,3.33227e-06,1.27522e-06,-1.83773e-06,-4.38065e-07,1.93054e-05,3.21837e-05,3.59205e-05,3.36544e-05,2.38265e-05
0.72,1.50793e-06,3.97947e-06,1.68996e-06,-2.04236e-06,-5.06902e-07,2.02655e-05,3.07141e-05,3.61551e-05,3.32127e-05,2.41711e-05
0.73,2.38995e-06,4.01435e-06,1.45921e-06,-1.82997e-06,-8.41835e-07,2.40968e-05,3.56648e-05,4.28006e-05,3.56096e-05,2.79766e-05
0.74,3.09953e-06,6.93965e-06,2.42417e-06,-7.34254e-07,-9.72818e-07,2.99706e-05,4.34803e-05,5.38773e-05,4.54622e-05,3.38807e-05
0.75,3.71665e-06,9.19234e-06,2.33948e-06,-9.44673e-07,-7.64605e-07,3.44352e-05,4.84163e-05,6.05036e-05,5.18059e-05,3.73074e-05
0.76,4.08617e-06,9.74321e-06,1.58905e-06,-9.88302e-07,-5.71432e-07,3.11504e-05,4.49833e-05,5.53171e-05,4.84313e-05,3.82531e-05
0.77,5.17139e-06,1.19861e-05,2.44428e-06,-1.14734e-06,-1.73013e-06,3.37408e-05,4.72591e-05,6.19355e-05,5.77122e-05,4.29572e-05
0.78,8.28682e-06,1.77709e-05,2.13342e-06,1.18873e-06,-3.19054e-06,4.56693e-05,6.21325e-05,8.12769e-05,7.56013e-05,5.71756e-05
0.79,9.48323e-06,2.39714e-05,2.78373e-06,1.45073e-05,-6.13171e-06,5.43795e-05,7.12562e-05,8.56657e-05,8.37136e-05,5.80648e-05
0.8,5.93631e-06,3.5812e-05,1.24395e-05,6.32639e-05,-1.85613e-05,0.000118858,0.000124747,0.000140225,0.000188539,0.000113884
0.81,2.59981e-06,1.29764e-05,7.1344e-06,0.000108872,-2.07386e-05,0.000256208,0.000208818,0.000232754,0.000358265,0.000172103
0.82,-8.28443e-06,1.10494e-05,6.84518e-06,7.79218e-05,3.51847e-05,0.000427964,0.000402798,0.000337104,0.000534319,0.000279
0.83,6.25625e-05,7.35542e-05,9.71795e-06,7.50818e-05,1.63237e-05,0.000405433,0.00042613,0.000541486,0.000603593,0.000336667
0.84,1.08477e-05,5.02892e-05,3.8793e-05,1.07262e-05,6.12327e-06,0.000317232,0.00038704,0.00049989,0.000607181,0.000544292
0.85,-8.64996e-06,2.4447e-05,0.000113685,-1.88107e-05,-4.30328e-05,0.000498995,0.000543707,0.000615615,0.000781276,0.000727898
0.86,5.08964e-05,8.31106e-05,0.000136323,-8.31802e-05,5.21111e-05,0.00134835,0.00178159,0.00194568,0.00208646,0.00147264
0.87,0.000153386,0.000110173,0.000117143,8.58629e-05,-1.19675e-05,0.00285529,0.00399491,0.00443241,0.00440198,0.00344945
0.88,0.000159147,0.000225006,0.000238401,0.000105502,-2.95855e-05,0.00502594,0.00709871,0.00817937,0.00789442,0.00594193
0.89,0.000243071,0.000524809,0.000309452,0.000394435,-0.000228187,0.00765164,0.01077,0.0120737,0.0119823,0.00873328
0.9,0.000482504,0.000844253,0.000497773,4.40662e-05,-0.00042106,0.0111846,0.0155711,0.016918,0.0167243,0.0130486
0.91,0.000494048,0.00113365,0.000862932,4.16796e-05,-0.000285358,0.0148692,0.0206718,0.0217655,0.0223964,0.01717
0.92,0.000147219,0.000920765,0.000607801,4.52869e-05,-0.000516557,0.0193925,0.0258774,0.0282268,0.0283912,0.0214294
0.93,0.000896967,0.00127874,0.00044926,6.02523e-05,-7.54465e-05,0.0237644,0.0309902,0.035368,0.0346754,0.0261066
0.94,0.00110338,0.0020417,0.000300241,0.000559232,4.19726e-05,0.0295008,0.0369103,0.0418517,0.040215,0.031683
0.95,0.000884513,0.00229822,0.000605852,0.000668562,-0.000334594,0.0331117,0.0425122,0.0464636,0.0457507,0.036161
0.96,0.00130369,0.00157943,0.000535219,0.00114531,-0.000581741,0.0382403,0.0479681,0.0522319,0.0518872,0.0430126
0.97,0.00144276,0.00277798,0.0014056,0.000757233,-0.00128186,0.0442848,0.0518989,0.0576903,0.0567875,0.0467718
0.98,0.00186485,0.0031898,0.00125548,0.000739144,-0.000129194,0.0503798,0.0552014,0.0621145,0.0619435,0.0525438
0.99,0.00223711,0.00340519,0.00156618,0.000489452,-0.00117899,0.0537107,0.0586654,0.0677667,0.0706221,0.0580623
1,0.00115984,0.00309274,0.00103157,6.05739e-05,-0.00205967,0.0622175,0.0659055,0.0759924,0.0800423,0.0660486
1.01,0.002122,0.00173767,0.00103736,0.00129409,-0.0018066,0.0659132,0.0723465,0.0807518,0.0866213,0.0728402
1.02,0.0028803,0.00249816,0.00274812,0.00148232,-0.00246154,0.0757463,0.0811385,0.0899663,0.0951811,0.0812665
1.03,0.00367273,0.00214677,0.00322456,0.00216099,-0.00233805,0.0876978,0.0914289,0.102033,0.102819,0.0911628
1.04,0.00322349,0.00236579,0.00427381,0.00193158,-0.00190804,0.0976983,0.100768,0.110149,0.113271,0.104148
1.05,0.00206976,0.00149564,0.00582385,0.00249208,-0.00200894,0.106636,0.11016,0.119083,0.122818,0.111332
1.06,0.000318253,0.00126084,0.00580528,0.00266229,-0.000185928,0.115123,0.117733,0.127657,0.133953,0.121947
1.07,-0.000194423,0.00199203,0.00531056,0.00363678,0.000752212,0.119436,0.125306,0.129762,0.135858,0.124932
1.08,-0.000227811,0.0019589,0.00432195,0.00348186,0.00306023,0.117606,0.122762,0.12904,0.134952,0.12463
1.09,-0.00118424,0.00219506,0.00501773,0.00450794,0.00368725,0.113698,0.116171,0.121834,0.128914,0.11632
1.1,-0.00227514,0.00210922,0.00489951,0.00524036,0.00482483,0.102572,0.10239,0.108377,0.118599,0.103623
1.11,-0.00339491,0.000666967,0.00438562,0.006022,0.00608746,0.0887273,0.0853519,0.0897302,0.0981287,0.0867221
1.12,-0.0041233,5.66093e-05,0.00394973,0.00630076,0.00773136,0.0649936,0.0620267,0.0684767,0.0789265,0.0662312
1.13,-0.00567506,-0.000801623,0.00374881,0.00758301,0.00845162,0.0417275,0.0326707,0.0378944,0.0493448,0.041755
1.14,-0.00692417,-0.0016684,0.00327692,0.00853597,0.00989623,0.00162884,-0.00591893,-0.00562171,0.00833595,0.000632875
1.15,-0.00809742,-0.00203679,0.00297518,0.00906233,0.0112295,-0.0503789,-0.0554009,-0.0561985,-0.0417629,-0.0456943
1.16,-0.00882573,-0.00218358,0.00262669,0.00933077,0.0124978,-0.108129,-0.114964,-0.111892,-0.100178,-0.104728
1.17,-0.00771833,-0.00311258,0.00276333,0.00951363,0.00965202,-0.156466,-0.164163,-0.167068,-0.163475,-0.156813
1.18,-0.00509333,-0.00274372,0.0104726,0.00857239,0.00281967,-0.165112,-0.177188,-0.198354,-0.191657,-0.168964
1.19,-0.00416593,-0.0025293,0.00330088,0.00652762,0.00217554,-0.180484,-0.192483,-0.196029,-0.20159,-0.172899
1.2,-0.00139796,0.0025074,0.00481003,0.00269986,0.00559962,-0.158777,-0.159911,-0.1725,-0.182848,-0.171209
1.21,0.00648851,-0.00236672,0.00683877,0.000778628,0.00247133,-0.1213,-0.126727,-0.123519,-0.145479,-0.137448
1.22,0.00320596,-9.68374e-05,0.00833568,0.0112503,0.00868194,-0.105025,-0.104397,-0.11071,-0.131705,-0.123504
1.23,-0.000230848,0.000454979,-0.000456862,0.0131469,0.00592547,-0.08322,-0.0567033,-0.0633963,-0.0686333,-0.0931896
1.24,0.00146198,0.000888214,7.94502e-05,0.00741986,0.00102088,-0.0556327,-0.0365133,-0.0368579,-0.0544164,-0.0607925
1.25,-0.00698323,-0.00195016,-0.00108557,0.0108734,0.00651375,-0.0371845,0.00516407,0.00450117,-0.0125244,-0.0436056
1.26,-0.0052366,-0.000600009,0.00197277,0.0088496,0.003523,-0.0104048,0.0294537,0.0523004,0.00894997,-0.0118312
1.27,-0.0021353,-0.00276973,0.0033185,0.010791,0.00262388,0.00686511,0.0663942,0.0781706,0.0508446,0.00623678
1.28,0.00328281,-0.00486005,0.000500108,0.0126503,0.00195088,0.0332965,0.086072,0.1134,0.0736715,0.0274713
1.29,-0.000703962,-0.00164989,0.000146091,0.0111585,0.0055798,0.044648,0.113955,0.135522,0.0999325,0.0447198
1.3,0.00521902,-0.00386967,0.00761114,0.00773051,0.00339974,0.0623787,0.137182,0.153203,0.122754,0.0693531
1.31,0.00349911,0.000957768,0.00522956,0.00793145,-0.00117307,0.0834071,0.145797,0.160719,0.12932,0.0705939
1.32,-0.00242555,-0.00168268,0.00672652,0.00612438,-0.00427073,0.0862998,0.169046,0.178208,0.148443,0.0781709
1.33,0.000560911,0.000681825,0.00458261,0.00473818,-0.00614712,0.0871827,0.174386,0.185844,0.156264,0.084392
1.34,0.00443005,0.000874561,0.00117522,-0.000479807,-0.00972868,0.0955713,0.185251,0.206519,0.170308,0.0825303
1.35,0.00472145,-0.000758535,0.00342297,-0.00214966,-0.0073077,0.102563,0.189189,0.218173,0.169904,0.087801
1.36,0.00485082,0.00180443,0.00639807,-0.00234931,-0.00640717,0.10539,0.192961,0.230306,0.177147,0.0967739
1.37,0.00538741,0.00077345,0.00647808,0.00036071,-0.0068889,0.10008,0.186651,0.230403,0.178357,0.100032
1.38,0.00349258,-0.00102459,0.0081318,-0.00102631,-0.00417981,0.0962986,0.183461,0.232218,0.178113,0.100418
1.39,-0.00192844,-0.00457826,0.00736902,-0.00118989,-0.00374856,0.0886549,0.172895,0.224474,0.173223,0.0956873
1.4,-0.00232702,-0.0052276,0.00687742,-0.00106774,-0.00189451,0.0794444,0.166286,0.217713,0.162573,0.0905236
1.41,-0.00453454,-0.0109396,0.00679456,0.00293135,0.00206248,0.0746948,0.157793,0.203622,0.150516,0.0855898
1.42,-0.00749561,-0.0175646,0.00841553,0.011963,0.00621119,0.0523266,0.141366,0.179883,0.132215,0.0757489
1.43,-0.0129816,-0.025681,0.0105614,0.0208656,0.0101484,0.0395494,0.120873,0.147096,0.105875,0.0642694
1.44,-0.0182834,-0.0380935,0.0127329,0.028815,0.0168447,0.00446252,0.0669455,0.0861927,0.0591396,0.0337209
1.45,-0.0230516,-0.0474919,0.0125865,0.0390115,0.0221884,-0.0407368,0.00394781,0.00797996,0.00252108,-0.00361697
1.46,-0.0279222,-0.0551668,0.00948391,0.0465045,0.0271145,-0.0894645,-0.0631815,-0.0802396,-0.0674486,-0.051863
1.47,-0.0320203,-0.060476,0.0113865,0.0506995,0.0311726,-0.127952,-0.134034,-0.153357,-0.127429,-0.0981339
1.48,-0.0353806,-0.061976,0.00907305,0.0556547,0.035612,-0.170019,-0.213495,-0.22409,-0.187346,-0.138214
1.49,-0.0368174,-0.0654543,0.00913909,0.0586098,0.0378034,-0.237585,-0.25501,-0.31018,-0.252425,-0.182735
1.5,-0.0381886,-0.0665013,0.0102447,0.0609097,0.0389288,-0.293894,-0.321526,-0.361087,-0.316611,-0.249289
1.51,-0.0401745,-0.0687398,0.0100905,0.0631591,0.0403813,-0.331908,-0.373387,-0.409148,-0.368132,-0.307865
1.52,-0.0409562,-0.071666,0.00904335,0.0682908,0.0376263,-0.340646,-0.409915,-0.466382,-0.402106,-0.316879
1.53,-0.0344702,-0.0698852,0.00828005,0.0644548,0.0380978,-0.374259,-0.473523,-0.499146,-0.453684,-0.330696
1.54,-0.0194099,-0.0604961,0.0187767,0.0384945,0.030669,-0.356651,-0.447041,-0.4032,-0.387241,-0.340231
1.55,-0.0256416,-0.047956,-0.00323493,0.0363972,0.0266441,-0.283288,-0.305612,-0.326863,-0.283302,-0.305142
1.56,-0.0254178,-0.0292075,0.015427,0.0220164,0.0228123,-0.29974,-0.172149,-0.111596,-0.186453,-0.279205
1.57,-0.00880753,-0.0380903,0.0148366,0.0395368,0.0141509,-0.224737,-0.0474885,0.0459646,-0.0962302,-0.204248
1.58,-0.0196148,-0.0249528,-0.000384847,0.0451063,0.0153766,-0.208205,0.0277146,0.104003,-0.0153543,-0.185887
1.59,-0.00205185,-0.0319728,0.00956778,0.0458921,0.00735671,-0.201562,0.0968942,0.2375,0.0649013,-0.177538
1.6,-0.00630327,-0.0332394,0.0156542,0.0443829,0.0122337,-0.161204,0.128959,0.31356,0.110106,-0.157337
1.61,0.00236761,-0.0351968,0.00102129,0.0472199,0.0148369,-0.128877,0.180676,0.337964,0.177396,-0.118168
1.62,-0.0101381,-0.0404624,0.00933864,0.0495646,0.00625344,-0.113506,0.204336,0.401703,0.203597,-0.108125
1.63,0.00428505,-0.0518045,0.0125832,0.0562097,0.00706144,-0.121686,0.238973,0.457704,0.228838,-0.128573
1.64,0.00902247,-0.0740565,0.0140535,0.0676736,-0.00759591,-0.100274,0.23365,0.475314,0.255875,-0.110506
1.65,0.00427264,-0.0786387,0.00963402,0.0843964,-0.00839251,-0.117368,0.2146,0.456868,0.251354,-0.111699
1.66,0.010487,-0.0876965,0.0141894,0.0981279,-0.00643268,-0.160976,0.203781,0.430173,0.23122,-0.142334
1.67,0.00507304,-0.0866306,0.00818351,0.109108,-0.00366961,-0.187264,0.169608,0.359328,0.189918,-0.173934
1.68,0.0113957,-0.0909379,0.00071108,0.119427,0.00108833,-0.234939,0.110893,0.262483,0.139043,-0.207391
1.69,0.0108734,-0.0823759,0.0062375,0.116016,-0.0081801,-0.291662,0.0439096,0.107235,0.0636674,-0.257552
1.7,0.0230638,-0.0733877,0.00598915,0.116491,-0.00897777,-0.367481,-0.0349832,0.00510751,-0.00935463,-0.313632
1.71,0.0357237,-0.0589168,0.00814412,0.115285,-0.0112717,-0.427299,-0.118602,-0.0740702,-0.0908042,-0.378775
1.72,0.0377544,-0.042306,0.00505237,0.104498,-0.0184445,-0.478621,-0.199386,-0.134245,-0.178534,-0.432546
1.73,0.063187,-0.0200699,0.0071749,0.100008,-0.0262291,-0.487576,-0.263611,-0.205081,-0.245833,-0.482693
1.74,0.0832339,0.0295799,0.00447625,0.0916903,-0.0464161,-0.486592,-0.31559,-0.221118,-0.31168,-0.505935
1.75,0.104244,0.0618988,0.0108823,0.060082,-0.0566309,-0.480738,-0.328808,-0.248272,-0.329761,-0.485906
1.76,0.107874,0.114905,0.0121223,0.00419095,-0.0674637,-0.451223,-0.309925,-0.297161,-0.320163,-0.435965
1.77,0.118735,0.189844,0.011158,-0.0434436,-0.0742164,-0.445806,-0.301296,-0.335604,-0.284751,-0.420595
1.78,0.129402,0.240394,0.0451814,-0.123617,-0.0965519,-0.435018,-0.247582,-0.33373,-0.173817,-0.440718
1.79,0.144494,0.28479,0.108913,-0.161736,-0.106288,-0.413992,-0.155138,0.470563,0.0144744,-0.418499
