date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0.64,9.19372e-07,2.08561e-06,5.29981e-07,-9.94772e-07,-9.18626e-07
0.65,8.48138e-07,2.30647e-06,4.75645e-07,-1.34391e-06,-8.95538e-07
0.66,1.05848e-06,1.9358e-06,2.83316e-07,-1.16992e-06,-5.46981e-07
0.67,1.20557e-06,2.20544e-06,4.27913e-07,-1.5518e-06,-8.33496e-07
0.68,1.1785e-06,2.24209e-06,9.79724e-07,-1.69553e-06,-7.56471e-07
0.69,1.63614e-06,2.68229e-06,1.40124e-06,-1.89229e-06,-8.2713e-07
0.7,1.75844e-06,2.95397e-06,1.28998e-06,-2.48859e-06,-7.04051e-07
0.71,1.92235e-06,3.01824e-06,1.74329e-06,-2.10406e-06,-1.4367e-06
0.72,2.22387e-06,2.99226e-06,2.18655e-06,-1.86014e-06,-1.7446e-06
0.73,3.18027e-06,4.7328e-06,1.76013e-06,-2.76967e-06,-1.58979e-06
0.74,3.45433e-06,5.2452e-06,2.31546e-06,-2.41126e-06,-1.26774e-06
0.75,4.8113e-06,8.06647e-06,2.4194e-06,-1.0251e-06,-9.42949e-07
0.76,5.428e-06,1.13363e-05,1.92279e-06,-2.9531e-06,-2.4417e-06
0.77,7.10719e-06,9.39543e-06,1.77375e-06,-5.3985e-07,-2.23121e-06
0.78,8.64942e-06,1.19481e-05,3.83139e-06,3.94885e-06,-4.21463e-06
0.79,1.50805e-05,1.59716e-05,8.47256e-06,2.06111e-05,-6.08811e-06
0.8,1.0843e-05,2.38003e-05,5.31214e-06,4.13454e-05,-1.32434e-05
0.81,-5.0765e-06,2.67635e-05,-9.27757e-06,3.73793e-05,-1.63113e-05
0.82,2.14093e-05,5.17088e-05,-1.41675e-05,6.50051e-05,1.13275e-06
0.83,4.40275e-05,5.23343e-05,1.59148e-05,5.62432e-05,4.07125e-06
0.84,-5.67256e-06,6.3683e-05,2.87713e-05,8.51166e-05,-1.13192e-05
0.85,-1.37182e-05,5.15073e-05,5.18342e-05,-1.32756e-07,1.29889e-05
0.86,2.51771e-05,4.72422e-05,0.000117844,-2.00921e-05,2.87176e-05
0.87,6.8879e-05,0.000149416,0.000129841,5.91169e-05,1.16694e-05
0.88,0.000207401,0.000143224,0.000180557,8.81556e-05,-0.000286514
0.89,0.000391209,0.000444612,0.000194695,0.000219997,-0.000262061
0.9,0.00038398,0.000939337,0.000354795,-5.5161e-05,-0.000569943
0.91,0.000481296,0.000939761,0.000505475,-9.50784e-05,-4.99683e-05
0.92,0.000229563,0.000896899,0.000357203,-0.000439524,-0.000369784
0.93,0.001255,0.0016067,0.000704767,0.000121225,-0.000581143
0.94,0.00117095,0.00207864,0.000687682,-0.000496943,-0.000890945
0.95,0.000993564,0.00208228,0.000582853,-0.00031316,-0.00020391
