Time , meanZ
1.99939e-002 , 7.90106e-002
3.99878e-002 , 7.90108e-002
5.99817e-002 , 7.90106e-002
7.99756e-002 , 7.90108e-002
9.99694e-002 , 7.90108e-002
1.19963e-001 , 7.90108e-002
1.39957e-001 , 7.90109e-002
1.59951e-001 , 7.90109e-002
1.79945e-001 , 7.90110e-002
1.99939e-001 , 7.90110e-002
2.19933e-001 , 7.90110e-002
2.39927e-001 , 7.90110e-002
2.59921e-001 , 7.90111e-002
2.79914e-001 , 7.90111e-002
2.99908e-001 , 7.90112e-002
3.19902e-001 , 7.90113e-002
3.39896e-001 , 7.90114e-002
3.59890e-001 , 7.90118e-002
3.79884e-001 , 7.90118e-002
3.99878e-001 , 7.90118e-002
4.19872e-001 , 7.90119e-002
4.39866e-001 , 7.90120e-002
4.59859e-001 , 7.90121e-002
4.79853e-001 , 7.90121e-002
4.99847e-001 , 7.90123e-002
5.19841e-001 , 7.90123e-002
5.39835e-001 , 7.90125e-002
5.59829e-001 , 7.90129e-002
5.79823e-001 , 7.90130e-002
5.99817e-001 , 7.90137e-002
6.19811e-001 , 7.90144e-002
6.39804e-001 , 7.90149e-002
6.59798e-001 , 7.90154e-002
6.79792e-001 , 7.90162e-002
6.99786e-001 , 7.90166e-002
7.19780e-001 , 7.90177e-002
7.39774e-001 , 7.90190e-002
7.59768e-001 , 7.90203e-002
7.79762e-001 , 7.90223e-002
7.99756e-001 , 7.90241e-002
8.19749e-001 , 7.90264e-002
8.39743e-001 , 7.90321e-002
8.59737e-001 , 7.90486e-002
8.79731e-001 , 7.91425e-002
8.99725e-001 , 7.93860e-002
9.19719e-001 , 7.98653e-002
9.39713e-001 , 8.05720e-002
9.59707e-001 , 8.15101e-002
9.79701e-001 , 8.26720e-002
9.99694e-001 , 8.40138e-002
1.01969e+000 , 8.55005e-002
1.03968e+000 , 8.71160e-002
1.05968e+000 , 8.87869e-002
1.07967e+000 , 9.04361e-002
1.09966e+000 , 9.22541e-002
1.11966e+000 , 9.40548e-002
1.13965e+000 , 9.59163e-002
1.15965e+000 , 9.78348e-002
1.17964e+000 , 1.00009e-001
1.19963e+000 , 1.02301e-001
1.21963e+000 , 1.04608e-001
1.23962e+000 , 1.06902e-001
1.25961e+000 , 1.09486e-001
1.27961e+000 , 1.11679e-001
1.29960e+000 , 1.13622e-001
1.31960e+000 , 1.15006e-001
1.33959e+000 , 1.16627e-001
1.35958e+000 , 1.18327e-001
1.37958e+000 , 1.19815e-001
1.39957e+000 , 1.21352e-001
1.41957e+000 , 1.23034e-001
1.43956e+000 , 1.25066e-001
1.45955e+000 , 1.27308e-001
1.47955e+000 , 1.29646e-001
1.49954e+000 , 1.32312e-001
1.51954e+000 , 1.35533e-001
1.53953e+000 , 1.38143e-001
1.55952e+000 , 1.40291e-001
1.57952e+000 , 1.42397e-001
1.59951e+000 , 1.44461e-001
1.61950e+000 , 1.46272e-001
1.63950e+000 , 1.47522e-001
1.65949e+000 , 1.47950e-001
1.67949e+000 , 1.47141e-001
1.69948e+000 , 1.45407e-001
1.71947e+000 , 1.43401e-001
1.73947e+000 , 1.41115e-001
1.75946e+000 , 1.38770e-001
1.77946e+000 , 1.36367e-001
1.79945e+000 , 1.33686e-001
1.81944e+000 , 1.30664e-001
1.83944e+000 , 1.27444e-001
1.85943e+000 , 1.24312e-001
1.87943e+000 , 1.21786e-001
1.89942e+000 , 1.20271e-001
1.91941e+000 , 1.19934e-001
1.93941e+000 , 1.20744e-001
1.95940e+000 , 1.22396e-001
1.97939e+000 , 1.24652e-001
