date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-6.9631e-08,-5.68665e-08,-2.09753e-08,1.74088e-07,5.57837e-08
0.01,-2.06799e-05,-5.39839e-05,3.74616e-05,9.27398e-05,1.65406e-05
0.02,-9.27495e-06,-8.8297e-06,-3.11753e-06,5.31484e-06,7.3238e-06
0.03,4.76329e-06,5.78319e-06,2.56886e-06,-1.88751e-06,-8.54967e-07
0.04,-3.77591e-06,-2.84024e-06,2.2576e-07,2.40545e-06,1.24938e-06
0.05,1.03913e-06,9.40906e-07,-7.48885e-07,-1.66321e-06,-1.25117e-06
0.06,1.7981e-06,2.36008e-06,-6.43121e-08,-2.2149e-06,-1.46323e-06
0.07,-1.68314e-07,-9.64361e-07,-8.16681e-07,1.30466e-06,1.40856e-07
0.08,9.34646e-07,1.11384e-06,-6.58969e-08,-2.01594e-06,-1.92364e-06
0.09,-1.16567e-06,-5.10266e-07,-6.30218e-07,8.73597e-07,1.05317e-06
0.1,5.50915e-07,1.65031e-07,1.59031e-07,-5.91294e-07,-1.12324e-06
0.11,-3.44069e-07,-4.1318e-07,-2.66827e-07,5.09968e-07,2.27242e-07
0.12,-3.85681e-07,-9.44365e-07,-2.89433e-07,9.06754e-07,3.36638e-07
0.13,-2.13446e-07,1.23253e-07,9.4049e-09,-5.21435e-07,-3.4051e-08
0.14,-2.64672e-07,-2.43591e-07,-1.64102e-07,3.42972e-07,1.84406e-07
0.15,7.58359e-08,2.27222e-07,-9.70573e-08,-4.33245e-07,3.12253e-08
0.16,-3.78989e-08,-7.34792e-08,5.89024e-09,1.49154e-07,-1.10194e-07
0.17,8.25571e-08,1.83628e-07,1.52486e-07,7.34856e-08,-7.17067e-08
0.18,-4.07748e-08,-4.44873e-08,5.84348e-08,3.46611e-08,-4.51708e-08
0.19,5.68611e-09,-6.82434e-11,-8.3755e-08,1.00238e-07,-3.21535e-08
0.2,3.50057e-08,5.16564e-08,7.87365e-08,-6.25075e-09,-3.77845e-08
0.21,4.55054e-08,-4.76096e-08,4.49731e-09,8.10923e-08,-3.25799e-10
0.22,1.53827e-08,-3.70081e-08,1.86195e-08,-2.01434e-08,6.84297e-09
0.23,6.69044e-08,1.19351e-07,6.43994e-08,-1.93702e-07,-6.82947e-08
0.24,1.01148e-07,3.43198e-07,3.33472e-08,-1.62544e-07,-5.11552e-08
0.25,5.02831e-08,3.5923e-07,-5.60262e-09,-1.64326e-07,-5.57778e-08
0.26,5.23142e-08,2.63848e-07,4.31861e-08,-1.48494e-07,1.02798e-08
0.27,1.01663e-07,2.83727e-07,-5.38092e-08,-1.76751e-07,-1.37776e-08
0.28,6.35087e-10,3.47318e-07,-1.97949e-08,-1.56999e-07,-5.6647e-08
0.29,1.01685e-07,2.098e-07,-9.73747e-08,-2.28058e-08,-3.93313e-08
0.3,8.594e-08,4.04675e-07,-1.60634e-07,-2.01233e-07,-1.28275e-07
0.31,2.87024e-07,5.55775e-07,-4.22701e-08,7.06877e-08,-1.098e-07
0.32,3.47357e-07,1.07039e-06,1.58715e-07,-3.44277e-07,-2.45113e-07
0.33,2.51755e-07,6.50925e-07,6.79534e-08,-3.60584e-07,-1.76129e-08
0.34,4.8455e-07,1.47994e-06,3.64893e-07,-7.83807e-07,-3.36575e-07
0.35,4.91278e-07,1.11835e-06,2.69987e-07,-3.65322e-07,-2.65664e-07
0.36,5.46334e-07,1.73857e-06,4.78749e-07,-4.21168e-07,-3.15165e-07
0.37,3.6654e-07,1.9909e-06,1.05883e-06,-4.93794e-07,-5.50169e-07
0.38,6.87963e-07,2.27777e-06,9.49767e-07,-4.44726e-07,-4.3501e-07
0.39,6.91214e-07,2.40334e-06,1.09132e-06,-7.87201e-07,-7.05832e-07
