Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;4.21026e-07;6.87111e-08;2.73845e-07;2.20305e-07;-2.32461e-07
0.02;6.95356e-07;-5.08935e-08;-5.9403e-07;1.50702e-06;6.88001e-08
0.04;1.0552e-06;3.50347e-06;1.4959e-06;-1.53125e-06;-8.38799e-07
0.06;9.05879e-07;1.08531e-07;-1.24704e-07;3.80582e-07;-6.87222e-07
0.08;3.18575e-07;5.64652e-07;7.45746e-07;-2.57608e-07;1.00654e-07
0.1;4.62493e-07;8.12652e-07;-2.65269e-07;-6.80281e-07;-4.25306e-07
0.12;6.61321e-08;-2.51721e-07;5.41342e-09;-2.24026e-07;-1.16343e-07
0.14;-4.40283e-07;-8.84187e-07;-4.71161e-07;2.94158e-08;3.24862e-07
0.16;-4.57587e-07;-8.7781e-07;-1.18646e-07;-2.99769e-07;-4.21244e-07
0.18;-1.85755e-07;-5.25515e-07;-6.19633e-08;-1.11494e-07;-1.49537e-07
0.2;-1.2779e-07;-6.01114e-07;-2.75138e-07;1.9477e-07;1.10514e-08
0.22;4.67969e-08;-3.07962e-07;-4.76089e-07;-1.59797e-07;-1.10924e-08
0.24;-1.26012e-07;-1.70239e-07;-5.7491e-08;5.69342e-08;-1.10253e-07
0.26;-9.9886e-08;-2.38373e-07;-7.13098e-08;8.58046e-08;-1.05693e-07
0.28;1.56554e-09;-2.4103e-07;2.3679e-08;6.47045e-08;-6.47824e-08
0.3;1.16828e-07;-1.8476e-07;-7.93627e-08;-1.13696e-07;3.81068e-08
0.32;7.04665e-08;-1.29389e-08;1.0261e-07;2.19411e-07;2.54567e-07
0.34;1.37188e-09;-2.24524e-07;-4.16667e-08;3.52502e-08;1.46743e-09
0.36;3.43885e-08;-1.87256e-07;3.86179e-08;8.18693e-08;-1.01675e-08
0.38;4.95899e-08;-3.44689e-08;-5.5561e-08;1.47977e-07;-1.33828e-08
0.4;3.2394e-08;-1.75357e-07;-8.09495e-08;9.93556e-09;-1.74278e-08
0.42;5.52437e-09;-1.87862e-07;8.57156e-09;4.65166e-08;-4.23326e-08
0.44;-4.11318e-08;-1.34255e-07;-1.20437e-08;3.4572e-08;1.21606e-07
0.46;1.39675e-07;-1.59673e-07;-2.25187e-07;8.49544e-09;-1.30123e-07
0.48;6.25426e-08;-2.34669e-07;-4.34598e-08;-2.35768e-08;-1.74068e-07
0.5;-4.59253e-08;-1.64843e-07;7.41131e-08;5.30079e-08;6.16398e-08
0.52;3.97993e-07;6.51102e-08;3.16328e-08;2.28845e-09;-1.90363e-07
0.54;-1.20965e-07;-1.12017e-07;1.2907e-07;3.62103e-07;-1.43056e-07
0.56;8.63192e-07;1.74327e-06;1.87928e-06;-2.48271e-07;-7.76854e-08
0.58;1.52822e-07;-2.67922e-07;1.51215e-08;1.75721e-07;2.03498e-08
0.6;-1.33381e-07;-2.0462e-07;-4.27099e-08;-1.20603e-07;1.885e-08
0.62;1.54918e-07;3.06839e-07;1.99097e-07;2.08731e-07;1.08418e-08
0.64;-1.76257e-07;-8.09049e-08;-1.98579e-07;1.22407e-07;-7.90232e-08
0.66;1.6204e-07;7.10458e-10;-3.73438e-07;2.45623e-09;-1.42205e-07
0.68;-3.60708e-08;1.22563e-07;-3.21351e-07;-2.07063e-07;-6.54795e-08
0.7;1.94746e-07;1.26119e-07;5.24071e-08;-3.25154e-07;3.79846e-10
0.72;5.73577e-07;9.79849e-08;-8.26806e-07;-1.43308e-07;-1.08948e-07
0.74;6.58917e-07;-1.76649e-07;5.07886e-07;-6.97583e-08;3.53528e-07
0.76;2.19441e-07;-1.98199e-07;9.9994e-08;-5.33389e-07;-4.96264e-07
0.78;5.49977e-07;-1.25392e-05;-1.9246e-07;-3.6642e-07;6.09141e-07
0.8;-1.35365e-06;4.01585e-07;-5.58939e-07;-2.72339e-08;-8.25434e-07
0.82;-1.87437e-07;-4.37766e-08;-6.94933e-08;-4.68145e-07;2.22608e-06
0.84;-8.63045e-06;-4.53968e-08;1.74493e-06;1.46592e-06;2.25245e-05
0.86;-3.17672e-05;-9.39894e-07;-5.8103e-07;3.09246e-07;4.42459e-05
0.88;-2.46568e-05;-2.88601e-06;1.02242e-06;8.66508e-07;3.43622e-05
0.9;6.94417e-05;-1.13021e-05;1.75899e-06;5.58549e-06;-1.88394e-05
0.92;5.84185e-05;-6.28161e-06;-1.38876e-07;2.13743e-05;3.89989e-05
0.94;2.02601e-05;-9.50351e-06;-3.14532e-05;2.91502e-05;6.30272e-05
0.96;-6.24494e-05;-2.35131e-05;2.78331e-05;1.68461e-05;-2.32891e-05
0.98;-0.000200311;2.97967e-05;1.05054e-05;5.10311e-05;5.20448e-05
1;-0.000333886;-9.684e-05;3.34214e-05;0.000148138;7.54152e-05
1.02;-0.000156482;-0.000462251;5.33631e-05;0.000660339;0.000242871
1.04;-0.000688262;-0.00142035;7.92531e-05;0.00150376;0.000570717
1.06;-0.00134406;-0.00214018;0.000323155;0.0022004;0.00126225
1.08;-0.00168621;-0.00339899;0.000487169;0.00242996;0.00101914
1.1;-0.00215222;-0.00440792;-0.000173219;0.0034413;0.00212766
1.12;-0.00253763;-0.00471681;-0.000321887;0.00405442;0.00160701
1.14;-0.00309622;-0.00547422;-0.000744981;0.00475131;0.00173001
1.16;-0.00301459;-0.00665445;-0.000473673;0.00600133;0.00191803
1.18;-0.00251488;-0.00860701;-0.000371892;0.00838439;0.00368722
1.2;-0.00439766;-0.0127105;-0.00106631;0.0112593;0.00491095
1.22;-0.00739937;-0.0170481;-0.000903881;0.0153839;0.00781874
1.24;-0.0103264;-0.0222713;-0.0023745;0.0199977;0.0118423
1.26;-0.0153189;-0.0275622;-0.00379793;0.0239067;0.014997
1.28;-0.0197224;-0.0320786;-0.00554584;0.028616;0.0187991
1.3;-0.0232978;-0.0362975;-0.00676056;0.0331238;0.0230135
1.32;-0.0232671;-0.0395903;-0.00826983;0.0351353;0.0245089
1.34;-0.0196401;-0.032502;-0.00692158;0.0310384;0.020524
1.36;-0.018121;-0.0250117;-0.00701998;0.0137658;0.0183129
1.38;-0.0112934;-0.0161614;-0.00255075;0.013873;0.00962734
1.4;-0.00686795;-0.011214;-0.00410028;0.0126598;0.0104842
1.42;0.00103501;-0.00768617;0.000843047;0.00756012;0.00573341
1.44;-0.00280293;-0.00568967;-0.00397612;0.00474326;0.00137906
1.46;-3.32358e-05;-0.000698552;0.000546679;0.00668738;-0.00246163
1.48;0.00260965;-0.0016254;-0.00173438;-0.00140864;-7.1904e-05
1.5;0.00314951;0.00205575;-0.0018397;-0.00697109;-0.00231476
1.52;0.00490283;0.0053737;-0.00168722;-0.00960957;-0.00617741
1.54;0.00474584;0.0025043;-0.00186779;-0.00660523;-0.00337535
1.56;0.00154262;-0.00470795;-0.00250818;-0.00207172;-0.00105311
1.58;-0.00302741;-0.0226329;-0.00414463;0.0127942;0.00271425
1.6;-0.00579869;-0.0407133;-0.00197074;0.036844;0.00914118
1.62;-0.00449695;-0.0366322;-0.00246846;0.0382393;0.00997274
1.64;-0.000913284;-0.0250357;0.00496497;0.0313096;0.00631463
1.66;0.0082417;0.00624795;-0.00470436;0.0134906;0.00260441
1.68;0.0102143;0.0187799;-0.00228753;-0.0120941;-0.00550892
1.7;0.00839849;0.0507817;0.0112932;-0.0336913;-0.00622517
1.72;0.0166187;0.0559499;0.00829647;-0.0377976;-0.0164175
1.74;0.026214;0.0654408;-0.00169591;-0.0556396;-0.0204571
1.76;0.0285425;0.0873232;0.00403213;-0.0714864;-0.0243048
1.78;0.0410584;0.123247;-0.000346073;-0.10035;-0.0362342
1.8;0.0660677;0.181651;0.0140471;-0.159386;-0.0698357
1.82;0.0926532;0.272577;0.0408867;-0.245142;-0.0800672
1.84;0.0983564;0.246925;0.032445;-0.245578;-0.0932894
1.86;0.0970346;0.204541;0.0319573;-0.180522;-0.0746604
1.88;0.0795812;0.175364;0.0165497;-0.147063;-0.0662337
1.9;0.0700934;0.151999;0.0174894;-0.113888;-0.0509217
1.92;0.0534656;0.137379;0.0183762;-0.115686;-0.0407229
1.94;0.0420011;0.124782;-0.00307039;-0.122478;-0.0393009
1.96;0.0339171;0.115518;-0.00780515;-0.116636;-0.0373307
1.98;0.0237473;0.0987809;-0.0110267;-0.104936;-0.0274625
2;0.00735449;0.0810944;-0.0021419;-0.0883332;-0.0148613
2.02;-0.00440317;0.073407;0.0151666;-0.0837752;-0.00616026
2.04;-0.00857673;0.0751382;0.035625;-0.0885537;-0.00478595
2.06;-0.00844763;0.0719921;0.044437;-0.0945731;-0.00474454
2.08;-0.0093706;0.0770893;0.0491243;-0.10384;-0.00553725
2.1;-0.00903115;0.0763112;0.0643168;-0.111267;-0.00845231
2.12;-0.00845996;0.0702844;0.043413;-0.106918;-0.0110077
2.14;-0.00431236;0.0646471;0.0432611;-0.100812;-0.016207
2.16;0.0152867;0.0356525;0.0410848;-0.089239;-0.021529
2.18;0.0206063;0.0493189;0.0479897;-0.115851;-0.034619
2.2;0.0738865;0.0795344;0.0204735;-0.124799;-0.073578
2.22;0.100832;0.127664;0.0174179;-0.173441;-0.0991776
2.24;0.125039;0.182607;0.0104679;-0.203675;-0.128473
2.26;0.143633;0.23672;-0.0154463;-0.225603;-0.166702
2.28;0.16474;0.23198;0.00917557;-0.238542;-0.15529
2.3;0.139566;0.164334;0.0330744;-0.145678;-0.150793
2.32;0.109336;0.146654;0.0196518;-0.113946;-0.130068
2.34;0.100154;0.161064;0.0196032;-0.127236;-0.0995143
2.36;0.093023;0.160857;0.0299341;-0.13116;-0.0906541
2.38;0.0834019;0.177078;0.02583;-0.155965;-0.0763435
2.4;0.0635645;0.157167;0.0137211;-0.149744;-0.0609265
2.42;0.0512826;0.10971;0.013918;-0.119892;-0.0501529
2.44;0.0354298;0.0821475;-0.0146206;-0.0871621;-0.0404103
2.46;0.0446412;0.0767386;-0.0244609;-0.0805683;-0.0400679
2.48;0.0643835;0.0851054;-0.016278;-0.0864305;-0.0506067
2.5;0.0887258;0.111417;-0.0204514;-0.10157;-0.0784328
2.52;0.148079;0.153629;-0.0270024;-0.12901;-0.123784
2.54;0.171298;0.250856;-0.0406793;-0.205023;-0.17685
2.56;0.169861;0.261614;-0.0477696;-0.238418;-0.138308
2.58;0.139118;0.163427;0.0226324;-0.160981;-0.134982
2.6;0.118453;0.0890455;0.0143852;-0.0846618;-0.10769
2.62;0.109162;0.0701351;0.0185655;-0.0648061;-0.0757946
2.64;0.0933286;0.0962629;0.0267837;-0.0974414;-0.0927259
2.66;0.0914965;0.138409;0.0515989;-0.148105;-0.100074
2.68;0.0792119;0.155776;0.0815669;-0.147965;-0.0953982
2.7;0.0597229;0.130707;0.0833334;-0.13006;-0.0703949
2.72;0.0533906;0.106299;0.0554335;-0.107484;-0.0681984
2.74;0.0575779;0.111875;0.0160116;-0.106904;-0.0717312
2.76;0.0685937;0.126469;-0.0156764;-0.115857;-0.0811012
2.78;0.0962596;0.139478;-0.0307379;-0.125846;-0.114403
2.8;0.142092;0.170241;-0.034129;-0.14465;-0.134052
2.82;0.165408;0.237039;-0.0302041;-0.17938;-0.15032
2.84;0.151567;0.226135;-0.0140177;-0.164368;-0.116042
2.86;0.135301;0.106883;0.0290979;-0.0856766;-0.125585
2.88;0.138443;0.0840904;-0.000155392;-0.129438;-0.131727
