Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;-1.65059e-08;-2.23675e-08;-7.13467e-08;-3.73264e-07;1.37128e-07
0.02;-1.43784e-06;3.03308e-06;4.63624e-06;2.61682e-06;-3.90163e-07
0.04;7.37632e-07;5.35103e-06;6.19636e-06;7.23358e-06;9.61293e-07
0.06;2.20748e-06;3.69976e-06;3.91632e-06;3.54059e-06;1.15801e-06
0.08;2.53498e-08;1.86336e-06;2.03424e-06;1.83791e-06;2.01664e-07
0.1;5.58582e-08;1.43496e-06;5.61966e-07;1.46968e-06;-6.22823e-07
0.12;7.13845e-08;1.13902e-06;-1.91768e-07;1.02958e-06;-5.53446e-08
0.14;4.05567e-07;6.41347e-07;-3.13711e-07;7.83346e-07;-5.94232e-08
0.16;8.59166e-08;3.51497e-07;2.95474e-07;8.05654e-07;2.26461e-07
0.18;5.1556e-07;6.12364e-07;2.54818e-07;5.65759e-07;2.78706e-07
0.2;7.32124e-07;4.8029e-07;3.19817e-07;8.24157e-07;4.28152e-07
0.22;8.42352e-07;7.70241e-07;5.61472e-07;9.25941e-07;5.65012e-07
0.24;8.85503e-07;1.17441e-06;1.01869e-06;1.3161e-06;7.33307e-07
0.26;1.22797e-06;9.33474e-07;7.91151e-07;2.87963e-06;2.70742e-06
0.28;1.37932e-06;1.91328e-06;2.18822e-06;1.94709e-06;1.41391e-06
0.3;1.39887e-06;2.4201e-06;2.0027e-06;2.39235e-06;1.66801e-06
0.32;2.21971e-06;3.23529e-06;3.56844e-06;3.2861e-06;2.65096e-06
0.34;2.84475e-06;5.19461e-06;3.85083e-06;3.56249e-06;2.02901e-06
0.36;6.98619e-06;6.52584e-06;4.69949e-06;4.79872e-06;3.19201e-06
0.38;5.03067e-06;7.26858e-06;6.31625e-06;5.60404e-06;5.25094e-06
0.4;6.63951e-06;1.03938e-05;7.1742e-06;8.33107e-06;7.4911e-06
0.42;1.18269e-05;1.30808e-05;1.09273e-05;1.37871e-05;4.27188e-05
0.44;0.000162562;1.06247e-05;1.4002e-05;1.61767e-05;0.00024146
0.46;0.000434582;2.36278e-05;2.87201e-05;1.3752e-05;0.000248819
0.48;0.000470986;0.000155329;0.000247836;7.33452e-05;0.00090564
0.5;0.00100045;0.000790473;0.000564269;0.000551066;0.000563854
0.52;0.00560558;0.00448321;0.00435372;0.004896;0.00509501
0.54;0.0169681;0.0167635;0.0160876;0.0166014;0.0164274
0.56;0.0347586;0.0353613;0.0341158;0.0343025;0.0341156
0.58;0.0595688;0.0607673;0.0581172;0.0572276;0.0584468
0.6;0.089679;0.0885953;0.085047;0.0859378;0.0888787
0.62;0.121478;0.117092;0.115189;0.117526;0.120368
0.64;0.158555;0.1524;0.148472;0.151968;0.153495
0.66;0.18999;0.18734;0.185698;0.190334;0.188414
0.68;0.221479;0.221271;0.218995;0.223487;0.2207
