date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0.59,0.00360546,0.00223325,0.00378987,0.00212277,0.000150978
0.6,0.00233472,0.000667586,0.00314857,0.00320814,0.0010519
0.61,0.000377339,-0.000131734,0.00186817,0.00383204,0.00214813
0.62,-0.00155161,-0.000685076,0.00195195,0.00503444,0.000793906
0.63,-0.0023046,-0.00217046,0.00177493,0.0056626,0.003235
0.64,-0.00340085,-0.00340048,0.00196989,0.00725958,0.00617253
0.65,-0.00586253,-0.0047583,0.00158436,0.0091259,0.00799918
0.66,-0.0074554,-0.00616418,0.00109048,0.0097423,0.0104144
0.67,-0.00960329,-0.00739247,0.000628145,0.0111429,0.0116953
0.68,-0.0115145,-0.00846715,0.000496422,0.011546,0.0137585
0.69,-0.0122625,-0.0095646,-0.000320889,0.012192,0.0151503
0.7,-0.0125778,-0.0103539,-0.000723159,0.0120443,0.0159633
0.71,-0.0128057,-0.010543,-0.00118463,0.0117483,0.0161463
0.72,-0.0111166,-0.0115721,-0.000529448,0.0122017,0.0119776
0.73,0.00907485,-0.00656478,0.00602377,0.00599978,0.00627862
0.74,-0.00188058,-0.00391499,0.00311838,0.0099654,0.0074588
0.75,-0.00374947,-0.00156107,0.0111959,0.00915112,0.00565675
0.76,-0.00590497,-0.00313851,0.010879,0.0136145,0.00800554
0.77,-0.00754564,-0.00161662,0.00138106,0.017371,0.0114686
0.78,-0.00795339,-0.00351832,-0.00133427,0.0109376,0.0104484
0.79,-0.00724518,-0.00323487,-0.000915695,0.0131338,0.0128823
0.8,-0.00614896,-0.00448233,0.00413045,0.018118,0.016438
0.81,-0.00438368,-0.00177825,0.00176487,0.0215008,0.00918109
0.82,-0.00339257,-0.00788952,0.0067003,0.0150352,0.00309726
0.83,-0.00109431,-0.0113215,0.00628166,0.0101532,0.00054814
0.84,0.000237163,-0.00754974,0.0024651,0.00821569,-0.00187902
0.85,-0.00226979,-0.00786771,0.00685755,0.00822062,-0.00137902
