date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0.72,0.115004,0.126242,0.124835,0.127806,0.114743
0.73,0.129113,0.140768,0.142116,0.142664,0.128228
0.74,0.141697,0.155164,0.155139,0.157167,0.144779
0.75,0.147999,0.162663,0.166336,0.168623,0.156417
0.76,0.151556,0.164958,0.170522,0.1741,0.159772
0.77,0.150437,0.161774,0.167607,0.173022,0.158831
0.78,0.140905,0.153572,0.157744,0.164615,0.14967
0.79,0.126048,0.133143,0.137923,0.147345,0.13078
0.8,0.105946,0.107701,0.103539,0.124356,0.111
0.81,0.0784515,0.0785399,0.0677168,0.0935733,0.0774595
0.82,0.0323762,0.0405194,0.0230025,0.0514087,0.0355836
0.83,-0.0222269,-0.0182181,-0.0298834,-0.0136813,-0.0134726
0.84,-0.0948587,-0.0831983,-0.09865,-0.0757735,-0.0815012
0.85,-0.150553,-0.145049,-0.158946,-0.138437,-0.13865
0.86,-0.206015,-0.202688,-0.213297,-0.200368,-0.196688
0.87,-0.207713,-0.214612,-0.22695,-0.207532,-0.192358
0.88,-0.149709,-0.158767,-0.159994,-0.154477,-0.173466
0.89,-0.102562,-0.121698,-0.0944159,-0.104461,-0.131606
0.9,-0.0870235,-0.0723025,-0.0599029,-0.0597917,-0.104185
0.91,-0.0408806,-0.0423975,-0.0191878,-0.00719807,-0.0692422
0.92,0.00664973,0.00848945,0.0386795,0.0227877,-0.0241303
0.93,0.0300344,0.0656592,0.0862125,0.0626666,0.0240249
0.94,0.076992,0.128156,0.14361,0.112871,0.0614958
0.95,0.0958221,0.170871,0.178322,0.14421,0.0921064
0.96,0.124342,0.181518,0.20658,0.17757,0.114858
0.97,0.144685,0.216023,0.240772,0.20485,0.141922
0.98,0.166623,0.224755,0.251222,0.223265,0.157473
0.99,0.16643,0.232613,0.269143,0.237557,0.157464
1,0.161452,0.244454,0.270948,0.25223,0.165225
1.01,0.157527,0.251752,0.275002,0.251855,0.159548
1.02,0.151683,0.24727,0.269958,0.245344,0.146928
1.03,0.144706,0.237144,0.259134,0.237327,0.132689
1.04,0.120118,0.217258,0.242389,0.224664,0.118572
1.05,0.0990917,0.185591,0.198489,0.198667,0.104622
1.06,0.0786955,0.134868,0.113785,0.153923,0.0929751
1.07,0.0411813,0.0636876,0.0101116,0.0649056,0.0512819
1.08,-0.0158291,-0.028953,-0.0830541,-0.000880575,-0.00171366
1.09,-0.078723,-0.108731,-0.157761,-0.0912756,-0.0665303
1.1,-0.140167,-0.170021,-0.217365,-0.166917,-0.138623
1.11,-0.19212,-0.245272,-0.260585,-0.23594,-0.200756
1.12,-0.252233,-0.304262,-0.32183,-0.300275,-0.245575
