Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;-1.65059e-08;-2.23675e-08;-7.13467e-08;-3.73264e-07;1.37128e-07
0.02;1.78599e-06;2.54283e-06;5.12863e-06;2.66792e-06;-2.40622e-06
0.04;7.54209e-07;5.10056e-06;7.03543e-06;5.16805e-06;1.87399e-06
0.06;1.64894e-06;3.44232e-06;4.59464e-06;3.32516e-06;1.10279e-06
0.08;2.4893e-07;2.01095e-06;3.18866e-06;2.15988e-06;4.27933e-07
0.1;-5.83778e-08;1.5834e-06;1.11893e-06;8.03094e-07;9.37791e-07
0.12;1.04296e-07;1.46956e-06;6.48582e-07;4.85887e-07;-1.10758e-07
0.14;3.61209e-07;5.98099e-07;-4.50251e-07;-1.96767e-07;-1.57224e-07
0.16;-8.25565e-08;-4.48818e-07;-5.76373e-07;-5.36973e-07;-1.79798e-07
0.18;3.56068e-07;-5.68653e-08;-1.41576e-06;-6.95695e-07;-1.986e-07
0.2;3.22332e-07;3.06517e-07;-9.01057e-07;-4.32372e-07;-4.76572e-07
0.22;1.53424e-07;1.30101e-07;-2.15365e-07;4.06414e-08;-1.42763e-07
0.24;7.68475e-08;2.65752e-07;7.73398e-08;8.4564e-08;3.21548e-09
0.26;-7.47757e-08;1.02874e-07;5.24984e-08;2.46862e-07;-1.67987e-08
0.28;-7.04358e-09;2.07219e-07;6.66049e-08;2.26651e-07;7.27264e-08
0.3;1.4744e-07;1.09078e-07;7.32034e-09;2.05647e-07;3.48485e-07
0.32;3.13249e-07;6.93786e-08;2.83318e-07;3.00322e-07;2.09625e-08
0.34;3.47346e-07;1.49643e-07;3.17456e-09;1.73571e-07;-2.82601e-08
0.36;2.81653e-07;8.30532e-08;1.23393e-07;2.28199e-07;8.94233e-08
0.38;3.05277e-07;5.30832e-08;1.29985e-07;1.81811e-07;1.88014e-07
0.4;1.00132e-07;2.41118e-07;1.89535e-07;2.62702e-07;2.39985e-07
0.42;6.2279e-08;1.6396e-07;2.44669e-07;3.16355e-07;2.02518e-07
0.44;8.412e-08;1.94757e-07;3.5158e-07;3.26237e-07;1.34051e-07
0.46;2.62873e-07;2.86979e-07;7.54716e-07;5.11332e-07;1.22247e-07
0.48;4.31408e-07;1.08762e-07;1.45897e-07;3.808e-07;4.89656e-07
0.5;5.78893e-07;4.70373e-07;5.29655e-07;6.85908e-07;1.9548e-07
0.52;7.744e-07;7.47919e-07;8.53146e-07;6.24669e-07;6.86677e-07
0.54;4.56273e-07;7.24533e-07;1.00825e-06;8.8308e-07;3.31919e-07
0.56;7.62681e-07;1.26706e-08;6.47557e-07;1.387e-06;1.99813e-06
0.58;5.90127e-07;1.13301e-06;9.54366e-07;8.36674e-07;5.04803e-07
0.6;4.48386e-07;7.59803e-07;1.20884e-06;1.24222e-06;8.1455e-07
0.62;8.5536e-07;1.81821e-06;1.65371e-06;1.13682e-06;8.46076e-07
0.64;1.09703e-06;1.33077e-06;1.34802e-06;1.12451e-06;9.56546e-08
0.66;1.08412e-06;1.64349e-06;9.55895e-07;2.27409e-06;1.27388e-06
0.68;1.42145e-06;1.82899e-06;2.10708e-06;2.34341e-06;1.69313e-06
0.7;3.43146e-06;3.83502e-06;2.9381e-06;2.97583e-06;2.13543e-06
0.72;2.20861e-06;3.60604e-06;2.53338e-06;3.09959e-06;2.82907e-06
0.74;2.23029e-06;2.94464e-06;3.34815e-06;4.95254e-06;4.08333e-06
0.76;2.71454e-06;4.98124e-06;4.08399e-06;3.92226e-06;2.76051e-06
0.78;4.04495e-06;-4.82543e-06;4.30487e-06;2.70134e-06;3.68864e-06
0.8;2.49351e-06;3.65586e-06;4.66755e-06;3.67731e-06;3.75694e-06
0.82;4.51422e-06;6.56664e-06;6.08205e-06;6.74302e-06;1.2303e-05
0.84;5.42948e-06;3.33839e-06;6.85125e-06;1.22183e-05;4.99611e-05
0.86;4.90887e-05;8.14529e-06;3.46889e-06;3.97896e-06;5.88139e-05
0.88;0.000222522;8.33728e-06;4.65995e-06;4.8724e-06;9.26441e-05
0.9;0.000334617;1.06834e-05;9.65181e-06;8.82269e-06;0.000175011
0.92;0.000168559;7.88914e-06;1.06345e-05;1.01779e-05;0.00046354
0.94;0.000427412;6.90596e-05;9.58393e-05;2.62778e-05;0.000332521
0.96;0.000159054;0.000192824;0.000193335;7.90773e-05;0.000187879
0.98;0.000294206;0.000224161;0.000196317;0.000183006;0.000249051
1;0.00110344;0.000340899;0.00041349;0.000395073;0.000404277
1.02;0.00280614;0.00154162;0.00144118;0.00176178;0.00182595
1.04;0.0061624;0.00583543;0.00522365;0.00560497;0.00591332
1.06;0.0127024;0.0125807;0.0123023;0.0128837;0.0125863
1.08;0.0212824;0.0220141;0.0212081;0.0218215;0.0220406
1.1;0.0344843;0.0348431;0.0327869;0.0327585;0.033415
1.12;0.0459685;0.0468383;0.044415;0.0447559;0.0459785
1.14;0.0622751;0.0596707;0.0572796;0.0585302;0.0613525
1.16;0.077004;0.0727123;0.070904;0.0726574;0.0756761
1.18;0.093159;0.089082;0.0872653;0.0904941;0.0931728
1.2;0.110046;0.107359;0.105303;0.107412;0.109658
1.22;0.125994;0.12378;0.121405;0.124816;0.126104
1.24;0.132584;0.131032;0.127584;0.132804;0.133125
1.26;0.125344;0.121594;0.116618;0.121344;0.124111
1.28;0.0981125;0.088326;0.0858221;0.0833939;0.0926894
1.3;0.0400821;0.0327187;0.021249;0.0283408;0.0398038
1.32;-0.0393094;-0.0655031;-0.0869658;-0.0778268;-0.0391243
1.34;-0.0908163;-0.156153;-0.169039;-0.159638;-0.0850371
1.36;-0.101554;-0.17991;-0.19027;-0.178558;-0.109093
1.38;-0.0973627;-0.14354;-0.137201;-0.141364;-0.111817
1.4;-0.0686102;-0.0955066;-0.0808541;-0.0953044;-0.0807307
1.42;-0.0330735;-0.051481;-0.00959649;-0.0249864;-0.0406612
1.44;0.0108208;0.0288565;0.06662;0.0293749;0.00780534
1.46;0.0344249;0.0910579;0.151209;0.0851744;0.0239687
1.48;0.0399788;0.13531;0.193522;0.133428;0.0375718
1.5;0.0362808;0.154232;0.230336;0.157617;0.0388984
1.52;0.0384903;0.162693;0.257835;0.16885;0.0436111
1.54;0.0304951;0.156485;0.257763;0.161583;0.0413744
1.56;0.019508;0.123872;0.235579;0.1357;0.0254537
1.58;0.00172646;0.0761097;0.154817;0.0903737;0.000108249
1.6;-0.0225491;0.00174579;-0.0595845;0.00117646;-0.0254673
1.62;-0.0649861;-0.113892;-0.213507;-0.122061;-0.0755128
1.64;-0.0994528;-0.146968;-0.209841;-0.133264;-0.106244
1.66;-0.112253;-0.0933859;0.100412;-0.0791538;-0.112375
1.68;-0.102005;-0.020221;0.32916;0.0185552;-0.103816
1.7;-0.0871371;0.0798819;0.506491;0.104053;-0.0832947
1.72;-0.109255;0.126171;0.632481;0.181293;-0.0931409
1.74;-0.163049;0.0739693;0.544134;0.116278;-0.153619
1.76;-0.255516;-0.0689259;0.241721;-0.0291782;-0.255744
1.78;-0.362382;-0.211452;0.0607534;-0.183877;-0.362044
1.8;-0.434829;-0.324004;0.0183786;-0.301735;-0.431978
1.82;-0.430892;-0.331919;0.0841161;-0.278766;-0.408621
1.84;-0.319109;-0.0786769;0.421451;-0.0426748;-0.303062
1.86;-0.222679;0.0495567;0.533449;0.0987819;-0.189585
1.88;-0.122346;0.115665;0.562926;0.181359;-0.0763647
1.9;-0.0490194;0.184312;0.573709;0.243068;0.00267811
1.92;0.019102;0.234975;0.603366;0.275264;0.0413101
1.94;0.061934;0.269647;0.608221;0.29707;0.0792967
1.96;0.123837;0.318611;0.590952;0.346797;0.143498
1.98;0.168618;0.345011;0.51194;0.362967;0.172077
2;0.159862;0.292242;0.327535;0.289659;0.151148
2.02;0.0832394;0.173305;0.160207;0.155893;0.0709642
2.04;-0.032782;0.0206521;0.000315805;0.0167939;-0.0475431
2.06;-0.166517;-0.127189;-0.15565;-0.106955;-0.171567
2.08;-0.29181;-0.252115;-0.279857;-0.236231;-0.29293
2.1;-0.414265;-0.37387;-0.371241;-0.351901;-0.409845
2.12;-0.524842;-0.479671;-0.461806;-0.467044;-0.520662
2.14;-0.628283;-0.561352;-0.504205;-0.529085;-0.615079
2.16;-0.644132;-0.399961;-0.504903;-0.381418;-0.538655
2.18;-0.530417;-0.270571;-0.352342;-0.258535;-0.485825
2.2;-0.47191;-0.178634;-0.134293;-0.216538;-0.462664
2.22;-0.483812;-0.183485;-0.0710965;-0.236129;-0.494561
2.24;-0.539812;-0.185285;-0.0111138;-0.244127;-0.53141
2.26;-0.517571;-0.12809;0.0367754;-0.17017;-0.523448
2.28;-0.409966;0.0583026;0.270164;0.0321952;-0.425193
2.3;-0.246137;0.221912;0.485519;0.224985;-0.259558
2.32;-0.120131;0.311345;0.590702;0.321603;-0.13874
2.34;-0.0800811;0.362877;0.675631;0.36509;-0.0445628
2.36;-0.0144554;0.403924;0.718312;0.417192;-0.00388428
2.38;0.0189158;0.45238;0.733665;0.467852;0.0241521
2.4;0.0148661;0.432575;0.652243;0.466346;0.0294003
2.42;-0.030177;0.326656;0.457176;0.360341;-0.00749983
