Date [s],Std. Deviation:Temperature (Study 01 - Particles) [K]
6.14,1.42045
6.16,1.42327
6.18,1.42608
6.2,1.42824
6.22,1.42944
6.24,1.42978
6.26,1.42948
6.28,1.42891
6.3,1.42815
6.32,1.42708
6.34,1.42557
6.36,1.42371
6.38,1.42167
6.4,1.4197
6.42,1.41806
6.44,1.41682
6.46,1.41592
6.48,1.41504
6.5,1.41386
6.52,1.41234
6.54,1.41053
6.56,1.40838
6.58,1.40599
6.6,1.40354
6.62,1.40116
6.64,1.39897
6.66,1.39705
6.68,1.3955
6.7,1.39444
6.72,1.39374
6.74,1.39318
6.76,1.39264
6.78,1.39195
6.8,1.3911
6.82,1.39002
6.84,1.38844
6.86,1.38655
6.88,1.38473
6.9,1.38305
6.92,1.38151
6.94,1.38008
6.96,1.37876
6.98,1.37758
7,1.37657
7.02,1.37564
7.04,1.37466
7.06,1.37337
7.08,1.37167
7.1,1.3698
7.12,1.36787
7.14,1.36593
7.16,1.36418
7.18,1.36279
7.2,1.36177
7.22,1.36104
7.24,1.36067
7.26,1.36066
7.28,1.3609
7.3,1.36139
7.32,1.3621
7.34,1.36297
7.36,1.36399
7.38,1.36486
7.4,1.36537
7.42,1.36564
7.44,1.36576
7.46,1.36575
7.48,1.3655
7.5,1.36499
7.52,1.36431
7.54,1.36336
7.56,1.36198
7.58,1.35992
7.6,1.35703
7.62,1.35365
7.64,1.35005
7.66,1.34632
7.68,1.34255
7.7,1.3389
7.72,1.33556
7.74,1.3327
7.76,1.3305
7.78,1.32904
7.8,1.32829
7.82,1.32808
7.84,1.32823
7.86,1.32868
7.88,1.32938
7.9,1.33035
7.92,1.3316
7.94,1.33312
7.96,1.33474
7.98,1.3361
8,1.337
8.02,1.33746
8.04,1.3377
8.06,1.33789
8.08,1.33804
8.1,1.33797
8.12,1.33762
8.14,1.33703
8.16,1.33634
8.18,1.3357
8.2,1.33517
8.22,1.33475
8.24,1.33445
8.26,1.33411
8.28,1.33368
8.3,1.33308
8.32,1.33226
8.34,1.33114
8.36,1.32994
8.38,1.32888
8.4,1.32814
8.42,1.32785
8.44,1.32807
8.46,1.3288
8.48,1.32998
8.5,1.33155
8.52,1.33352
8.54,1.33585
8.56,1.33839
8.58,1.34084
8.6,1.34278
8.62,1.34409
8.64,1.34481
8.66,1.34496
8.68,1.34442
8.7,1.34323
8.72,1.34148
8.74,1.33932
8.76,1.33689
8.78,1.33427
8.8,1.3316
8.82,1.32903
8.84,1.32678
8.86,1.32485
8.88,1.32319
8.9,1.32175
8.92,1.32047
8.94,1.31936
8.96,1.31849
8.98,1.31795
9,1.31772
9.02,1.31784
9.04,1.31845
9.06,1.31965
9.08,1.32146
9.1,1.32376
9.12,1.32624
9.14,1.32864
9.16,1.33074
9.18,1.33236
9.2,1.33346
9.22,1.33406
9.24,1.33419
9.26,1.3338
9.28,1.33266
9.3,1.33082
9.32,1.3286
9.34,1.32626
9.36,1.32408
9.38,1.32222
9.4,1.32088
9.42,1.32009
9.44,1.31977
9.46,1.31973
9.48,1.31979
9.5,1.31987
9.52,1.32007
9.54,1.32046
9.56,1.32093
9.58,1.32104
9.6,1.32078
9.62,1.3204
9.64,1.32012
9.66,1.32013
9.68,1.32032
9.7,1.32064
9.72,1.32114
9.74,1.32193
9.76,1.32296
9.78,1.32412
9.8,1.32537
9.82,1.32666
9.84,1.32798
9.86,1.32924
9.88,1.33017
9.9,1.3306
9.92,1.33051
9.94,1.33016
9.96,1.32978
9.98,1.32944
10,1.32938
