date [s],Average:Translational X-Velocity (Study 01 - Cube <01>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <02>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <03>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <04>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <05>) [m/s]
0.65,8.25094e-09,1.09671e-07,3.66667e-08,-3.86609e-08,-4.05619e-08
0.66,6.27074e-09,1.42016e-07,-2.04395e-09,-4.46168e-08,-9.1481e-09
0.67,4.40353e-08,2.53124e-08,4.43571e-08,-4.82302e-08,-4.43217e-09
0.68,2.44926e-08,8.05362e-08,1.03218e-09,-4.85889e-09,6.18386e-08
0.69,3.92902e-08,4.21695e-08,-4.68829e-08,1.89193e-08,-1.99601e-08
0.7,4.13611e-08,1.12445e-07,-7.78921e-08,3.84631e-08,-3.87406e-08
0.71,-2.1816e-07,-9.68855e-08,-6.41175e-08,-4.02923e-08,-5.64513e-08
0.72,2.0722e-07,8.11129e-08,6.193e-08,7.40297e-10,-5.91361e-08
0.73,4.59017e-08,1.67072e-07,1.74258e-07,-3.29276e-08,-1.4587e-07
0.74,8.85295e-08,1.48177e-07,2.66091e-08,-9.41802e-08,-1.27438e-07
0.75,6.97795e-08,1.81164e-07,2.66015e-08,-4.09306e-08,-5.76939e-08
0.76,1.05355e-07,1.70809e-07,-1.17922e-07,-1.17002e-07,-8.76892e-08
0.77,1.33332e-07,1.43462e-07,-1.19467e-07,-1.20661e-07,-4.94805e-08
0.78,9.92551e-08,1.5919e-07,-1.24118e-08,-2.5961e-08,-2.3264e-09
0.79,1.66102e-07,2.19224e-07,1.97886e-09,-4.88258e-08,-5.24502e-08
0.8,8.9689e-08,1.89442e-07,1.29825e-09,-8.09388e-08,-6.33532e-08
0.81,1.85331e-07,2.87863e-07,4.74551e-08,-1.62409e-08,-2.26745e-08
0.82,1.54049e-07,5.93113e-07,9.94415e-08,-9.22834e-08,-6.99037e-08
0.83,1.3545e-07,4.68759e-07,1.04441e-07,-1.38963e-07,-6.71584e-08
