Time , meanZ
1.99939e-002 , 7.90108e-002
3.99878e-002 , 7.90108e-002
5.99817e-002 , 7.90108e-002
7.99756e-002 , 7.90109e-002
9.99694e-002 , 7.90109e-002
1.19963e-001 , 7.90110e-002
1.39957e-001 , 7.90110e-002
1.59951e-001 , 7.90110e-002
1.79945e-001 , 7.90111e-002
1.99939e-001 , 7.90112e-002
2.19933e-001 , 7.90114e-002
2.39927e-001 , 7.90118e-002
2.59921e-001 , 7.90118e-002
2.79914e-001 , 7.90119e-002
2.99908e-001 , 7.90120e-002
3.19902e-001 , 7.90121e-002
3.39896e-001 , 7.90123e-002
3.59890e-001 , 7.90125e-002
3.79884e-001 , 7.90129e-002
3.99878e-001 , 7.90138e-002
4.19872e-001 , 7.90145e-002
4.39866e-001 , 7.90154e-002
4.59859e-001 , 7.90163e-002
4.79853e-001 , 7.90180e-002
4.99847e-001 , 7.90198e-002
5.19841e-001 , 7.90225e-002
5.39835e-001 , 7.90249e-002
5.59829e-001 , 7.90316e-002
5.79823e-001 , 7.90665e-002
5.99817e-001 , 7.92295e-002
6.19811e-001 , 7.96765e-002
6.39804e-001 , 8.04662e-002
6.59798e-001 , 8.15953e-002
6.79792e-001 , 8.31133e-002
6.99786e-001 , 8.49559e-002
7.19780e-001 , 8.71879e-002
7.39774e-001 , 8.96455e-002
7.59768e-001 , 9.21762e-002
7.79762e-001 , 9.47143e-002
7.99756e-001 , 9.75341e-002
8.19749e-001 , 1.00525e-001
8.39743e-001 , 1.03470e-001
8.59737e-001 , 1.06968e-001
8.79731e-001 , 1.10652e-001
8.99725e-001 , 1.14574e-001
9.19719e-001 , 1.18703e-001
9.39713e-001 , 1.22934e-001
9.59707e-001 , 1.27388e-001
9.79701e-001 , 1.31344e-001
9.99694e-001 , 1.34999e-001
1.01969e+000 , 1.38307e-001
1.03968e+000 , 1.41617e-001
1.05968e+000 , 1.44985e-001
1.07967e+000 , 1.48154e-001
1.09966e+000 , 1.51242e-001
1.11966e+000 , 1.54573e-001
1.13965e+000 , 1.58294e-001
1.15965e+000 , 1.62298e-001
1.17964e+000 , 1.66279e-001
1.19963e+000 , 1.70449e-001
1.21963e+000 , 1.74673e-001
1.23962e+000 , 1.78341e-001
1.25961e+000 , 1.80752e-001
1.27961e+000 , 1.82244e-001
1.29960e+000 , 1.82067e-001
1.31960e+000 , 1.79910e-001
1.33959e+000 , 1.75619e-001
1.35958e+000 , 1.70270e-001
