Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.24,0.133404,0.129275,0.127829,0.131696,0.131857
1.26,0.13005,0.119526,0.116094,0.119462,0.126805
1.28,0.102154,0.081219,0.0851356,0.0845394,0.0974862
1.3,0.0419445,0.0267499,0.023192,0.0311144,0.0458757
1.32,-0.0326632,-0.0688638,-0.089394,-0.0729978,-0.03378
1.34,-0.0933515,-0.157657,-0.165286,-0.164707,-0.0865226
1.36,-0.108744,-0.176003,-0.174801,-0.175946,-0.106167
1.38,-0.0995024,-0.132715,-0.143877,-0.142932,-0.115488
1.4,-0.0735031,-0.0913267,-0.0654746,-0.0866979,-0.0820162
1.42,-0.0416299,-0.0486227,0.00632619,-0.018383,-0.0424304
1.44,0.000942235,0.0265349,0.0801091,0.0331155,0.00230512
1.46,0.0250947,0.0916262,0.155379,0.095183,0.0179416
1.48,0.0356151,0.128536,0.196945,0.134581,0.0326674
1.5,0.0389683,0.152782,0.243389,0.154998,0.0392136
1.52,0.0393214,0.163509,0.263131,0.166827,0.0374097
1.54,0.036995,0.154223,0.257809,0.168036,0.0350496
1.56,0.0239869,0.132823,0.234796,0.138855,0.0185967
1.58,0.00186376,0.0897694,0.133842,0.0870246,-0.00578666
1.6,-0.021848,-0.00376253,-0.0717438,-0.0085701,-0.0349476
1.62,-0.0590065,-0.112147,-0.208455,-0.113893,-0.0837465
1.64,-0.104899,-0.131064,-0.234781,-0.137898,-0.109497
1.66,-0.115597,-0.0832162,0.137865,-0.0446375,-0.117747
1.68,-0.1077,-0.029602,0.377466,0.0808695,-0.105534
1.7,-0.0861699,0.0505477,0.501628,0.171816,-0.0752732
1.72,-0.101519,0.102314,0.643501,0.224244,-0.110663
1.74,-0.163937,0.0722508,0.540602,0.145557,-0.183326
1.76,-0.255513,-0.0739932,0.232888,-0.0337706,-0.27584
1.78,-0.367565,-0.210044,0.094744,-0.18809,-0.378785
1.8,-0.458734,-0.317118,0.0369739,-0.307442,-0.427761
1.82,-0.42792,-0.327903,0.091704,-0.242114,-0.388931
1.84,-0.309244,-0.0820239,0.472544,-0.0215537,-0.300457
1.86,-0.205496,0.0567394,0.560237,0.109719,-0.163794
1.88,-0.092798,0.13693,0.571002,0.185232,-0.0566374
1.9,-0.0192814,0.200364,0.603945,0.253062,0.0115619
1.92,0.0437762,0.252214,0.62658,0.292839,0.0578375
1.94,0.0827471,0.309417,0.616593,0.331893,0.09147
1.96,0.142359,0.353018,0.601967,0.367575,0.13871
1.98,0.197702,0.376645,0.531225,0.367911,0.180564
2,0.17625,0.305535,0.344556,0.284543,0.161611
2.02,0.088972,0.1583,0.134541,0.12987,0.0735149
2.04,-0.035547,0.0107306,-0.0455854,-0.0325371,-0.0499369
2.06,-0.178235,-0.130168,-0.182887,-0.170663,-0.182711
2.08,-0.307838,-0.259505,-0.307011,-0.298787,-0.300704
2.1,-0.421146,-0.377389,-0.402824,-0.415719,-0.416857
2.12,-0.532297,-0.480274,-0.497948,-0.521111,-0.525621
2.14,-0.631565,-0.580532,-0.596853,-0.561383,-0.624045
2.16,-0.649013,-0.534758,-0.590472,-0.452584,-0.607546
2.18,-0.563429,-0.352447,-0.570338,-0.336625,-0.538249
2.2,-0.515022,-0.283927,-0.428668,-0.306189,-0.501005
2.22,-0.557571,-0.302793,-0.363534,-0.286962,-0.512299
2.24,-0.57595,-0.325168,-0.307088,-0.274312,-0.574168
2.26,-0.556799,-0.206866,-0.162116,-0.178635,-0.534495
2.28,-0.432175,0.067637,0.243824,0.0698274,-0.437855
2.3,-0.265635,0.234004,0.465848,0.241755,-0.302158
2.32,-0.188075,0.303981,0.609492,0.345098,-0.177493
2.34,-0.124244,0.382784,0.711198,0.404534,-0.111175
2.36,-0.0788016,0.420725,0.768655,0.449907,-0.0761632
2.38,-0.0755252,0.420768,0.76797,0.47613,-0.0631974
2.4,-0.127766,0.362958,0.672897,0.441231,-0.0921232
2.42,-0.203047,0.235053,0.469604,0.294136,-0.178606
2.44,-0.323196,0.0765538,0.251795,0.132828,-0.313233
