Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0145,575.433,0.00467687,0.0224411
0.0146,575.686,0.00467463,0.0224555
0.0147,575.936,0.00467238,0.0224695
0.0148,576.186,0.00467013,0.022483
0.0149,576.433,0.00466788,0.0224961
0.015,576.679,0.00466563,0.0225088
0.0151,576.923,0.00466338,0.0225212
0.0152,577.165,0.00466113,0.0225331
0.0153,577.406,0.00465888,0.0225447
0.0154,577.645,0.00465662,0.022556
0.0155,577.883,0.00465436,0.0225669
0.0156,578.118,0.00465211,0.0225775
0.0157,578.353,0.00464985,0.0225877
0.0158,578.585,0.00464759,0.0225977
0.0159,578.816,0.00464533,0.0226073
0.016,579.046,0.00464307,0.0226167
0.0161,579.274,0.0046408,0.0226257
0.0162,579.5,0.00463854,0.0226345
0.0163,579.725,0.00463628,0.022643
0.0164,579.949,0.00463401,0.0226513
0.0165,580.171,0.00463175,0.0226593
0.0166,580.391,0.00462948,0.0226671
0.0167,580.61,0.00462721,0.0226746
0.0168,580.828,0.00462495,0.0226819
0.0169,581.044,0.00462268,0.022689
0.017,581.258,0.00462041,0.0226959
0.0171,581.472,0.00461814,0.0227025
0.0172,581.683,0.00461587,0.022709
0.0173,581.894,0.0046136,0.0227152
0.0174,582.103,0.00461132,0.0227213
0.0175,582.31,0.00460905,0.0227272
0.0176,582.517,0.00460678,0.0227329
0.0177,582.722,0.00460451,0.0227384
0.0178,582.925,0.00460223,0.0227438
0.0179,583.127,0.00459996,0.022749
0.018,583.328,0.00459768,0.022754
0.0181,583.528,0.00459541,0.0227589
0.0182,583.726,0.00459313,0.0227637
0.0183,583.923,0.00459085,0.0227683
0.0184,584.118,0.00458858,0.0227727
0.0185,584.313,0.0045863,0.022777
0.0186,584.506,0.00458402,0.0227812
0.0187,584.698,0.00458174,0.0227853
0.0188,584.888,0.00457947,0.0227892
0.0189,585.077,0.00457719,0.022793
0.019,585.266,0.00457491,0.0227967
0.0191,585.452,0.00457263,0.0228003
0.0192,585.638,0.00457035,0.0228038
0.0193,585.822,0.00456807,0.0228072
0.0194,586.005,0.00456579,0.0228105
0.0195,586.188,0.0045635,0.0228136
0.0196,586.368,0.00456122,0.0228167
0.0197,586.548,0.00455894,0.0228197
0.0198,586.726,0.00455666,0.0228226
0.0199,586.904,0.00455438,0.0228254
0.02,587.08,0.00455209,0.0228281
0.0201,587.255,0.00454981,0.0228307
0.0202,587.429,0.00454753,0.0228333
0.0203,587.602,0.00454524,0.0228358
0.0204,587.773,0.00454296,0.0228382
0.0205,587.944,0.00454068,0.0228405
0.0206,588.113,0.00453839,0.0228427
0.0207,588.282,0.00453611,0.0228449
0.0208,588.449,0.00453382,0.022847
0.0209,588.615,0.00453154,0.0228491
0.021,588.78,0.00452925,0.0228511
0.0211,588.944,0.00452697,0.022853
0.0212,589.107,0.00452468,0.0228549
0.0213,589.269,0.0045224,0.0228567
0.0214,589.43,0.00452011,0.0228585
0.0215,589.59,0.00451782,0.0228602
0.0216,589.748,0.00451554,0.0228619
0.0217,589.906,0.00451325,0.0228635
0.0218,590.063,0.00451097,0.022865
0.0219,590.219,0.00450868,0.0228665
0.022,590.373,0.00450639,0.022868
0.0221,590.527,0.00450411,0.0228694
0.0222,590.68,0.00450182,0.0228708
0.0223,590.832,0.00449953,0.0228721
0.0224,590.982,0.00449724,0.0228734
0.0225,591.132,0.00449496,0.0228746
0.0226,591.281,0.00449267,0.0228758
0.0227,591.429,0.00449038,0.022877
0.0228,591.576,0.00448809,0.0228781
0.0229,591.722,0.00448581,0.0228792
0.023,591.867,0.00448352,0.0228803
0.0231,592.011,0.00448123,0.0228813
0.0232,592.155,0.00447894,0.0228823
0.0233,592.297,0.00447665,0.0228833
0.0234,592.438,0.00447437,0.0228842
0.0235,592.579,0.00447208,0.0228851
0.0236,592.718,0.00446979,0.022886
0.0237,592.857,0.0044675,0.0228869
0.0238,592.995,0.00446521,0.0228877
0.0239,593.132,0.00446292,0.0228885
0.024,593.268,0.00446063,0.0228893
0.0241,593.403,0.00445834,0.02289
0.0242,593.537,0.00445605,0.0228908
0.0243,593.671,0.00445377,0.0228915
0.0244,593.803,0.00445148,0.0228922
0.0245,593.935,0.00444919,0.0228928
0.0246,594.066,0.0044469,0.0228935
0.0247,594.196,0.00444461,0.0228941
0.0248,594.325,0.00444232,0.0228947
0.0249,594.454,0.00444003,0.0228953
0.025,594.581,0.00443774,0.0228959
0.0251,594.708,0.00443545,0.0228965
0.0252,594.834,0.00443316,0.022897
0.0253,594.959,0.00443087,0.0228975
0.0254,595.084,0.00442858,0.022898
0.0255,595.207,0.00442629,0.0228985
0.0256,595.33,0.004424,0.022899
0.0257,595.452,0.00442171,0.0228994
0.0258,595.573,0.00441942,0.0228999
0.0259,595.694,0.00441713,0.0229003
0.026,595.814,0.00441484,0.0229007
0.0261,595.933,0.00441255,0.0229011
0.0262,596.051,0.00441026,0.0229015
0.0263,596.168,0.00440797,0.0229019
0.0264,596.285,0.00440568,0.0229023
0.0265,596.401,0.00440339,0.0229027
0.0266,596.516,0.0044011,0.022903
0.0267,596.63,0.00439881,0.0229033
0.0268,596.744,0.00439652,0.0229037
0.0269,596.857,0.00439423,0.022904
0.027,596.969,0.00439194,0.0229043
0.0271,597.081,0.00438965,0.0229046
0.0272,597.192,0.00438736,0.0229049
0.0273,597.302,0.00438507,0.0229052
0.0274,597.411,0.00438278,0.0229054
0.0275,597.52,0.00438049,0.0229057
0.0276,597.628,0.0043782,0.022906
0.0277,597.736,0.00437591,0.0229062
0.0278,597.842,0.00437362,0.0229064
0.0279,597.948,0.00437132,0.0229067
0.028,598.054,0.00436903,0.0229069
0.0281,598.158,0.00436674,0.0229071
0.0282,598.262,0.00436445,0.0229073
0.0283,598.366,0.00436216,0.0229075
0.0284,598.468,0.00435987,0.0229077
