Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0014;475.33;0.00489642;2.41E-05
0.0015;474.143;0.0048964;0.000559687
0.0016;472.835;0.00489631;0.00113259
0.0017;471.458;0.00489617;0.00169399
0.0018;470.028;0.00489597;0.00224467
0.0019;468.558;0.00489572;0.00278416
0.002;467.056;0.00489542;0.00331208
0.0021;465.525;0.00489506;0.00382926
0.0022;463.972;0.00489465;0.00433534
0.0023;462.401;0.00489419;0.00483003
0.0024;460.814;0.00489368;0.00531417
0.0025;459.214;0.00489313;0.00578746
0.0026;457.605;0.00489253;0.00624968
0.0027;455.986;0.00489188;0.00670165
0.0028;454.362;0.00489119;0.00714313
0.0029;452.733;0.00489045;0.00757426
0.003;451.103;0.00488967;0.00799488
0.0031;449.47;0.00488885;0.00840576
0.0032;447.837;0.00488799;0.00880674
0.0033;446.207;0.00488709;0.00919767
0.0034;444.578;0.00488615;0.00957931
0.0035;442.952;0.00488518;0.00995152
0.0036;441.331;0.00488416;0.0103142
0.0037;439.715;0.00488311;0.0106681
0.0038;438.104;0.00488203;0.011013
0.0039;436.502;0.00488091;0.0113489
0.004;434.905;0.00487976;0.0116764
0.0041;433.316;0.00487858;0.0119956
0.0042;431.738;0.00487736;0.0123062
0.0043;430.167;0.00487612;0.0126091
0.0044;428.605;0.00487484;0.0129039
0.0045;427.054;0.00487353;0.0131911
0.0046;425.514;0.0048722;0.0134704
0.0047;423.983;0.00487084;0.0137425
0.0048;422.464;0.00486945;0.0140074
0.0049;420.958;0.00486804;0.014265
0.005;419.462;0.0048666;0.0145159
0.0051;417.978;0.00486514;0.0147599
0.0052;416.507;0.00486365;0.0149972
0.0053;415.048;0.00486214;0.0152282
0.0054;413.601;0.0048606;0.0154529
0.0055;412.168;0.00485905;0.0156713
0.0056;410.747;0.00485747;0.0158838
0.0057;409.34;0.00485587;0.0160905
0.0058;407.945;0.00485425;0.0162914
0.0059;406.565;0.00485261;0.0164866
0.006;405.197;0.00485095;0.0166765
0.0061;403.843;0.00484928;0.0168612
0.0062;402.503;0.00484758;0.0170405
0.0063;401.176;0.00484587;0.0172149
0.0064;399.863;0.00484414;0.0173844
0.0065;398.564;0.00484239;0.017549
0.0066;397.278;0.00484063;0.017709
0.0067;396.006;0.00483885;0.0178645
0.0068;394.749;0.00483706;0.0180155
0.0069;393.504;0.00483525;0.0181623
0.007;392.273;0.00483342;0.0183049
0.0071;391.056;0.00483159;0.0184434
0.0072;389.853;0.00482974;0.0185779
0.0073;388.663;0.00482787;0.0187086
0.0074;387.486;0.00482599;0.0188355
0.0075;386.324;0.00482411;0.0189587
0.0076;385.174;0.0048222;0.0190784
0.0077;384.038;0.00482029;0.0191946
0.0078;382.916;0.00481836;0.0193074
0.0079;381.806;0.00481643;0.0194171
0.008;380.709;0.00481448;0.0195235
0.0081;379.627;0.00481252;0.0196267
0.0082;378.556;0.00481056;0.0197271
0.0083;377.499;0.00480858;0.0198245
0.0084;376.455;0.00480659;0.0199189
0.0085;375.423;0.00480459;0.0200107
0.0086;374.404;0.00480259;0.0200998
0.0087;373.397;0.00480057;0.0201863
0.0088;372.404;0.00479855;0.0202702
0.0089;371.422;0.00479652;0.0203517
0.009;370.452;0.00479448;0.0204307
0.0091;369.495;0.00479243;0.0205074
0.0092;368.55;0.00479038;0.0205819
0.0093;367.616;0.00478832;0.0206542
0.0094;366.695;0.00478625;0.0207243
0.0095;365.785;0.00478417;0.0207924
0.0096;364.887;0.00478209;0.0208585
0.0097;364.001;0.00478;0.0209225
0.0098;363.125;0.00477791;0.0209847
