Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0014;476.951;0.00489642;2.40E-05
0.0015;475.813;0.0048964;0.000559786
0.0016;474.566;0.00489631;0.00113267
0.0017;473.258;0.00489617;0.00169406
0.0018;471.902;0.00489597;0.00224472
0.0019;470.51;0.00489572;0.00278421
0.002;469.09;0.00489542;0.00331212
0.0021;467.645;0.00489506;0.00382929
0.0022;466.18;0.00489465;0.00433537
0.0023;464.7;0.00489419;0.00483005
0.0024;463.205;0.00489368;0.00531418
0.0025;461.699;0.00489313;0.00578747
0.0026;460.185;0.00489253;0.00624968
0.0027;458.663;0.00489188;0.00670164
0.0028;457.135;0.00489119;0.00714312
0.0029;455.604;0.00489045;0.00757425
0.003;454.072;0.00488967;0.00799486
0.0031;452.537;0.00488885;0.00840574
0.0032;451.003;0.00488799;0.00880671
0.0033;449.471;0.00488709;0.00919764
0.0034;447.939;0.00488615;0.00957928
0.0035;446.411;0.00488518;0.00995149
0.0036;444.887;0.00488416;0.0103142
0.0037;443.366;0.00488311;0.010668
0.0038;441.851;0.00488203;0.0110129
0.0039;440.343;0.00488091;0.0113488
0.004;438.839;0.00487976;0.0116764
0.0041;437.343;0.00487858;0.0119955
0.0042;435.855;0.00487736;0.0123062
0.0043;434.374;0.00487612;0.012609
0.0044;432.901;0.00487484;0.0129039
0.0045;431.436;0.00487353;0.013191
0.0046;429.982;0.0048722;0.0134704
0.0047;428.536;0.00487084;0.0137425
0.0048;427.099;0.00486945;0.0140074
0.0049;425.673;0.00486804;0.0142649
0.005;424.257;0.0048666;0.0145158
0.0051;422.851;0.00486514;0.0147599
0.0052;421.456;0.00486365;0.0149971
0.0053;420.071;0.00486214;0.0152281
0.0054;418.697;0.0048606;0.0154528
0.0055;417.335;0.00485905;0.0156712
0.0056;415.983;0.00485747;0.0158837
0.0057;414.643;0.00485587;0.0160904
0.0058;413.314;0.00485425;0.0162913
0.0059;411.998;0.00485261;0.0164865
0.006;410.692;0.00485095;0.0166764
0.0061;409.398;0.00484928;0.0168611
0.0062;408.117;0.00484758;0.0170404
0.0063;406.846;0.00484587;0.0172148
0.0064;405.588;0.00484414;0.0173843
0.0065;404.342;0.00484239;0.0175488
0.0066;403.107;0.00484063;0.0177089
0.0067;401.885;0.00483885;0.0178644
0.0068;400.675;0.00483706;0.0180154
0.0069;399.476;0.00483525;0.0181622
0.007;398.289;0.00483342;0.0183048
0.0071;397.114;0.00483159;0.0184433
0.0072;395.952;0.00482974;0.0185778
0.0073;394.801;0.00482787;0.0187084
0.0074;393.662;0.00482599;0.0188354
0.0075;392.535;0.00482411;0.0189585
0.0076;391.42;0.0048222;0.0190783
0.0077;390.316;0.00482029;0.0191945
0.0078;389.224;0.00481836;0.0193073
0.0079;388.144;0.00481643;0.0194169
0.008;387.075;0.00481448;0.0195234
0.0081;386.019;0.00481252;0.0196266
0.0082;384.973;0.00481056;0.0197269
0.0083;383.938;0.00480858;0.0198243
0.0084;382.916;0.00480659;0.0199188
0.0085;381.904;0.00480459;0.0200106
0.0086;380.904;0.00480259;0.0200997
0.0087;379.914;0.00480057;0.0201862
0.0088;378.937;0.00479855;0.02027
0.0089;377.969;0.00479652;0.0203515
0.009;377.013;0.00479448;0.0204306
0.0091;376.068;0.00479244;0.0205073
0.0092;375.133;0.00479038;0.0205818
0.0093;374.209;0.00478832;0.0206541
0.0094;373.296;0.00478625;0.0207242
0.0095;372.393;0.00478417;0.0207922
0.0096;371.5;0.00478209;0.0208583
0.0097;370.618;0.00478;0.0209224
0.0098;369.746;0.00477791;0.0209846
0.0099;368.884;0.0047758;0.0210449
0.01;368.032;0.0047737;0.0211035
0.0101;367.19;0.00477158;0.0211603
0.0102;366.358;0.00476947;0.0212154
0.0103;365.536;0.00476734;0.0212689
0.0104;364.723;0.00476521;0.0213208
0.0105;363.92;0.00476308;0.0213712
0.0106;363.127;0.00476094;0.02142
0.0107;362.343;0.00475879;0.0214674
0.0108;361.568;0.00475664;0.0215134
0.0109;360.802;0.00475449;0.021558
0.011;360.046;0.00475233;0.0216012
0.0111;359.299;0.00475017;0.0216432
0.0112;358.56;0.004748;0.0216839
0.0113;357.828;0.00474584;0.0215623
0.0114;357.108;0.00474368;0.0217346
0.0115;356.396;0.0047415;0.0217907
0.0116;355.692;0.00473932;0.0218271
0.0117;354.997;0.00473714;0.0218624
0.0118;354.311;0.00473495;0.0218966
0.0119;353.632;0.00473276;0.0219297
0.012;352.963;0.00473056;0.0219618
0.0121;352.301;0.00472836;0.021993
0.0122;351.647;0.00472616;0.0220231
0.0123;351.001;0.00472396;0.0220524
0.0124;350.363;0.00472175;0.0220808
0.0125;349.732;0.00471954;0.0221083
0.0126;349.11;0.00471733;0.022135
0.0127;348.495;0.00471512;0.0221609
0.0128;347.887;0.0047129;0.0221861
0.0129;347.287;0.00471068;0.0222104
0.013;346.695;0.00470846;0.022234
0.0131;346.11;0.00470623;0.022257
0.0132;345.531;0.004704;0.0222792
0.0133;344.96;0.00470178;0.0223007
0.0134;344.396;0.00469954;0.0223217
0.0135;343.839;0.00469731;0.0223419
0.0136;343.289;0.00469508;0.0223616
0.0137;342.746;0.00469284;0.0223807
0.0138;342.209;0.0046906;0.0223992
0.0139;341.679;0.00468836;0.0224171
0.014;341.155;0.00468612;0.0224345
