Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0172;371.002;0.00461587;0.022709
0.0173;370.553;0.0046136;0.0227152
0.0174;370.106;0.00461132;0.0227213
0.0175;369.662;0.00460905;0.0227272
0.0176;369.221;0.00460678;0.0227329
0.0177;368.783;0.00460451;0.0227384
0.0178;368.348;0.00460223;0.0227438
0.0179;367.915;0.00459996;0.022749
0.018;367.485;0.00459768;0.022754
0.0181;367.057;0.00459541;0.0227589
0.0182;366.633;0.00459313;0.0227637
0.0183;366.211;0.00459085;0.0227683
0.0184;365.791;0.00458858;0.0227727
0.0185;365.375;0.0045863;0.022777
0.0186;364.961;0.00458402;0.0227812
0.0187;364.549;0.00458174;0.0227853
0.0188;364.141;0.00457947;0.0227892
0.0189;363.734;0.00457719;0.022793
0.019;363.33;0.00457491;0.0227967
0.0191;362.93;0.00457263;0.0228003
0.0192;362.531;0.00457035;0.0228038
0.0193;362.135;0.00456807;0.0228072
0.0194;361.741;0.00456579;0.0228105
0.0195;361.35;0.0045635;0.0228136
0.0196;360.961;0.00456122;0.0228167
0.0197;360.575;0.00455894;0.0228197
0.0198;360.192;0.00455666;0.0228226
0.0199;359.81;0.00455438;0.0228254
0.02;359.431;0.00455209;0.0228281
0.0201;359.055;0.00454981;0.0228307
0.0202;358.681;0.00454753;0.0228333
0.0203;358.309;0.00454524;0.0228358
0.0204;357.94;0.00454296;0.0228382
0.0205;357.573;0.00454068;0.0228405
0.0206;357.208;0.00453839;0.0228427
0.0207;356.845;0.00453611;0.0228449
0.0208;356.485;0.00453382;0.022847
0.0209;356.127;0.00453154;0.0228491
0.021;355.772;0.00452925;0.0228511
0.0211;355.418;0.00452697;0.022853
0.0212;355.067;0.00452468;0.0228549
0.0213;354.718;0.0045224;0.0228567
0.0214;354.372;0.00452011;0.0228585
0.0215;354.027;0.00451782;0.0228602
0.0216;353.685;0.00451554;0.0228619
0.0217;353.345;0.00451325;0.0228635
0.0218;353.007;0.00451097;0.022865
0.0219;352.671;0.00450868;0.0228665
0.022;352.337;0.00450639;0.022868
0.0221;352.006;0.00450411;0.0228694
0.0222;351.676;0.00450182;0.0228708
0.0223;351.349;0.00449953;0.0228721
0.0224;351.023;0.00449724;0.0228734
0.0225;350.7;0.00449496;0.0228746
0.0226;350.378;0.00449267;0.0228758
0.0227;350.059;0.00449038;0.022877
0.0228;349.742;0.00448809;0.0228781
0.0229;349.427;0.00448581;0.0228792
0.023;349.114;0.00448352;0.0228803
0.0231;348.802;0.00448123;0.0228813
0.0232;348.493;0.00447894;0.0228823
0.0233;348.186;0.00447665;0.0228833
0.0234;347.881;0.00447437;0.0228842
0.0235;347.577;0.00447208;0.0228851
0.0236;347.276;0.00446979;0.022886
0.0237;346.976;0.0044675;0.0228869
0.0238;346.678;0.00446521;0.0228877
0.0239;346.382;0.00446292;0.0228885
0.024;346.089;0.00446063;0.0228893
0.0241;345.797;0.00445834;0.02289
0.0242;345.506;0.00445605;0.0228908
0.0243;345.218;0.00445377;0.0228915
0.0244;344.931;0.00445148;0.0228922
0.0245;344.647;0.00444919;0.0228928
0.0246;344.364;0.0044469;0.0228935
0.0247;344.083;0.00444461;0.0228941
0.0248;343.803;0.00444232;0.0228947
0.0249;343.526;0.00444003;0.0228953
0.025;343.25;0.00443774;0.0228959
0.0251;342.976;0.00443545;0.0228965
0.0252;342.703;0.00443316;0.022897
0.0253;342.433;0.00443087;0.0228975
0.0254;342.164;0.00442858;0.022898
0.0255;341.897;0.00442629;0.0228985
0.0256;341.631;0.004424;0.022899
0.0257;341.367;0.00442171;0.0228994
0.0258;341.105;0.00441942;0.0228999
0.0259;340.845;0.00441713;0.0229003
0.026;340.586;0.00441484;0.0229007
0.0261;340.328;0.00441255;0.0229011
0.0262;340.073;0.00441026;0.0229015
0.0263;339.819;0.00440797;0.0229019
0.0264;339.567;0.00440568;0.0229023
0.0265;339.316;0.00440339;0.0229027
0.0266;339.067;0.0044011;0.022903
0.0267;338.819;0.00439881;0.0229033
0.0268;338.573;0.00439652;0.0229037
0.0269;338.329;0.00439423;0.022904
0.027;338.086;0.00439194;0.0229043
0.0271;337.844;0.00438965;0.0229046
0.0272;337.605;0.00438736;0.0229049
0.0273;337.366;0.00438507;0.0229052
0.0274;337.129;0.00438278;0.0229054
0.0275;336.894;0.00438049;0.0229057
0.0276;336.66;0.0043782;0.022906
0.0277;336.428;0.00437591;0.0229062
0.0278;336.197;0.00437362;0.0229064
0.0279;335.968;0.00437132;0.0229067
0.028;335.74;0.00436903;0.0229069
0.0281;335.513;0.00436674;0.0229071
0.0282;335.288;0.00436445;0.0229073
0.0283;335.064;0.00436216;0.0229075
