Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0172;321.91;0.00461575;0.022718
0.0173;321.6;0.00461348;0.0227242
0.0174;321.294;0.0046112;0.0227303
0.0175;320.992;0.00460893;0.0227362
0.0176;320.695;0.00460666;0.0227419
0.0177;320.402;0.00460438;0.0227474
0.0178;320.113;0.00460211;0.0227528
0.0179;319.828;0.00459983;0.022758
0.018;319.546;0.00459756;0.0227631
0.0181;319.27;0.00459528;0.0227679
0.0182;318.996;0.004593;0.0227727
0.0183;318.727;0.00459073;0.0227773
0.0184;318.462;0.00458845;0.0227817
0.0185;318.2;0.00458617;0.0227861
0.0186;317.942;0.00458389;0.0227903
0.0187;317.688;0.00458161;0.0227943
0.0188;317.437;0.00457933;0.0227983
0.0189;317.19;0.00457705;0.0228021
0.019;316.946;0.00457477;0.0228058
0.0191;316.706;0.00457249;0.0228094
0.0192;316.469;0.00457021;0.0228129
0.0193;316.235;0.00456793;0.0228162
0.0194;316.005;0.00456565;0.0228195
0.0195;315.778;0.00456336;0.0228227
0.0196;315.554;0.00456108;0.0228257
0.0197;315.333;0.0045588;0.0228287
0.0198;315.116;0.00455652;0.0228316
0.0199;314.902;0.00455423;0.0228344
0.02;314.69;0.00455195;0.0228371
0.0201;314.482;0.00454967;0.0228398
0.0202;314.276;0.00454738;0.0228423
0.0203;314.074;0.0045451;0.0228448
0.0204;313.874;0.00454281;0.0228472
0.0205;313.677;0.00454053;0.0228495
0.0206;313.483;0.00453824;0.0228518
0.0207;313.292;0.00453596;0.022854
0.0208;313.103;0.00453367;0.0228561
0.0209;312.918;0.00453139;0.0228582
0.021;312.734;0.0045291;0.0228602
0.0211;312.554;0.00452681;0.0228621
0.0212;312.375;0.00452453;0.022864
0.0213;312.2;0.00452224;0.0228658
0.0214;312.027;0.00451996;0.0228676
0.0215;311.856;0.00451767;0.0228693
0.0216;311.688;0.00451538;0.0228709
0.0217;311.522;0.00451309;0.0228725
0.0218;311.358;0.00451081;0.0228741
0.0219;311.197;0.00450852;0.0228756
0.022;311.038;0.00450623;0.0228771
0.0221;310.882;0.00450394;0.0228785
0.0222;310.727;0.00450166;0.0228799
0.0223;310.575;0.00449937;0.0228812
0.0224;310.425;0.00449708;0.0228825
0.0225;310.277;0.00449479;0.0228837
0.0226;310.131;0.0044925;0.0228849
0.0227;309.987;0.00449021;0.0228861
0.0228;309.845;0.00448793;0.0228872
0.0229;309.706;0.00448564;0.0228883
0.023;309.568;0.00448335;0.0228893
0.0231;309.432;0.00448106;0.0228904
0.0232;309.298;0.00447877;0.0228914
0.0233;309.166;0.00447648;0.0228923
0.0234;309.036;0.00447419;0.0228933
0.0235;308.908;0.0044719;0.0228942
0.0236;308.781;0.00446961;0.0228951
0.0237;308.657;0.00446732;0.0228959
0.0238;308.534;0.00446503;0.0228967
0.0239;308.413;0.00446274;0.0228975
0.024;308.293;0.00446045;0.0228983
0.0241;308.176;0.00445816;0.0228991
0.0242;308.059;0.00445587;0.0228998
0.0243;307.945;0.00445358;0.0229005
0.0244;307.832;0.00445129;0.0229012
0.0245;307.721;0.004449;0.0229019
0.0246;307.612;0.00444671;0.0229025
0.0247;307.503;0.00444442;0.0229031
0.0248;307.397;0.00444213;0.0229037
0.0249;307.292;0.00443984;0.0229043
0.025;307.188;0.00443755;0.0229049
0.0251;307.086;0.00443526;0.0229055
0.0252;306.986;0.00443297;0.022906
0.0253;306.887;0.00443068;0.0229065
0.0254;306.789;0.00442839;0.022907
0.0255;306.692;0.0044261;0.0229075
0.0256;306.597;0.00442381;0.022908
0.0257;306.504;0.00442152;0.0229084
0.0258;306.411;0.00441923;0.0229089
0.0259;306.32;0.00441694;0.0229093
0.026;306.231;0.00441464;0.0229097
0.0261;306.142;0.00441235;0.0229101
0.0262;306.055;0.00441006;0.0229105
0.0263;305.969;0.00440777;0.0229109
0.0264;305.884;0.00440548;0.0229113
0.0265;305.801;0.00440319;0.0229116
0.0266;305.718;0.0044009;0.022912
0.0267;305.637;0.00439861;0.0229123
0.0268;305.557;0.00439631;0.0229127
0.0269;305.478;0.00439402;0.022913
0.027;305.4;0.00439173;0.0229133
0.0271;305.324;0.00438944;0.0229136
0.0272;305.248;0.00438715;0.0229139
0.0273;305.174;0.00438486;0.0229141
0.0274;305.1;0.00438257;0.0229144
0.0275;305.028;0.00438028;0.0229147
0.0276;304.956;0.00437798;0.0229149
0.0277;304.886;0.00437569;0.0229152
0.0278;304.817;0.0043734;0.0229154
0.0279;304.748;0.00437111;0.0229157
0.028;304.681;0.00436882;0.0229159
0.0281;304.614;0.00436653;0.0229161
0.0282;304.549;0.00436424;0.0229163
0.0283;304.484;0.00436194;0.0229165
0.0284;304.42;0.00435965;0.0229167
0.0285;304.358;0.00435736;0.0229169
0.0286;304.296;0.00435507;0.0229171
0.0287;304.235;0.00435278;0.0229173
0.0288;304.175;0.00435049;0.0229175
0.0289;304.115;0.00434819;0.0229176
0.029;304.057;0.0043459;0.0229178
0.0291;303.999;0.00434361;0.022918
0.0292;303.943;0.00434132;0.0229181
0.0293;303.887;0.00433903;0.0229183
0.0294;303.831;0.00433673;0.0229184
0.0295;303.777;0.00433444;0.0229185
0.0296;303.723;0.00433215;0.0229187
0.0297;303.671;0.00432986;0.0229188
0.0298;303.618;0.00432757;0.0229189
0.0299;303.567;0.00432527;0.0229191
0.03;303.516;0.00432298;0.0229192
0.0301;303.466;0.00432069;0.0229193
0.0302;303.417;0.0043184;0.0229194
0.0303;303.369;0.00431611;0.0229195
0.0304;303.321;0.00431382;0.0229196
0.0305;303.274;0.00431152;0.0229197
0.0306;303.227;0.00430923;0.0229198
0.0307;303.181;0.00430694;0.0229199
0.0308;303.136;0.00430465;0.02292
0.0309;303.092;0.00430235;0.0229201
0.031;303.048;0.00430006;0.0229202
0.0311;303.005;0.00429777;0.0229203
0.0312;302.962;0.00429548;0.0229204
0.0313;302.92;0.00429319;0.0229205
0.0314;302.878;0.0042909;0.0229206
0.0315;302.837;0.0042886;0.0229206
0.0316;302.797;0.00428631;0.0229207
0.0317;302.757;0.00428402;0.0229208
0.0318;302.718;0.00428173;0.0229208
0.0319;302.68;0.00427943;0.0229209
0.032;302.642;0.00427714;0.022921
0.0321;302.604;0.00427485;0.022921
0.0322;302.567;0.00427256;0.0229211
0.0323;302.531;0.00427027;0.0229212
0.0324;302.495;0.00426797;0.0229212
0.0325;302.459;0.00426568;0.0229213
0.0326;302.424;0.00426339;0.0229213
0.0327;302.39;0.0042611;0.0229214
0.0328;302.356;0.00425881;0.0229214
0.0329;302.323;0.00425651;0.0229215
0.033;302.29;0.00425422;0.0229215
0.0331;302.257;0.00425193;0.0229216
0.0332;302.225;0.00424964;0.0229216
0.0333;302.193;0.00424735;0.0229216
0.0334;302.162;0.00424505;0.0229216
0.0335;302.132;0.00424276;0.0229216
0.0336;302.101;0.00424047;0.0229215
0.0337;302.071;0.00423818;0.0229215
0.0338;302.042;0.00423588;0.0229215
0.0339;302.013;0.00423359;0.0229215
0.034;301.984;0.0042313;0.0229215
0.0341;301.956;0.00422901;0.0229215
0.0342;301.928;0.00422671;0.0229215
0.0343;301.901;0.00422442;0.0229215
0.0344;301.874;0.00422213;0.0229214
0.0345;301.847;0.00421984;0.0229214
0.0346;301.821;0.00421755;0.0229214
0.0347;301.795;0.00421525;0.0229214
0.0348;301.77;0.00421296;0.0229214
0.0349;301.745;0.00421067;0.0229214
0.035;301.72;0.00420838;0.0229214
0.0351;301.696;0.00420609;0.0229214
0.0352;301.671;0.00420379;0.0229214
0.0353;301.648;0.0042015;0.0229214
0.0354;301.624;0.00419921;0.0229214
0.0355;301.601;0.00419692;0.0229213
0.0356;301.579;0.00419463;0.0229213
0.0357;301.556;0.00419233;0.0229213
0.0358;301.534;0.00419004;0.0229213
0.0359;301.512;0.00418775;0.0229213
0.036;301.491;0.00418546;0.0229213
0.0361;301.47;0.00418316;0.0229213
0.0362;301.449;0.00418087;0.0229213
0.0363;301.428;0.00417858;0.0229213
0.0364;301.408;0.00417629;0.0229213
0.0365;301.388;0.004174;0.0229213
0.0366;301.368;0.0041717;0.0229213
0.0367;301.349;0.00416941;0.0229213
0.0368;301.33;0.00416712;0.0229213
0.0369;301.311;0.00416483;0.0229213
0.037;301.292;0.00416254;0.0229213
0.0371;301.274;0.00416024;0.0229212
0.0372;301.256;0.00415795;0.0229212
0.0373;301.238;0.00415566;0.0229212
0.0374;301.22;0.00415337;0.0229212
0.0375;301.203;0.00415108;0.0229212
0.0376;301.186;0.00414878;0.0229212
0.0377;301.169;0.00414649;0.0229212
0.0378;301.152;0.0041442;0.0229212
0.0379;301.136;0.00414191;0.0229212
0.038;301.12;0.00413961;0.0229212
0.0381;301.104;0.00413732;0.0229212
0.0382;301.088;0.00413503;0.0229212
0.0383;301.073;0.00413274;0.0229212
0.0384;301.058;0.00413045;0.0229212
0.0385;301.043;0.00412815;0.0229212
0.0386;301.028;0.00412586;0.0229212
0.0387;301.013;0.00412357;0.0229212
0.0388;300.999;0.00412128;0.0229212
0.0389;300.985;0.00411899;0.0229212
0.039;300.971;0.00411669;0.0229212
0.0391;300.957;0.0041144;0.0229212
0.0392;300.943;0.00411211;0.0229212
0.0393;300.93;0.00410982;0.0229212
0.0394;300.917;0.00410752;0.0229212
0.0395;300.904;0.00410523;0.0229212
0.0396;300.891;0.00410294;0.0229212
0.0397;300.878;0.00410065;0.0229212
0.0398;300.866;0.00409836;0.0229212
0.0399;300.853;0.00409606;0.0229212
0.04;300.841;0.00409377;0.0229212
0.0401;300.829;0.00409148;0.0229212
0.0402;300.818;0.00408919;0.0229211
0.0403;300.806;0.0040869;0.0229211
0.0404;300.795;0.0040846;0.0229211
0.0405;300.783;0.00408231;0.0229211
0.0406;300.772;0.00408002;0.0229211
0.0407;300.761;0.00407773;0.0229211
0.0408;300.75;0.00407544;0.0229211
0.0409;300.74;0.00407314;0.0229211
0.041;300.729;0.00407085;0.0229211
0.0411;300.719;0.00406856;0.0229211
0.0412;300.709;0.00406627;0.0229211
0.0413;300.699;0.00406397;0.0229211
0.0414;300.689;0.00406168;0.0229211
0.0415;300.679;0.00405939;0.0229211
0.0416;300.669;0.0040571;0.0229211
0.0417;300.66;0.00405481;0.0229211
0.0418;300.65;0.00405251;0.0229211
0.0419;300.641;0.00405022;0.0229211
0.042;300.632;0.00404793;0.0229211
0.0421;300.623;0.00404564;0.0229211
0.0422;300.614;0.00404335;0.0229211
0.0423;300.605;0.00404105;0.0229211
0.0424;300.597;0.00403876;0.0229211
0.0425;300.588;0.00403647;0.0229211
0.0426;300.58;0.00403418;0.0229211
0.0427;300.572;0.00403189;0.0229211
0.0428;300.564;0.00402959;0.0229211
0.0429;300.556;0.0040273;0.0229211
0.043;300.548;0.00402501;0.0229211
0.0431;300.54;0.00402272;0.0229211
0.0432;300.532;0.00402042;0.0229211
0.0433;300.525;0.00401813;0.0229211
0.0434;300.517;0.00401584;0.0229211
0.0435;300.51;0.00401355;0.0229211
0.0436;300.503;0.00401126;0.0229211
0.0437;300.496;0.00400896;0.0229211
0.0438;300.489;0.00400667;0.0229211
0.0439;300.482;0.00400438;0.0229211
0.044;300.475;0.00400209;0.0229211
0.0441;300.468;0.0039998;0.0229211
0.0442;300.461;0.0039975;0.0229211
0.0443;300.455;0.00399521;0.0229211
0.0444;300.448;0.00399292;0.022921
0.0445;300.442;0.00399063;0.022921
0.0446;300.436;0.00398834;0.022921
0.0447;300.43;0.00398604;0.022921
0.0448;300.423;0.00398375;0.0229209
0.0449;300.417;0.00398146;0.0229209
0.045;300.412;0.00397917;0.0229209
0.0451;300.406;0.00397687;0.0229209
0.0452;300.4;0.00397458;0.0229208
0.0453;300.394;0.00397229;0.0229208
0.0454;300.389;0.00397;0.0229208
0.0455;300.383;0.00396771;0.0229208
0.0456;300.378;0.00396541;0.0229208
0.0457;300.372;0.00396312;0.0229208
0.0458;300.367;0.00396083;0.0229207
0.0459;300.362;0.00395854;0.0229207
0.046;300.357;0.00395625;0.0229207
0.0461;300.352;0.00395395;0.0229207
0.0462;300.347;0.00395166;0.0229207
0.0463;300.342;0.00394937;0.0229207
0.0464;300.337;0.00394708;0.0229206
0.0465;300.332;0.00394478;0.0229206
0.0466;300.327;0.00394249;0.0229206
0.0467;300.323;0.0039402;0.0229206
0.0468;300.318;0.00393791;0.0229206
0.0469;300.314;0.00393562;0.0229206
0.047;300.309;0.00393333;0.0229206
0.0471;300.305;0.00393103;0.0229206
0.0472;300.3;0.00392874;0.0229206
0.0473;300.296;0.00392645;0.0229205
0.0474;300.292;0.00392416;0.0229205
0.0475;300.288;0.00392187;0.0229205
0.0476;300.284;0.00391957;0.0229205
0.0477;300.28;0.00391728;0.0229205
0.0478;300.276;0.00391499;0.0229205
0.0479;300.272;0.0039127;0.0229205
0.048;300.268;0.0039104;0.0229205
0.0481;300.264;0.00390811;0.0229205
0.0482;300.26;0.00390582;0.0229205
0.0483;300.257;0.00390353;0.0229205
0.0484;300.253;0.00390124;0.0229204
0.0485;300.249;0.00389894;0.0229204
0.0486;300.246;0.00389665;0.0229204
0.0487;300.242;0.00389436;0.0229204
0.0488;300.239;0.00389207;0.0229204
0.0489;300.236;0.00388978;0.0229204
0.049;300.232;0.00388748;0.0229204
0.0491;300.229;0.00388519;0.0229204
0.0492;300.226;0.0038829;0.0229204
0.0493;300.222;0.00388061;0.0229204
0.0494;300.219;0.00387832;0.0229204
0.0495;300.216;0.00387602;0.0229204
0.0496;300.213;0.00387373;0.0229204
0.0497;300.21;0.00387144;0.0229204
0.0498;300.207;0.00386915;0.0229204
0.0499;300.204;0.00386686;0.0229204
0.05;300.201;0.00386456;0.0229204
0.0501;300.198;0.00386227;0.0229203
0.0502;300.196;0.00385998;0.0229203
0.0503;300.193;0.00385769;0.0229203
0.0504;300.19;0.0038554;0.0229203
0.0505;300.187;0.0038531;0.0229203
0.0506;300.185;0.00385081;0.0229203
0.0507;300.182;0.00384852;0.0229203
0.0508;300.18;0.00384623;0.0229203
0.0509;300.177;0.00384394;0.0229203
0.051;300.174;0.00384164;0.0229203
0.0511;300.172;0.00383935;0.0229203
0.0512;300.17;0.00383706;0.0229203
0.0513;300.167;0.00383477;0.0229203
0.0514;300.165;0.00383248;0.0229203
0.0515;300.162;0.00383018;0.0229203
