Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015,532.014,0.00489686,0.000286801
0.0016,534.417,0.0048968,0.000865003
0.0017,536.688,0.00489669,0.0014318
0.0018,538.857,0.00489651,0.00198787
0.0019,540.94,0.00489629,0.0025327
0.002,542.942,0.00489601,0.0030659
0.0021,544.875,0.00489568,0.0035883
0.0022,546.742,0.00489529,0.00409952
0.0023,548.545,0.00489486,0.00459927
0.0024,550.292,0.00489437,0.00508837
0.0025,551.983,0.00489384,0.00556653
0.0026,553.621,0.00489326,0.00603353
0.0027,555.21,0.00489263,0.00649018
0.0028,556.751,0.00489196,0.00693624
0.0029,558.246,0.00489124,0.00737186
0.003,559.696,0.00489049,0.00779686
0.0031,561.104,0.00488969,0.00821202
0.0032,562.472,0.00488884,0.00861718
0.0033,563.799,0.00488796,0.00901218
0.0034,565.089,0.00488704,0.0093978
0.0035,566.342,0.00488608,0.00977389
0.0036,567.559,0.00488509,0.0101403
0.0037,568.742,0.00488406,0.0104979
0.0038,569.892,0.00488299,0.0108464
0.0039,571.009,0.00488189,0.0111858
0.004,572.096,0.00488075,0.0115167
0.0041,573.152,0.00487958,0.0118392
0.0042,574.179,0.00487838,0.012153
0.0043,575.178,0.00487715,0.012459
0.0044,576.149,0.00487589,0.0127569
0.0045,577.094,0.0048746,0.013047
0.0046,578.012,0.00487328,0.0133291
0.0047,578.906,0.00487194,0.0136041
0.0048,579.775,0.00487056,0.0138716
0.0049,580.62,0.00486916,0.0141318
0.005,581.443,0.00486774,0.0143852
0.0051,582.244,0.00486629,0.0146317
0.0052,583.022,0.00486481,0.0148714
0.0053,583.78,0.00486331,0.0151047
0.0054,584.518,0.00486179,0.0153316
0.0055,585.235,0.00486025,0.0155522
0.0056,585.934,0.00485868,0.0157668
0.0057,586.614,0.00485709,0.0159755
0.0058,587.276,0.00485548,0.0161784
0.0059,587.919,0.00485386,0.0163755
0.006,588.546,0.00485221,0.0165673
0.0061,589.157,0.00485054,0.0167537
0.0062,589.751,0.00484886,0.0169347
0.0063,590.33,0.00484716,0.0171108
0.0064,590.893,0.00484544,0.0172819
0.0065,591.441,0.0048437,0.0174481
0.0066,591.975,0.00484195,0.0176096
0.0067,592.496,0.00484018,0.0177666
0.0068,593.002,0.00483839,0.017919
0.0069,593.495,0.0048366,0.0180672
0.007,593.976,0.00483478,0.0182111
0.0071,594.444,0.00483295,0.0183509
0.0072,594.899,0.00483111,0.0184866
0.0073,595.343,0.00482926,0.0186185
0.0074,595.776,0.00482739,0.0187466
0.0075,596.197,0.00482551,0.0188709
0.0076,596.608,0.00482361,0.0189917
0.0077,597.008,0.00482171,0.019109
0.0078,597.398,0.00481979,0.0192228
0.0079,597.778,0.00481786,0.0193334
0.008,598.148,0.00481592,0.0194407
0.0081,598.509,0.00481398,0.0195449
0.0082,598.86,0.00481202,0.0196461
0.0083,599.203,0.00481005,0.0197443
0.0084,599.537,0.00480807,0.0198396
0.0085,599.863,0.00480608,0.0199322
0.0086,600.181,0.00480408,0.0200221
0.0087,600.49,0.00480207,0.0201093
0.0088,600.792,0.00480006,0.0201939
0.0089,601.086,0.00479804,0.020276
0.009,601.373,0.004796,0.0203558
0.0091,601.653,0.00479397,0.0204331
0.0092,601.926,0.00479192,0.0205082
0.0093,602.192,0.00478986,0.0205811
0.0094,602.452,0.0047878,0.0206518
0.0095,602.705,0.00478573,0.0207204
0.0096,602.952,0.00478366,0.020787
0.0097,603.193,0.00478158,0.0208516
0.0098,603.428,0.00477949,0.0209143
0.0099,603.658,0.00477739,0.0209751
0.01,603.882,0.00477529,0.0210341
0.0101,604.1,0.00477319,0.0210914
0.0102,604.313,0.00477107,0.0211469
0.0103,604.522,0.00476896,0.0212008
0.0104,604.725,0.00476683,0.0212531
0.0105,604.923,0.00476471,0.0213038
0.0106,605.117,0.00476257,0.0213531
0.0107,605.306,0.00476044,0.0214008
0.0108,605.49,0.00475829,0.0214471
0.0109,605.67,0.00475615,0.0214921
0.011,605.846,0.004754,0.0215356
0.0111,606.018,0.00475184,0.0215779
0.0112,606.186,0.00474968,0.0216189
0.0113,606.349,0.00474751,0.0216584
0.0114,606.509,0.00474535,0.0216967
0.0115,606.665,0.00474318,0.0217339
0.0116,606.817,0.004741,0.0217699
0.0117,606.966,0.00473882,0.0218049
0.0118,607.112,0.00473664,0.0218388
0.0119,607.254,0.00473445,0.0218717
0.012,607.393,0.00473227,0.0219036
0.0121,607.529,0.00473007,0.0219345
0.0122,607.662,0.00472788,0.0219645
0.0123,607.791,0.00472568,0.0219936
0.0124,607.918,0.00472348,0.0220219
0.0125,608.042,0.00472128,0.0220492
0.0126,608.163,0.00471907,0.0220758
0.0127,608.282,0.00471686,0.0221015
0.0128,608.398,0.00471465,0.0221265
0.0129,608.511,0.00471244,0.0221507
0.013,608.622,0.00471022,0.0221742
0.0131,608.731,0.004708,0.022197
0.0132,608.837,0.00470578,0.0222191
0.0133,608.941,0.00470356,0.0222405
0.0134,609.042,0.00470133,0.0222613
0.0135,609.142,0.0046991,0.0222814
0.0136,609.239,0.00469688,0.022301
0.0137,609.334,0.00469465,0.0223199
0.0138,609.427,0.00469241,0.0223383
0.0139,609.519,0.00469018,0.0223561
0.014,609.608,0.00468794,0.0223734
0.0141,609.695,0.0046857,0.0223901
0.0142,609.781,0.00468346,0.0224064
0.0143,609.865,0.00468122,0.0224221
0.0144,609.947,0.00467898,0.0224374
0.0145,610.027,0.00467673,0.0224522
0.0146,610.106,0.00467449,0.0224666
0.0147,610.183,0.00467224,0.0224805
0.0148,610.258,0.00466999,0.022494
0.0149,610.332,0.00466774,0.0225071
0.015,610.404,0.00466549,0.0225198
0.0151,610.475,0.00466324,0.0225322
0.0152,610.545,0.00466099,0.0225441
0.0153,610.613,0.00465873,0.0225557
0.0154,610.68,0.00465647,0.0225669
0.0155,610.745,0.00465422,0.0225778
0.0156,610.809,0.00465196,0.0225883
0.0157,610.872,0.0046497,0.0225986
0.0158,610.934,0.00464744,0.0226085
0.0159,610.994,0.00464518,0.0226181
0.016,611.053,0.00464291,0.0226275
0.0161,611.111,0.00464065,0.0226365
0.0162,611.168,0.00463839,0.0226453
0.0163,611.224,0.00463612,0.0226538
0.0164,611.279,0.00463386,0.022662
0.0165,611.332,0.00463159,0.02267
0.0166,611.385,0.00462932,0.0226778
0.0167,611.437,0.00462705,0.0226853
0.0168,611.487,0.00462479,0.0226926
0.0169,611.537,0.00462252,0.0226997
0.017,611.586,0.00462025,0.0227065
0.0171,611.634,0.00461797,0.0227132
0.0172,611.681,0.0046157,0.0227196
0.0173,611.727,0.00461343,0.0227259
0.0174,611.772,0.00461116,0.0227319
