Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
13.45,2.35076e-88
13.5,1.11013e-88
13.55,5.24371e-89
13.6,2.47687e-89
13.65,1.16995e-89
13.7,5.52627e-90
13.75,2.60974e-90
13.8,1.23271e-90
13.85,5.82273e-91
13.9,2.75037e-91
13.95,1.29884e-91
14,6.1351e-92
14.05,2.89792e-92
14.1,1.36883e-92
14.15,6.46569e-93
14.2,3.05338e-93
14.25,1.44226e-93
14.3,6.81254e-94
14.35,3.21791e-94
14.4,1.51964e-94
14.45,7.17801e-95
14.5,3.39054e-95
14.55,1.60152e-95
14.6,7.56308e-96
14.65,3.57242e-96
14.7,1.68744e-96
14.75,7.97061e-97
14.8,3.76492e-97
14.85,1.77796e-97
14.9,8.3982e-98
14.95,3.9669e-98
15,1.87377e-98
15.05,8.84873e-99
15.1,4.1797e-99
15.15,1.97428e-99
15.2,9.32554e-100
15.25,4.40493e-100
15.3,2.0802e-100
15.35,9.82582e-101
15.4,4.64123e-101
15.45,2.19229e-101
15.5,1.03529e-101
15.55,4.89021e-102
15.6,2.30989e-102
15.65,1.09108e-102
15.7,5.15372e-103
15.75,2.43381e-103
15.8,1.14961e-103
15.85,5.4302e-104
15.9,2.56496e-104
15.95,1.21128e-104
16,5.7215e-105
16.05,2.70256e-105
16.1,1.27655e-105
16.15,6.02844e-106
16.2,2.84754e-106
16.25,1.34504e-106
16.3,6.35328e-107
16.35,3.00098e-107
16.4,1.41719e-107
16.45,6.69411e-108
16.5,3.16197e-108
16.55,1.49356e-108
16.6,7.05322e-109
16.65,3.33159e-109
16.7,1.57368e-109
16.75,7.43328e-110
16.8,3.51111e-110
16.85,1.6581e-110
16.9,7.83204e-111
16.95,3.69947e-111
17,1.74745e-111
17.05,8.2522e-112
17.1,3.89793e-112
17.15,1.84119e-112
17.2,8.69687e-113
17.25,4.10704e-113
17.3,1.93996e-113
17.35,9.16342e-114
17.4,4.32835e-114
17.45,2.0445e-114
17.5,9.655e-115
17.55,4.56054e-115
17.6,2.15417e-115
17.65,1.01753e-115
17.7,4.8052e-116
17.75,2.26974e-116
17.8,1.07211e-116
17.85,5.06412e-117
17.9,2.39204e-117
17.95,1.12963e-117
18,5.33579e-118
18.05,2.52036e-118
18.1,1.1905e-118
18.15,5.62203e-119
18.2,2.65557e-119
18.25,1.25436e-119
18.3,5.92498e-120
18.35,2.79867e-120
