Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015,503.75,0.00489686,0.000286801
0.0016,504.353,0.0048968,0.000865003
0.0017,504.851,0.00489669,0.0014318
0.0018,505.272,0.00489651,0.00198787
0.0019,505.63,0.00489629,0.0025327
0.002,505.932,0.00489601,0.0030659
0.0021,506.185,0.00489568,0.0035883
0.0022,506.394,0.00489529,0.00409952
0.0023,506.564,0.00489486,0.00459927
0.0024,506.697,0.00489437,0.00508837
0.0025,506.796,0.00489384,0.00556653
0.0026,506.864,0.00489326,0.00603353
0.0027,506.903,0.00489263,0.00649018
0.0028,506.915,0.00489196,0.00693624
0.0029,506.902,0.00489124,0.00737186
0.003,506.865,0.00489049,0.00779686
0.0031,506.807,0.00488969,0.00821202
0.0032,506.727,0.00488884,0.00861718
0.0033,506.628,0.00488796,0.00901218
0.0034,506.511,0.00488704,0.0093978
0.0035,506.377,0.00488608,0.00977389
0.0036,506.226,0.00488509,0.0101403
0.0037,506.061,0.00488406,0.0104979
0.0038,505.881,0.00488299,0.0108464
0.0039,505.688,0.00488189,0.0111858
0.004,505.482,0.00488075,0.0115167
0.0041,505.264,0.00487958,0.0118392
0.0042,505.036,0.00487838,0.012153
0.0043,504.797,0.00487715,0.012459
0.0044,504.548,0.00487589,0.0127569
0.0045,504.29,0.0048746,0.013047
0.0046,504.024,0.00487328,0.0133291
0.0047,503.749,0.00487194,0.0136041
0.0048,503.467,0.00487056,0.0138716
0.0049,503.178,0.00486916,0.0141318
0.005,502.883,0.00486774,0.0143852
0.0051,502.581,0.00486629,0.0146317
0.0052,502.274,0.00486481,0.0148714
0.0053,501.962,0.00486331,0.0151047
0.0054,501.645,0.00486179,0.0153316
0.0055,501.323,0.00486025,0.0155522
0.0056,500.998,0.00485868,0.0157668
0.0057,500.669,0.00485709,0.0159755
0.0058,500.336,0.00485548,0.0161784
0.0059,500,0.00485386,0.0163755
0.006,499.662,0.00485221,0.0165673
0.0061,499.321,0.00485054,0.0167537
0.0062,498.978,0.00484886,0.0169347
0.0063,498.632,0.00484716,0.0171108
0.0064,498.285,0.00484544,0.0172819
0.0065,497.937,0.0048437,0.0174481
0.0066,497.587,0.00484195,0.0176096
0.0067,497.236,0.00484018,0.0177666
0.0068,496.885,0.00483839,0.017919
0.0069,496.533,0.0048366,0.0180672
0.007,496.18,0.00483478,0.0182111
0.0071,495.827,0.00483295,0.0183509
0.0072,495.474,0.00483111,0.0184866
0.0073,495.12,0.00482926,0.0186185
0.0074,494.767,0.00482739,0.0187466
0.0075,494.415,0.00482551,0.0188709
0.0076,494.063,0.00482361,0.0189917
0.0077,493.711,0.00482171,0.019109
0.0078,493.36,0.00481979,0.0192228
0.0079,493.01,0.00481786,0.0193334
0.008,492.661,0.00481592,0.0194407
0.0081,492.313,0.00481398,0.0195449
0.0082,491.966,0.00481202,0.0196461
0.0083,491.62,0.00481005,0.0197443
0.0084,491.276,0.00480807,0.0198396
0.0085,490.933,0.00480608,0.0199322
0.0086,490.592,0.00480408,0.0200221
0.0087,490.252,0.00480207,0.0201093
0.0088,489.914,0.00480006,0.0201939
0.0089,489.577,0.00479804,0.020276
0.009,489.242,0.004796,0.0203558
0.0091,488.91,0.00479397,0.0204331
0.0092,488.579,0.00479192,0.0205082
0.0093,488.249,0.00478986,0.0205811
0.0094,487.923,0.0047878,0.0206518
0.0095,487.598,0.00478573,0.0207204
0.0096,487.275,0.00478366,0.020787
0.0097,486.954,0.00478158,0.0208516
0.0098,486.635,0.00477949,0.0209143
0.0099,486.319,0.00477739,0.0209751
0.01,486.005,0.00477529,0.0210341
0.0101,485.693,0.00477319,0.0210914
0.0102,485.383,0.00477107,0.0211469
0.0103,485.076,0.00476896,0.0212008
0.0104,484.771,0.00476683,0.0212531
0.0105,484.469,0.00476471,0.0213038
0.0106,484.168,0.00476257,0.0213531
0.0107,483.871,0.00476044,0.0214008
0.0108,483.575,0.00475829,0.0214471
0.0109,483.282,0.00475615,0.0214921
0.011,482.992,0.004754,0.0215356
0.0111,482.704,0.00475184,0.0215779
0.0112,482.418,0.00474968,0.0216189
0.0113,482.135,0.00474751,0.0216584
0.0114,481.854,0.00474535,0.0216967
0.0115,481.576,0.00474318,0.0217339
0.0116,481.3,0.004741,0.0217699
0.0117,481.027,0.00473882,0.0218049
0.0118,480.756,0.00473664,0.0218388
0.0119,480.487,0.00473445,0.0218717
0.012,480.222,0.00473227,0.0219036
0.0121,479.958,0.00473007,0.0219345
0.0122,479.697,0.00472788,0.0219645
0.0123,479.439,0.00472568,0.0219936
0.0124,479.183,0.00472348,0.0220219
0.0125,478.93,0.00472128,0.0220492
0.0126,478.679,0.00471907,0.0220758
0.0127,478.43,0.00471686,0.0221015
0.0128,478.184,0.00471465,0.0221265
0.0129,477.94,0.00471244,0.0221507
0.013,477.699,0.00471022,0.0221742
0.0131,477.461,0.004708,0.022197
0.0132,477.224,0.00470578,0.0222191
0.0133,476.99,0.00470356,0.0222405
0.0134,476.759,0.00470133,0.0222613
0.0135,476.53,0.0046991,0.0222814
0.0136,476.303,0.00469688,0.022301
0.0137,476.078,0.00469465,0.0223199
0.0138,475.856,0.00469241,0.0223383
0.0139,475.637,0.00469018,0.0223561
0.014,475.419,0.00468794,0.0223734
0.0141,475.204,0.0046857,0.0223901
0.0142,474.991,0.00468346,0.0224064
0.0143,474.78,0.00468122,0.0224221
0.0144,474.572,0.00467898,0.0224374
0.0145,474.366,0.00467673,0.0224522
0.0146,474.162,0.00467449,0.0224666
0.0147,473.96,0.00467224,0.0224805
0.0148,473.761,0.00466999,0.022494
0.0149,473.564,0.00466774,0.0225071
0.015,473.368,0.00466549,0.0225198
0.0151,473.175,0.00466324,0.0225322
0.0152,472.985,0.00466099,0.0225441
0.0153,472.796,0.00465873,0.0225557
0.0154,472.609,0.00465647,0.0225669
0.0155,472.424,0.00465422,0.0225778
0.0156,472.242,0.00465196,0.0225883
0.0157,472.061,0.0046497,0.0225986
0.0158,471.883,0.00464744,0.0226085
0.0159,471.707,0.00464518,0.0226181
0.016,471.532,0.00464291,0.0226275
0.0161,471.36,0.00464065,0.0226365
0.0162,471.189,0.00463839,0.0226453
0.0163,471.02,0.00463612,0.0226538
0.0164,470.854,0.00463386,0.022662
0.0165,470.689,0.00463159,0.02267
0.0166,470.526,0.00462932,0.0226778
0.0167,470.365,0.00462705,0.0226853
0.0168,470.206,0.00462479,0.0226926
0.0169,470.048,0.00462252,0.0226997
0.017,469.893,0.00462025,0.0227065
0.0171,469.739,0.00461797,0.0227132
0.0172,469.587,0.0046157,0.0227196
0.0173,469.437,0.00461343,0.0227259
0.0174,469.288,0.00461116,0.0227319
0.0175,469.142,0.00460888,0.0227378
0.0176,468.996,0.00460661,0.0227435
0.0177,468.853,0.00460433,0.022749
0.0178,468.712,0.00460206,0.0227544
0.0179,468.571,0.00459978,0.0227595
0.018,468.433,0.00459751,0.0227646
0.0181,468.296,0.00459523,0.0227695
0.0182,468.161,0.00459295,0.0227742
0.0183,468.028,0.00459068,0.0227788
0.0184,467.896,0.0045884,0.0227832
0.0185,467.765,0.00458612,0.0227875
0.0186,467.636,0.00458384,0.0227917
0.0187,467.509,0.00458156,0.0227958
0.0188,467.383,0.00457928,0.0227997
0.0189,467.259,0.004577,0.0228035
0.019,467.136,0.00457472,0.0228072
0.0191,467.015,0.00457244,0.0228108
0.0192,466.895,0.00457016,0.0228143
0.0193,466.776,0.00456788,0.0228176
0.0194,466.659,0.0045656,0.0228209
0.0195,466.543,0.00456331,0.0228241
0.0196,466.429,0.00456103,0.0228271
0.0197,466.316,0.00455875,0.0228301
0.0198,466.205,0.00455647,0.022833
0.0199,466.094,0.00455418,0.0228358
0.02,465.985,0.0045519,0.0228385
0.0201,465.878,0.00454961,0.0228411
0.0202,465.772,0.00454733,0.0228437
0.0203,465.667,0.00454504,0.0228461
0.0204,465.563,0.00454276,0.0228485
0.0205,465.46,0.00454048,0.0228509
0.0206,465.359,0.00453819,0.0228531
0.0207,465.259,0.00453591,0.0228553
0.0208,465.16,0.00453362,0.0228574
0.0209,465.063,0.00453133,0.0228595
0.021,464.966,0.00452905,0.0228615
0.0211,464.871,0.00452676,0.0228634
0.0212,464.777,0.00452447,0.0228653
0.0213,464.684,0.00452219,0.0228671
0.0214,464.592,0.0045199,0.0228688
0.0215,464.501,0.00451761,0.0228705
0.0216,464.412,0.00451533,0.0228722
0.0217,464.323,0.00451304,0.0228738
0.0218,464.236,0.00451075,0.0228753
0.0219,464.149,0.00450846,0.0228769
0.022,464.064,0.00450618,0.0228783
0.0221,463.98,0.00450389,0.0228797
0.0222,463.897,0.0045016,0.0228811
0.0223,463.814,0.00449931,0.0228824
0.0224,463.733,0.00449702,0.0228836
0.0225,463.653,0.00449474,0.0228848
0.0226,463.573,0.00449245,0.0228859
0.0227,463.495,0.00449016,0.022887
0.0228,463.418,0.00448787,0.0228881
0.0229,463.341,0.00448558,0.0228891
0.023,463.266,0.00448329,0.0228901
0.0231,463.191,0.004481,0.0228911
0.0232,463.118,0.00447871,0.0228921
0.0233,463.045,0.00447643,0.022893
0.0234,462.973,0.00447414,0.0228939
0.0235,462.902,0.00447185,0.0228947
0.0236,462.832,0.00446956,0.0228956
0.0237,462.763,0.00446727,0.0228964
0.0238,462.695,0.00446498,0.0228972
0.0239,462.627,0.00446269,0.0228979
0.024,462.561,0.0044604,0.0228987
0.0241,462.495,0.00445811,0.0228994
0.0242,462.43,0.00445582,0.0229001
0.0243,462.366,0.00445353,0.0229007
0.0244,462.302,0.00445124,0.0229014
0.0245,462.24,0.00444895,0.022902
0.0246,462.178,0.00444666,0.0229026
0.0247,462.117,0.00444437,0.0229032
0.0248,462.057,0.00444208,0.0229038
0.0249,461.997,0.00443979,0.0229044
0.025,461.938,0.0044375,0.0229049
0.0251,461.88,0.0044352,0.0229054
0.0252,461.823,0.00443292,0.0229059
0.0253,461.766,0.00443062,0.0229064
0.0254,461.71,0.00442833,0.0229069
0.0255,461.655,0.00442604,0.0229074
0.0256,461.6,0.00442375,0.0229078
0.0257,461.547,0.00442146,0.0229083
0.0258,461.493,0.00441917,0.0229087
0.0259,461.441,0.00441688,0.0229091
0.026,461.389,0.00441459,0.0229095
0.0261,461.338,0.0044123,0.0229099
0.0262,461.287,0.00441001,0.0229103
0.0263,461.237,0.00440772,0.0229106
0.0264,461.188,0.00440542,0.022911
0.0265,461.139,0.00440313,0.0229113
0.0266,461.091,0.00440084,0.0229116
0.0267,461.043,0.00439855,0.022912
0.0268,460.996,0.00439626,0.0229123
0.0269,460.95,0.00439397,0.0229126
0.027,460.904,0.00439168,0.0229129
0.0271,460.859,0.00438939,0.0229131
0.0272,460.814,0.0043871,0.0229134
0.0273,460.77,0.0043848,0.0229137
0.0274,460.727,0.00438251,0.0229139
0.0275,460.684,0.00438022,0.0229142
0.0276,460.641,0.00437793,0.0229144
0.0277,460.599,0.00437564,0.0229147
0.0278,460.558,0.00437335,0.0229149
0.0279,460.517,0.00437105,0.0229151
0.028,460.477,0.00436876,0.0229153
0.0281,460.437,0.00436647,0.0229155
0.0282,460.397,0.00436418,0.0229157
0.0283,460.359,0.00436189,0.0229159
0.0284,460.32,0.0043596,0.0229161
0.0285,460.282,0.00435731,0.0229163
0.0286,460.245,0.00435501,0.0229165
0.0287,460.208,0.00435272,0.0229167
0.0288,460.171,0.00435043,0.0229168
0.0289,460.135,0.00434814,0.022917
0.029,460.1,0.00434585,0.0229171
0.0291,460.065,0.00434356,0.0229173
0.0292,460.03,0.00434126,0.0229174
0.0293,459.996,0.00433897,0.0229176
0.0294,459.962,0.00433668,0.0229177
0.0295,459.928,0.00433439,0.0229179
0.0296,459.895,0.0043321,0.022918
0.0297,459.863,0.0043298,0.0229181
0.0298,459.831,0.00432751,0.0229182
0.0299,459.799,0.00432522,0.0229184
0.03,459.768,0.00432293,0.0229185
0.0301,459.737,0.00432064,0.0229186
0.0302,459.706,0.00431835,0.0229187
0.0303,459.676,0.00431605,0.0229188
0.0304,459.646,0.00431376,0.0229189
0.0305,459.617,0.00431147,0.022919
0.0306,459.587,0.00430918,0.0229191
0.0307,459.559,0.00430689,0.0229192
0.0308,459.53,0.00430459,0.0229193
0.0309,459.502,0.0043023,0.0229194
0.031,459.475,0.00430001,0.0229194
0.0311,459.447,0.00429772,0.0229195
0.0312,459.421,0.00429543,0.0229196
0.0313,459.394,0.00429313,0.0229197
0.0314,459.368,0.00429084,0.0229198
0.0315,459.342,0.00428855,0.0229198
0.0316,459.316,0.00428626,0.0229199
0.0317,459.291,0.00428397,0.02292
0.0318,459.266,0.00428167,0.02292
0.0319,459.241,0.00427938,0.0229201
0.032,459.217,0.00427709,0.0229202
0.0321,459.193,0.0042748,0.0229202
0.0322,459.169,0.00427251,0.0229203
0.0323,459.145,0.00427021,0.0229203
0.0324,459.122,0.00426792,0.0229204
0.0325,459.099,0.00426563,0.0229204
0.0326,459.077,0.00426334,0.0229205
0.0327,459.055,0.00426105,0.0229205
0.0328,459.033,0.00425875,0.0229206
0.0329,459.011,0.00425646,0.0229206
0.033,458.989,0.00425417,0.0229207
0.0331,458.968,0.00425188,0.0229207
0.0332,458.947,0.00424959,0.0229208
0.0333,458.927,0.00424729,0.0229207
0.0334,458.906,0.004245,0.0229207
0.0335,458.886,0.00424271,0.0229206
0.0336,458.866,0.00424042,0.0229206
0.0337,458.846,0.00423813,0.0229206
0.0338,458.827,0.00423583,0.0229205
0.0339,458.808,0.00423354,0.0229205
0.034,458.789,0.00423125,0.0229205
0.0341,458.77,0.00422896,0.0229204
0.0342,458.751,0.00422666,0.0229204
0.0343,458.733,0.00422437,0.0229204
0.0344,458.715,0.00422208,0.0229203
0.0345,458.697,0.00421979,0.0229203
0.0346,458.68,0.0042175,0.0229203
0.0347,458.663,0.00421521,0.0229202
0.0348,458.645,0.00421291,0.0229202
0.0349,458.629,0.00421062,0.0229202
0.035,458.612,0.00420833,0.0229202
0.0351,458.595,0.00420604,0.0229201
0.0352,458.579,0.00420374,0.0229201
0.0353,458.563,0.00420145,0.0229201
0.0354,458.547,0.00419916,0.0229201
0.0355,458.532,0.00419687,0.02292
0.0356,458.516,0.00419458,0.02292
0.0357,458.501,0.00419228,0.02292
0.0358,458.486,0.00418999,0.02292
0.0359,458.471,0.0041877,0.02292
0.036,458.456,0.00418541,0.02292
0.0361,458.442,0.00418312,0.0229199
0.0362,458.427,0.00418083,0.0229199
0.0363,458.413,0.00417853,0.0229199
0.0364,458.399,0.00417624,0.0229199
0.0365,458.386,0.00417395,0.0229199
0.0366,458.372,0.00417166,0.0229199
0.0367,458.358,0.00416936,0.0229198
0.0368,458.345,0.00416707,0.0229198
0.0369,458.332,0.00416478,0.0229198
0.037,458.319,0.00416249,0.0229198
0.0371,458.306,0.0041602,0.0229198
0.0372,458.294,0.00415791,0.0229198
0.0373,458.281,0.00415561,0.0229198
0.0374,458.269,0.00415332,0.0229197
0.0375,458.257,0.00415103,0.0229197
