date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0235;302.851;0.006905;0.0217902
0.0236;302.811;0.00690282;0.02182
0.0237;302.771;0.00690064;0.021849
0.0238;302.732;0.00689845;0.021877
0.0239;302.694;0.00689626;0.0219042
0.024;302.656;0.00689407;0.0219306
0.0241;302.619;0.00689188;0.0219561
0.0242;302.582;0.00688968;0.021981
0.0243;302.546;0.00688748;0.022005
0.0244;302.51;0.00688528;0.0220283
0.0245;302.474;0.00688307;0.022051
0.0246;302.44;0.00688087;0.0220729
0.0247;302.405;0.00687866;0.0220942
0.0248;302.371;0.00687645;0.0221148
0.0249;302.338;0.00687424;0.0221348
0.025;302.305;0.00687202;0.0221543
0.0251;302.273;0.00686981;0.0221731
0.0252;302.241;0.00686759;0.0221913
0.0253;302.209;0.00686537;0.022209
0.0254;302.178;0.00686315;0.0222262
0.0255;302.147;0.00686092;0.0222428
0.0256;302.117;0.0068587;0.022259
0.0257;302.087;0.00685647;0.0222746
0.0258;302.057;0.00685424;0.0222898
0.0259;302.028;0.00685201;0.0223045
0.026;302;0.00684978;0.0223188
0.0261;301.971;0.00684755;0.0223326
0.0262;301.944;0.00684531;0.022346
0.0263;301.916;0.00684308;0.022359
0.0264;301.889;0.00684084;0.0223716
0.0265;301.862;0.00683861;0.0223839
0.0266;301.836;0.00683637;0.0223957
0.0267;301.81;0.00683413;0.0224072
0.0268;301.785;0.00683189;0.0224184
0.0269;301.759;0.00682964;0.0224292
0.027;301.734;0.0068274;0.0224397
0.0271;301.71;0.00682516;0.0224498
0.0272;301.686;0.00682291;0.0224597
0.0273;301.662;0.00682066;0.0224692
0.0274;301.638;0.00681842;0.0224785
0.0275;301.615;0.00681617;0.0224875
0.0276;301.592;0.00681392;0.0224962
0.0277;301.57;0.00681167;0.0225047
0.0278;301.547;0.00680942;0.0225129
0.0279;301.526;0.00680717;0.0225208
0.028;301.504;0.00680491;0.0225285
0.0281;301.483;0.00680266;0.022536
0.0282;301.462;0.00680041;0.0225432
0.0283;301.441;0.00679815;0.0225502
0.0284;301.421;0.0067959;0.022557
0.0285;301.4;0.00679364;0.0225636
0.0286;301.381;0.00679138;0.02257
0.0287;301.361;0.00678913;0.0225762
0.0288;301.342;0.00678687;0.0225822
0.0289;301.323;0.00678461;0.0225881
0.029;301.304;0.00678235;0.0225937
0.0291;301.286;0.00678009;0.0225992
0.0292;301.267;0.00677783;0.0226045
0.0293;301.249;0.00677557;0.0226097
0.0294;301.232;0.00677331;0.0226147
0.0295;301.214;0.00677105;0.0226195
0.0296;301.197;0.00676879;0.0226242
0.0297;301.18;0.00676652;0.0226288
0.0298;301.163;0.00676426;0.0226332
0.0299;301.147;0.006762;0.0226375
0.03;301.131;0.00675973;0.0226416
0.0301;301.114;0.00675747;0.0226456
0.0302;301.099;0.0067552;0.0226495
0.0303;301.083;0.00675294;0.0226533
0.0304;301.068;0.00675067;0.022657
0.0305;301.052;0.00674841;0.0226469
0.0306;301.037;0.00674614;0.0226314
0.0307;301.023;0.00674388;0.0226164
0.0308;301.008;0.00674162;0.0226019
0.0309;300.994;0.00673936;0.0225878
0.031;300.979;0.0067371;0.0225741
0.0311;300.965;0.00673484;0.0225608
0.0312;300.952;0.00673259;0.022548
0.0313;300.938;0.00673034;0.0225355
0.0314;300.925;0.00672808;0.0225235
0.0315;300.912;0.00672583;0.0225118
0.0316;300.899;0.00672358;0.0225004
0.0317;300.886;0.00672133;0.0224895
0.0318;300.873;0.00671908;0.0224788
0.0319;300.861;0.00671683;0.0224685
0.032;300.848;0.00671459;0.0224584
0.0321;300.836;0.00671234;0.0224487
0.0322;300.824;0.0067101;0.0224393
0.0323;300.813;0.00670786;0.0224302
0.0324;300.801;0.00670561;0.0224214
0.0325;300.79;0.00670337;0.0224128
0.0326;300.778;0.00670113;0.0224045
0.0327;300.767;0.00669889;0.0223964
0.0328;300.756;0.00669665;0.0223886
0.0329;300.746;0.00669441;0.0223811
0.033;300.735;0.00669218;0.0223737
0.0331;300.725;0.00668994;0.0223666
0.0332;300.714;0.0066877;0.0223597
0.0333;300.704;0.00668547;0.022353
0.0334;300.694;0.00668323;0.0223465
0.0335;300.684;0.006681;0.0223402
0.0336;300.674;0.00667876;0.0223341
0.0337;300.665;0.00667653;0.0223282
0.0338;300.655;0.0066743;0.0223225
0.0339;300.646;0.00667207;0.022317
0.034;300.637;0.00666983;0.0223116
0.0341;300.628;0.0066676;0.0223064
0.0342;300.619;0.00666537;0.0223013
0.0343;300.61;0.00666314;0.0222964
0.0344;300.601;0.00666091;0.0222917
0.0345;300.593;0.00665869;0.022287
0.0346;300.584;0.00665646;0.0222826
0.0347;300.576;0.00665423;0.0222782
0.0348;300.568;0.006652;0.022274
0.0349;300.56;0.00664977;0.02227
0.035;300.552;0.00664755;0.022266
0.0351;300.544;0.00664532;0.0222622
0.0352;300.536;0.00664309;0.0222585
0.0353;300.529;0.00664087;0.0222549
0.0354;300.521;0.00663864;0.0222514
0.0355;300.514;0.00663642;0.022248
0.0356;300.506;0.00663419;0.0222448
0.0357;300.499;0.00663197;0.0222416
0.0358;300.492;0.00662975;0.0222385
0.0359;300.485;0.00662752;0.0222355
0.036;300.478;0.0066253;0.0222326
0.0361;300.471;0.00662307;0.0222298
0.0362;300.465;0.00662085;0.0222271
0.0363;300.458;0.00661863;0.0222245
